CSD,Period,Crop Type,Count
Pincher Creek No. 9,2016,Non-durum Wheat,28181
Pincher Creek No. 9,2021,Non-durum Wheat,28230
Special Area No. 2,2006,Non-durum Wheat,76527
Special Area No. 2,2011,Non-durum Wheat,67518
Special Area No. 2,2016,Non-durum Wheat,50039
Special Area No. 2,2021,Non-durum Wheat,63451
Special Area No. 3,2006,Non-durum Wheat,202691
Special Area No. 3,2011,Non-durum Wheat,159296
Special Area No. 3,2016,Non-durum Wheat,106455
Special Area No. 3,2021,Non-durum Wheat,116514
Special Area No. 4,2006,Non-durum Wheat,93979
Special Area No. 4,2011,Non-durum Wheat,96004
Special Area No. 4,2016,Non-durum Wheat,84461
Special Area No. 4,2021,Non-durum Wheat,82988
Vulcan County,2006,Non-durum Wheat,277824
Vulcan County,2011,Non-durum Wheat,285081
Vulcan County,2016,Non-durum Wheat,221914
Vulcan County,2021,Non-durum Wheat,226253
Foothills County,2006,Non-durum Wheat,86550
Foothills County,2011,Non-durum Wheat,74476
Foothills County,2016,Non-durum Wheat,84602
Foothills County,2021,Non-durum Wheat,82713
Rocky View County,2006,Non-durum Wheat,134336
Rocky View County,2011,Non-durum Wheat,107112
Rocky View County,2016,Non-durum Wheat,106322
Rocky View County,2021,Non-durum Wheat,118317
Calgary,2006,Non-durum Wheat,0
Calgary,2011,Non-durum Wheat,7342
Calgary,2016,Non-durum Wheat,0
Calgary,2021,Non-durum Wheat,0
Mountain View County,2006,Non-durum Wheat,56136
Mountain View County,2011,Non-durum Wheat,66827
Mountain View County,2016,Non-durum Wheat,94811
Mountain View County,2021,Non-durum Wheat,105678
Provost No. 52,2006,Non-durum Wheat,92661
Provost No. 52,2011,Non-durum Wheat,97705
Provost No. 52,2016,Non-durum Wheat,93514
Provost No. 52,2021,Non-durum Wheat,86230
Smoky River No. 130,2006,Non-durum Wheat,128272
Smoky River No. 130,2011,Non-durum Wheat,180176
Smoky River No. 130,2016,Non-durum Wheat,189092
Smoky River No. 130,2021,Non-durum Wheat,172657
Vermilion River County,2006,Non-durum Wheat,183998
Vermilion River County,2011,Non-durum Wheat,205819
Vermilion River County,2016,Non-durum Wheat,223986
Vermilion River County,2021,Non-durum Wheat,247171
Northern Sunrise County,2006,Non-durum Wheat,0
Northern Sunrise County,2011,Non-durum Wheat,53323
Northern Sunrise County,2016,Non-durum Wheat,54729
Northern Sunrise County,2021,Non-durum Wheat,37230
Big Lakes County,2006,Non-durum Wheat,13872
Big Lakes County,2011,Non-durum Wheat,0
Big Lakes County,2016,Non-durum Wheat,0
Big Lakes County,2021,Non-durum Wheat,21910
Lac Ste. Anne County,2006,Non-durum Wheat,0
Lac Ste. Anne County,2011,Non-durum Wheat,13529
Lac Ste. Anne County,2016,Non-durum Wheat,24648
Lac Ste. Anne County,2021,Non-durum Wheat,22833
Birch Hills County,2006,Non-durum Wheat,87886
Birch Hills County,2011,Non-durum Wheat,0
Birch Hills County,2016,Non-durum Wheat,0
Birch Hills County,2021,Non-durum Wheat,58423
Spirit River No. 133,2006,Non-durum Wheat,610
Spirit River No. 133,2011,Non-durum Wheat,27293
Spirit River No. 133,2016,Non-durum Wheat,31260
Spirit River No. 133,2021,Non-durum Wheat,34214
Saddle Hills County,2006,Non-durum Wheat,60666
Saddle Hills County,2011,Non-durum Wheat,88765
Saddle Hills County,2016,Non-durum Wheat,80470
Saddle Hills County,2021,Non-durum Wheat,66674
Fairview No. 136,2006,Non-durum Wheat,0
Fairview No. 136,2011,Non-durum Wheat,71306
Fairview No. 136,2016,Non-durum Wheat,63925
Fairview No. 136,2021,Non-durum Wheat,46647
Brazeau County,2006,Non-durum Wheat,751
Brazeau County,2011,Non-durum Wheat,1245
Brazeau County,2016,Non-durum Wheat,0
Brazeau County,2021,Non-durum Wheat,0
Parkland County,2006,Non-durum Wheat,24711
Parkland County,2011,Non-durum Wheat,0
Parkland County,2016,Non-durum Wheat,30877
Parkland County,2021,Non-durum Wheat,31645
Strathcona County,2006,Non-durum Wheat,0
Strathcona County,2011,Non-durum Wheat,42317
Strathcona County,2016,Non-durum Wheat,51016
Strathcona County,2021,Non-durum Wheat,49480
Sturgeon County,2006,Non-durum Wheat,84971
Sturgeon County,2011,Non-durum Wheat,94644
Sturgeon County,2016,Non-durum Wheat,108753
Sturgeon County,2021,Non-durum Wheat,117858
Mackenzie County,2006,Non-durum Wheat,64801
Mackenzie County,2011,Non-durum Wheat,57031
Mackenzie County,2016,Non-durum Wheat,68082
Mackenzie County,2021,Non-durum Wheat,53870
Clear Hills,2006,Non-durum Wheat,0
Clear Hills,2011,Non-durum Wheat,0
Clear Hills,2016,Non-durum Wheat,43846
Clear Hills,2021,Non-durum Wheat,40330
Greenview No. 16,2006,Non-durum Wheat,0
Greenview No. 16,2011,Non-durum Wheat,58357
Greenview No. 16,2016,Non-durum Wheat,56923
Greenview No. 16,2021,Non-durum Wheat,49524
Grande Prairie County No. 1,2006,Non-durum Wheat,85935
Grande Prairie County No. 1,2011,Non-durum Wheat,105723
Grande Prairie County No. 1,2016,Non-durum Wheat,106950
Grande Prairie County No. 1,2021,Non-durum Wheat,90003
Bonnyville No. 87,2006,Non-durum Wheat,8921
Bonnyville No. 87,2011,Non-durum Wheat,0
Bonnyville No. 87,2016,Non-durum Wheat,0
Bonnyville No. 87,2021,Non-durum Wheat,28109
St. Paul County No. 19,2006,Non-durum Wheat,27023
St. Paul County No. 19,2011,Non-durum Wheat,39236
St. Paul County No. 19,2016,Non-durum Wheat,38934
St. Paul County No. 19,2021,Non-durum Wheat,57442
Smoky Lake County,2006,Non-durum Wheat,0
Smoky Lake County,2011,Non-durum Wheat,28884
Smoky Lake County,2016,Non-durum Wheat,37061
Smoky Lake County,2021,Non-durum Wheat,37075
Peace No. 135,2006,Non-durum Wheat,0
Peace No. 135,2011,Non-durum Wheat,0
Peace No. 135,2016,Non-durum Wheat,0
Peace No. 135,2021,Non-durum Wheat,16997
Crowsnest Pass,2006,Non-durum Wheat,0
Bighorn No. 8,2006,Non-durum Wheat,0
Bighorn No. 8,2011,Non-durum Wheat,0
Bighorn No. 8,2016,Non-durum Wheat,0
Bighorn No. 8,2021,Non-durum Wheat,0
Improvement District No. 12 Jasper Park,2011,Non-durum Wheat,0
Improvement District No. 12 Jasper Park,2016,Non-durum Wheat,0
Improvement District No. 12 Jasper Park,2021,Non-durum Wheat,0
Ranchland No. 66,2006,Non-durum Wheat,0
Ranchland No. 66,2011,Non-durum Wheat,0
Ranchland No. 66,2016,Non-durum Wheat,0
Ranchland No. 66,2021,Non-durum Wheat,0
Wood Buffalo,2016,Non-durum Wheat,0
Wood Buffalo,2021,Non-durum Wheat,0
Improvement District No. 24 Wood Buffalo,2016,Non-durum Wheat,0
Improvement District No. 24 Wood Buffalo,2021,Non-durum Wheat,0
Leduc County,2006,Non-durum Wheat,62471
Leduc County,2011,Non-durum Wheat,72678
Leduc County,2016,Non-durum Wheat,80756
Leduc County,2021,Non-durum Wheat,77032
Wetaskiwin County No. 10,2006,Non-durum Wheat,53678
Wetaskiwin County No. 10,2011,Non-durum Wheat,54913
Wetaskiwin County No. 10,2016,Non-durum Wheat,72736
Wetaskiwin County No. 10,2021,Non-durum Wheat,70703
Northern Lights County,2006,Non-durum Wheat,57748
Northern Lights County,2011,Non-durum Wheat,89511
Northern Lights County,2016,Non-durum Wheat,90874
Northern Lights County,2021,Non-durum Wheat,76689
Thorhild County,2006,Non-durum Wheat,0
Thorhild County,2011,Non-durum Wheat,0
Thorhild County,2016,Non-durum Wheat,42238
Thorhild County,2021,Non-durum Wheat,35117
Athabasca County,2006,Non-durum Wheat,0
Athabasca County,2011,Non-durum Wheat,40451
Athabasca County,2016,Non-durum Wheat,51690
Athabasca County,2021,Non-durum Wheat,46272
Lesser Slave River No.124,2006,Non-durum Wheat,1901
Lesser Slave River No.124,2011,Non-durum Wheat,3231
Lesser Slave River No.124,2016,Non-durum Wheat,0
Lesser Slave River No.124,2021,Non-durum Wheat,21737
Lamont County,2006,Non-durum Wheat,0
Lamont County,2011,Non-durum Wheat,97422
Lamont County,2016,Non-durum Wheat,115166
Lamont County,2021,Non-durum Wheat,93763
Two Hills County No. 21,2006,Non-durum Wheat,0
Two Hills County No. 21,2011,Non-durum Wheat,107317
Two Hills County No. 21,2016,Non-durum Wheat,86051
Two Hills County No. 21,2021,Non-durum Wheat,84213
Yellowhead County,2006,Non-durum Wheat,6430
Yellowhead County,2011,Non-durum Wheat,8769
Yellowhead County,2016,Non-durum Wheat,0
Yellowhead County,2021,Non-durum Wheat,0
