CSD,Period,Vehicle_Type,Total_Vehicle_Registration_Count
Hussar,2008,Total Motorized Vehicles,833
Hussar,2009,Total Motorized Vehicles,826
Hussar,2010,Total Motorized Vehicles,826
Hussar,2011,Total Motorized Vehicles,824
Hussar,2012,Total Motorized Vehicles,839
Hussar,2013,Total Motorized Vehicles,876
Hussar,2014,Total Motorized Vehicles,888
Hussar,2015,Total Motorized Vehicles,906
Hussar,2016,Total Motorized Vehicles,905
Hussar,2017,Total Motorized Vehicles,915
Hussar,2018,Total Motorized Vehicles,909
Hussar,2019,Total Motorized Vehicles,891
Hussar,2020,Total Motorized Vehicles,871
Standard,2005,Total Motorized Vehicles,1050
Standard,2006,Total Motorized Vehicles,1073
Standard,2007,Total Motorized Vehicles,1110
Standard,2008,Total Motorized Vehicles,1119
Standard,2009,Total Motorized Vehicles,1124
Standard,2010,Total Motorized Vehicles,1124
Standard,2011,Total Motorized Vehicles,1120
Standard,2012,Total Motorized Vehicles,1129
Standard,2013,Total Motorized Vehicles,1160
Standard,2014,Total Motorized Vehicles,1164
Standard,2015,Total Motorized Vehicles,1193
Standard,2016,Total Motorized Vehicles,1156
Standard,2017,Total Motorized Vehicles,1201
Standard,2018,Total Motorized Vehicles,1222
Standard,2019,Total Motorized Vehicles,1221
Standard,2020,Total Motorized Vehicles,1233
Rockyford,2005,Total Motorized Vehicles,874
Rockyford,2006,Total Motorized Vehicles,932
Rockyford,2007,Total Motorized Vehicles,943
Rockyford,2008,Total Motorized Vehicles,994
Rockyford,2009,Total Motorized Vehicles,1000
Rockyford,2010,Total Motorized Vehicles,1000
Rockyford,2011,Total Motorized Vehicles,998
Rockyford,2012,Total Motorized Vehicles,1011
Rockyford,2013,Total Motorized Vehicles,1035
Rockyford,2014,Total Motorized Vehicles,1075
Rockyford,2015,Total Motorized Vehicles,1091
Rockyford,2016,Total Motorized Vehicles,1046
Rockyford,2017,Total Motorized Vehicles,1048
Rockyford,2018,Total Motorized Vehicles,1047
Rockyford,2019,Total Motorized Vehicles,1036
Rockyford,2020,Total Motorized Vehicles,1031
Drumheller,2005,Total Motorized Vehicles,7927
Drumheller,2006,Total Motorized Vehicles,8276
Drumheller,2007,Total Motorized Vehicles,8623
Drumheller,2008,Total Motorized Vehicles,8792
Drumheller,2009,Total Motorized Vehicles,8843
Drumheller,2010,Total Motorized Vehicles,8843
Drumheller,2011,Total Motorized Vehicles,9026
Drumheller,2012,Total Motorized Vehicles,9163
Drumheller,2013,Total Motorized Vehicles,9342
Drumheller,2014,Total Motorized Vehicles,9406
Drumheller,2015,Total Motorized Vehicles,9242
Drumheller,2016,Total Motorized Vehicles,9043
Drumheller,2017,Total Motorized Vehicles,8881
Drumheller,2018,Total Motorized Vehicles,9035
Drumheller,2019,Total Motorized Vehicles,8802
Drumheller,2020,Total Motorized Vehicles,8954
Starland County,2005,Total Motorized Vehicles,849
Starland County,2006,Total Motorized Vehicles,860
Starland County,2007,Total Motorized Vehicles,885
Starland County,2008,Total Motorized Vehicles,929
Starland County,2009,Total Motorized Vehicles,874
Starland County,2010,Total Motorized Vehicles,874
Starland County,2011,Total Motorized Vehicles,921
Starland County,2012,Total Motorized Vehicles,925
Starland County,2013,Total Motorized Vehicles,921
Starland County,2014,Total Motorized Vehicles,927
Starland County,2015,Total Motorized Vehicles,929
Starland County,2016,Total Motorized Vehicles,905
Starland County,2017,Total Motorized Vehicles,894
Starland County,2018,Total Motorized Vehicles,885
Starland County,2019,Total Motorized Vehicles,889
Starland County,2020,Total Motorized Vehicles,866
Delia,2005,Total Motorized Vehicles,745
Delia,2006,Total Motorized Vehicles,787
Delia,2007,Total Motorized Vehicles,793
Delia,2008,Total Motorized Vehicles,798
Delia,2009,Total Motorized Vehicles,790
Delia,2010,Total Motorized Vehicles,790
Delia,2011,Total Motorized Vehicles,779
Delia,2012,Total Motorized Vehicles,777
Delia,2013,Total Motorized Vehicles,808
Delia,2014,Total Motorized Vehicles,820
Delia,2015,Total Motorized Vehicles,837
Delia,2016,Total Motorized Vehicles,826
Delia,2017,Total Motorized Vehicles,825
Delia,2018,Total Motorized Vehicles,843
Delia,2019,Total Motorized Vehicles,873
Delia,2020,Total Motorized Vehicles,844
Munson,2005,Total Motorized Vehicles,295
Munson,2006,Total Motorized Vehicles,301
Munson,2007,Total Motorized Vehicles,302
Munson,2008,Total Motorized Vehicles,326
Munson,2009,Total Motorized Vehicles,343
Munson,2010,Total Motorized Vehicles,343
Munson,2011,Total Motorized Vehicles,353
Munson,2012,Total Motorized Vehicles,364
Munson,2013,Total Motorized Vehicles,361
Munson,2014,Total Motorized Vehicles,374
Munson,2015,Total Motorized Vehicles,365
Munson,2016,Total Motorized Vehicles,365
Munson,2017,Total Motorized Vehicles,368
Munson,2018,Total Motorized Vehicles,360
Munson,2019,Total Motorized Vehicles,342
Munson,2020,Total Motorized Vehicles,368
Morrin,2005,Total Motorized Vehicles,675
Morrin,2006,Total Motorized Vehicles,697
Morrin,2007,Total Motorized Vehicles,721
Morrin,2008,Total Motorized Vehicles,732
Morrin,2009,Total Motorized Vehicles,696
Morrin,2010,Total Motorized Vehicles,696
Morrin,2011,Total Motorized Vehicles,721
Morrin,2012,Total Motorized Vehicles,704
Morrin,2013,Total Motorized Vehicles,714
Morrin,2014,Total Motorized Vehicles,721
Morrin,2015,Total Motorized Vehicles,723
Morrin,2016,Total Motorized Vehicles,705
Morrin,2017,Total Motorized Vehicles,717
Morrin,2018,Total Motorized Vehicles,708
Morrin,2019,Total Motorized Vehicles,690
Morrin,2020,Total Motorized Vehicles,695
Kneehill County,2005,Total Motorized Vehicles,1270
Kneehill County,2006,Total Motorized Vehicles,1339
Kneehill County,2007,Total Motorized Vehicles,1368
Kneehill County,2008,Total Motorized Vehicles,1398
Kneehill County,2009,Total Motorized Vehicles,1426
Kneehill County,2010,Total Motorized Vehicles,1426
Kneehill County,2011,Total Motorized Vehicles,1481
Kneehill County,2012,Total Motorized Vehicles,1474
Kneehill County,2013,Total Motorized Vehicles,1529
Kneehill County,2014,Total Motorized Vehicles,1560
Kneehill County,2015,Total Motorized Vehicles,1583
Kneehill County,2016,Total Motorized Vehicles,1562
Kneehill County,2017,Total Motorized Vehicles,1550
Kneehill County,2018,Total Motorized Vehicles,1612
Kneehill County,2019,Total Motorized Vehicles,1566
Kneehill County,2020,Total Motorized Vehicles,1620
Carbon,2005,Total Motorized Vehicles,975
Carbon,2006,Total Motorized Vehicles,1007
Carbon,2007,Total Motorized Vehicles,1036
Carbon,2008,Total Motorized Vehicles,1067
Carbon,2009,Total Motorized Vehicles,1047
Carbon,2010,Total Motorized Vehicles,1047
Carbon,2011,Total Motorized Vehicles,1060
Carbon,2012,Total Motorized Vehicles,1099
Carbon,2013,Total Motorized Vehicles,1116
Carbon,2014,Total Motorized Vehicles,1092
Carbon,2015,Total Motorized Vehicles,1024
Carbon,2016,Total Motorized Vehicles,1055
Carbon,2017,Total Motorized Vehicles,1043
Carbon,2018,Total Motorized Vehicles,1071
Carbon,2019,Total Motorized Vehicles,957
Carbon,2020,Total Motorized Vehicles,1027
Sylvan Lake,2005,Total Motorized Vehicles,8805
Sylvan Lake,2006,Total Motorized Vehicles,10259
Sylvan Lake,2007,Total Motorized Vehicles,10846
Sylvan Lake,2008,Total Motorized Vehicles,11345
Sylvan Lake,2009,Total Motorized Vehicles,11759
Sylvan Lake,2010,Total Motorized Vehicles,11759
Sylvan Lake,2011,Total Motorized Vehicles,12275
Sylvan Lake,2012,Total Motorized Vehicles,13276
Sylvan Lake,2013,Total Motorized Vehicles,13762
Sylvan Lake,2014,Total Motorized Vehicles,14597
Sylvan Lake,2015,Total Motorized Vehicles,15055
Sylvan Lake,2016,Total Motorized Vehicles,13868
Sylvan Lake,2017,Total Motorized Vehicles,13895
Sylvan Lake,2018,Total Motorized Vehicles,14246
Sylvan Lake,2019,Total Motorized Vehicles,14019
Sylvan Lake,2020,Total Motorized Vehicles,14598
Norglenwold,2005,Total Motorized Vehicles,297
Norglenwold,2006,Total Motorized Vehicles,304
Norglenwold,2007,Total Motorized Vehicles,305
Norglenwold,2008,Total Motorized Vehicles,300
Norglenwold,2009,Total Motorized Vehicles,303
Norglenwold,2010,Total Motorized Vehicles,303
Norglenwold,2011,Total Motorized Vehicles,314
Norglenwold,2012,Total Motorized Vehicles,314
Norglenwold,2013,Total Motorized Vehicles,330
Norglenwold,2014,Total Motorized Vehicles,368
Norglenwold,2015,Total Motorized Vehicles,373
Norglenwold,2016,Total Motorized Vehicles,398
Norglenwold,2017,Total Motorized Vehicles,400
Norglenwold,2018,Total Motorized Vehicles,396
Norglenwold,2019,Total Motorized Vehicles,377
Norglenwold,2020,Total Motorized Vehicles,383
Foremost,2005,Total Motorized Vehicles,1458
Foremost,2006,Total Motorized Vehicles,1493
Foremost,2007,Total Motorized Vehicles,1556
Foremost,2008,Total Motorized Vehicles,1623
Foremost,2009,Total Motorized Vehicles,1640
Foremost,2010,Total Motorized Vehicles,1640
Foremost,2011,Total Motorized Vehicles,1690
Foremost,2012,Total Motorized Vehicles,1735
Foremost,2013,Total Motorized Vehicles,1735
Foremost,2014,Total Motorized Vehicles,1795
Foremost,2015,Total Motorized Vehicles,1860
Foremost,2016,Total Motorized Vehicles,1805
Foremost,2017,Total Motorized Vehicles,1813
Foremost,2018,Total Motorized Vehicles,1804
Foremost,2019,Total Motorized Vehicles,1774
Foremost,2020,Total Motorized Vehicles,1819
Bow Island,2005,Total Motorized Vehicles,2683
Bow Island,2006,Total Motorized Vehicles,2890
Bow Island,2007,Total Motorized Vehicles,3003
Bow Island,2008,Total Motorized Vehicles,3111
Bow Island,2009,Total Motorized Vehicles,3169
Bow Island,2010,Total Motorized Vehicles,3169
Bow Island,2011,Total Motorized Vehicles,3184
Bow Island,2012,Total Motorized Vehicles,3285
Bow Island,2013,Total Motorized Vehicles,3366
Bow Island,2014,Total Motorized Vehicles,3464
Bow Island,2015,Total Motorized Vehicles,3534
Bow Island,2016,Total Motorized Vehicles,3529
Bow Island,2017,Total Motorized Vehicles,3533
Bow Island,2018,Total Motorized Vehicles,3648
Bow Island,2019,Total Motorized Vehicles,3611
Bow Island,2020,Total Motorized Vehicles,3646
Redcliff,2005,Total Motorized Vehicles,4912
Redcliff,2006,Total Motorized Vehicles,5140
Redcliff,2007,Total Motorized Vehicles,5468
Redcliff,2008,Total Motorized Vehicles,5552
Redcliff,2009,Total Motorized Vehicles,5598
Redcliff,2010,Total Motorized Vehicles,5598
Redcliff,2011,Total Motorized Vehicles,5774
Redcliff,2012,Total Motorized Vehicles,5882
Redcliff,2013,Total Motorized Vehicles,6065
Redcliff,2014,Total Motorized Vehicles,6290
Redcliff,2015,Total Motorized Vehicles,6164
Redcliff,2016,Total Motorized Vehicles,6063
Redcliff,2017,Total Motorized Vehicles,6177
Redcliff,2018,Total Motorized Vehicles,6469
Redcliff,2019,Total Motorized Vehicles,6404
Redcliff,2020,Total Motorized Vehicles,6417
Warner County No. 5,2005,Total Motorized Vehicles,608
Warner County No. 5,2006,Total Motorized Vehicles,611
Warner County No. 5,2007,Total Motorized Vehicles,649
Warner County No. 5,2008,Total Motorized Vehicles,648
Warner County No. 5,2009,Total Motorized Vehicles,675
Warner County No. 5,2010,Total Motorized Vehicles,675
Warner County No. 5,2011,Total Motorized Vehicles,690
Warner County No. 5,2012,Total Motorized Vehicles,720
Warner County No. 5,2013,Total Motorized Vehicles,772
Warner County No. 5,2014,Total Motorized Vehicles,817
Warner County No. 5,2015,Total Motorized Vehicles,796
Warner County No. 5,2016,Total Motorized Vehicles,770
Warner County No. 5,2017,Total Motorized Vehicles,793
Warner County No. 5,2018,Total Motorized Vehicles,803
Warner County No. 5,2019,Total Motorized Vehicles,773
Warner County No. 5,2020,Total Motorized Vehicles,802
Coutts,2005,Total Motorized Vehicles,527
Coutts,2006,Total Motorized Vehicles,521
Coutts,2007,Total Motorized Vehicles,525
Coutts,2008,Total Motorized Vehicles,541
Coutts,2009,Total Motorized Vehicles,567
Coutts,2010,Total Motorized Vehicles,567
Coutts,2011,Total Motorized Vehicles,574
Coutts,2012,Total Motorized Vehicles,604
Coutts,2013,Total Motorized Vehicles,613
Coutts,2014,Total Motorized Vehicles,609
Coutts,2015,Total Motorized Vehicles,601
Coutts,2016,Total Motorized Vehicles,594
Coutts,2017,Total Motorized Vehicles,594
Coutts,2018,Total Motorized Vehicles,584
Coutts,2019,Total Motorized Vehicles,562
Coutts,2020,Total Motorized Vehicles,566
Milk River,2005,Total Motorized Vehicles,1716
Milk River,2006,Total Motorized Vehicles,1785
Milk River,2007,Total Motorized Vehicles,1817
Milk River,2008,Total Motorized Vehicles,1844
Milk River,2009,Total Motorized Vehicles,1878
Milk River,2010,Total Motorized Vehicles,1878
Milk River,2011,Total Motorized Vehicles,1900
Milk River,2012,Total Motorized Vehicles,1891
Milk River,2013,Total Motorized Vehicles,1941
Milk River,2014,Total Motorized Vehicles,1998
Milk River,2015,Total Motorized Vehicles,2010
Milk River,2016,Total Motorized Vehicles,2018
Milk River,2017,Total Motorized Vehicles,1980
Milk River,2018,Total Motorized Vehicles,1911
Milk River,2019,Total Motorized Vehicles,1872
Milk River,2020,Total Motorized Vehicles,1872
Warner,2005,Total Motorized Vehicles,1058
Warner,2006,Total Motorized Vehicles,1105
Warner,2007,Total Motorized Vehicles,1145
Warner,2008,Total Motorized Vehicles,1148
Warner,2009,Total Motorized Vehicles,1145
Warner,2010,Total Motorized Vehicles,1145
Warner,2011,Total Motorized Vehicles,1175
Warner,2012,Total Motorized Vehicles,1215
Warner,2013,Total Motorized Vehicles,1213
Warner,2014,Total Motorized Vehicles,1228
Warner,2015,Total Motorized Vehicles,1251
Warner,2016,Total Motorized Vehicles,1215
Warner,2017,Total Motorized Vehicles,1188
Warner,2018,Total Motorized Vehicles,1246
Warner,2019,Total Motorized Vehicles,1219
Warner,2020,Total Motorized Vehicles,1278
Hardisty,2005,Total Motorized Vehicles,1217
Hardisty,2006,Total Motorized Vehicles,1257
Hardisty,2007,Total Motorized Vehicles,1366
Hardisty,2008,Total Motorized Vehicles,1444
Hardisty,2009,Total Motorized Vehicles,1431
Hardisty,2010,Total Motorized Vehicles,1431
Hardisty,2011,Total Motorized Vehicles,1441
Hardisty,2012,Total Motorized Vehicles,1557
Hardisty,2013,Total Motorized Vehicles,1558
Hardisty,2014,Total Motorized Vehicles,1595
Hardisty,2015,Total Motorized Vehicles,1617
Hardisty,2016,Total Motorized Vehicles,1496
Hardisty,2017,Total Motorized Vehicles,1484
Hardisty,2018,Total Motorized Vehicles,1540
Hardisty,2019,Total Motorized Vehicles,1501
Hardisty,2020,Total Motorized Vehicles,1504
Wainwright No. 61,2005,Total Motorized Vehicles,258
Wainwright No. 61,2006,Total Motorized Vehicles,302
Wainwright No. 61,2007,Total Motorized Vehicles,369
Wainwright No. 61,2008,Total Motorized Vehicles,419
Wainwright No. 61,2009,Total Motorized Vehicles,396
Wainwright No. 61,2010,Total Motorized Vehicles,396
Wainwright No. 61,2011,Total Motorized Vehicles,373
Wainwright No. 61,2012,Total Motorized Vehicles,352
Wainwright No. 61,2013,Total Motorized Vehicles,380
Wainwright No. 61,2014,Total Motorized Vehicles,373
Wainwright No. 61,2015,Total Motorized Vehicles,370
Wainwright No. 61,2016,Total Motorized Vehicles,346
Wainwright No. 61,2017,Total Motorized Vehicles,342
Wainwright No. 61,2018,Total Motorized Vehicles,327
Wainwright No. 61,2019,Total Motorized Vehicles,337
Wainwright No. 61,2020,Total Motorized Vehicles,332
Chauvin,2005,Total Motorized Vehicles,876
Chauvin,2006,Total Motorized Vehicles,884
Chauvin,2007,Total Motorized Vehicles,897
Chauvin,2008,Total Motorized Vehicles,931
Chauvin,2009,Total Motorized Vehicles,977
Chauvin,2010,Total Motorized Vehicles,977
Chauvin,2011,Total Motorized Vehicles,1022
Chauvin,2012,Total Motorized Vehicles,1032
Chauvin,2013,Total Motorized Vehicles,1089
Chauvin,2014,Total Motorized Vehicles,1100
Chauvin,2015,Total Motorized Vehicles,1098
Chauvin,2016,Total Motorized Vehicles,1067
Chauvin,2017,Total Motorized Vehicles,1069
Chauvin,2018,Total Motorized Vehicles,1087
Chauvin,2019,Total Motorized Vehicles,1086
Chauvin,2020,Total Motorized Vehicles,1077
Edgerton,2005,Total Motorized Vehicles,950
Edgerton,2006,Total Motorized Vehicles,1000
Edgerton,2007,Total Motorized Vehicles,1024
Edgerton,2008,Total Motorized Vehicles,1050
Edgerton,2009,Total Motorized Vehicles,1043
Edgerton,2010,Total Motorized Vehicles,1043
Edgerton,2011,Total Motorized Vehicles,1031
Edgerton,2012,Total Motorized Vehicles,1062
Edgerton,2013,Total Motorized Vehicles,1087
Edgerton,2014,Total Motorized Vehicles,1121
Edgerton,2015,Total Motorized Vehicles,1162
Edgerton,2016,Total Motorized Vehicles,1131
Edgerton,2017,Total Motorized Vehicles,1154
Edgerton,2018,Total Motorized Vehicles,1211
Edgerton,2019,Total Motorized Vehicles,1154
Edgerton,2020,Total Motorized Vehicles,1182
Wainwright,2005,Total Motorized Vehicles,6009
Wainwright,2006,Total Motorized Vehicles,6385
Wainwright,2007,Total Motorized Vehicles,6697
Wainwright,2008,Total Motorized Vehicles,6936
Wainwright,2009,Total Motorized Vehicles,7307
Wainwright,2010,Total Motorized Vehicles,7307
Wainwright,2011,Total Motorized Vehicles,7640
Wainwright,2012,Total Motorized Vehicles,7840
Wainwright,2013,Total Motorized Vehicles,8088
Wainwright,2014,Total Motorized Vehicles,8154
Wainwright,2015,Total Motorized Vehicles,8159
Wainwright,2016,Total Motorized Vehicles,8100
Wainwright,2017,Total Motorized Vehicles,8045
Wainwright,2018,Total Motorized Vehicles,8175
Wainwright,2019,Total Motorized Vehicles,7985
Wainwright,2020,Total Motorized Vehicles,8133
Irma,2005,Total Motorized Vehicles,1289
Irma,2006,Total Motorized Vehicles,1339
Irma,2007,Total Motorized Vehicles,1362
Irma,2008,Total Motorized Vehicles,1388
Irma,2009,Total Motorized Vehicles,1391
Irma,2010,Total Motorized Vehicles,1391
Irma,2011,Total Motorized Vehicles,1464
Irma,2012,Total Motorized Vehicles,1515
Irma,2013,Total Motorized Vehicles,1582
Irma,2014,Total Motorized Vehicles,1596
Irma,2015,Total Motorized Vehicles,1589
Irma,2016,Total Motorized Vehicles,1577
Irma,2017,Total Motorized Vehicles,1537
Irma,2018,Total Motorized Vehicles,1602
Irma,2019,Total Motorized Vehicles,1626
Irma,2020,Total Motorized Vehicles,1642
Red Deer County,2005,Total Motorized Vehicles,6636
Red Deer County,2006,Total Motorized Vehicles,7129
Red Deer County,2007,Total Motorized Vehicles,7578
Red Deer County,2008,Total Motorized Vehicles,7694
Red Deer County,2009,Total Motorized Vehicles,8154
Red Deer County,2010,Total Motorized Vehicles,8154
Red Deer County,2011,Total Motorized Vehicles,8318
Red Deer County,2012,Total Motorized Vehicles,9073
Red Deer County,2013,Total Motorized Vehicles,12005
Red Deer County,2014,Total Motorized Vehicles,14141
Red Deer County,2015,Total Motorized Vehicles,14392
Red Deer County,2016,Total Motorized Vehicles,18582
Red Deer County,2017,Total Motorized Vehicles,20267
Red Deer County,2018,Total Motorized Vehicles,21370
Red Deer County,2019,Total Motorized Vehicles,21251
Red Deer County,2020,Total Motorized Vehicles,21818
Elnora,2005,Total Motorized Vehicles,731
Elnora,2006,Total Motorized Vehicles,802
Elnora,2007,Total Motorized Vehicles,834
Elnora,2008,Total Motorized Vehicles,876
Elnora,2009,Total Motorized Vehicles,877
Elnora,2010,Total Motorized Vehicles,877
Elnora,2011,Total Motorized Vehicles,889
Elnora,2012,Total Motorized Vehicles,894
Elnora,2013,Total Motorized Vehicles,913
Elnora,2014,Total Motorized Vehicles,905
Elnora,2015,Total Motorized Vehicles,918
Elnora,2016,Total Motorized Vehicles,767
Elnora,2017,Total Motorized Vehicles,710
Elnora,2018,Total Motorized Vehicles,718
Elnora,2019,Total Motorized Vehicles,667
Elnora,2020,Total Motorized Vehicles,646
Milo,2005,Total Motorized Vehicles,671
Milo,2006,Total Motorized Vehicles,691
Milo,2007,Total Motorized Vehicles,711
Milo,2008,Total Motorized Vehicles,736
Milo,2009,Total Motorized Vehicles,755
Milo,2010,Total Motorized Vehicles,755
Milo,2011,Total Motorized Vehicles,758
Milo,2012,Total Motorized Vehicles,769
Milo,2013,Total Motorized Vehicles,756
Milo,2014,Total Motorized Vehicles,777
Milo,2015,Total Motorized Vehicles,791
Milo,2016,Total Motorized Vehicles,796
Milo,2017,Total Motorized Vehicles,807
Milo,2018,Total Motorized Vehicles,827
Milo,2019,Total Motorized Vehicles,807
Milo,2020,Total Motorized Vehicles,815
Arrowwood,2005,Total Motorized Vehicles,622
Arrowwood,2006,Total Motorized Vehicles,648
Arrowwood,2007,Total Motorized Vehicles,668
Arrowwood,2008,Total Motorized Vehicles,697
Arrowwood,2009,Total Motorized Vehicles,662
Arrowwood,2010,Total Motorized Vehicles,662
Arrowwood,2011,Total Motorized Vehicles,648
Arrowwood,2012,Total Motorized Vehicles,668
Arrowwood,2013,Total Motorized Vehicles,685
Arrowwood,2014,Total Motorized Vehicles,708
Arrowwood,2015,Total Motorized Vehicles,715
Arrowwood,2016,Total Motorized Vehicles,678
Arrowwood,2017,Total Motorized Vehicles,677
Arrowwood,2018,Total Motorized Vehicles,687
Arrowwood,2019,Total Motorized Vehicles,673
Arrowwood,2020,Total Motorized Vehicles,672
Wheatland County,2005,Total Motorized Vehicles,2644
Wheatland County,2006,Total Motorized Vehicles,2783
Wheatland County,2007,Total Motorized Vehicles,3078
Wheatland County,2008,Total Motorized Vehicles,3146
Wheatland County,2009,Total Motorized Vehicles,3364
Wheatland County,2010,Total Motorized Vehicles,3364
Wheatland County,2011,Total Motorized Vehicles,3443
Wheatland County,2012,Total Motorized Vehicles,3548
Wheatland County,2013,Total Motorized Vehicles,3688
Wheatland County,2014,Total Motorized Vehicles,3758
Wheatland County,2015,Total Motorized Vehicles,3830
Wheatland County,2016,Total Motorized Vehicles,3821
Wheatland County,2017,Total Motorized Vehicles,3910
Wheatland County,2018,Total Motorized Vehicles,3996
Wheatland County,2019,Total Motorized Vehicles,4032
Wheatland County,2020,Total Motorized Vehicles,4188
Stettler County No. 6,2005,Total Motorized Vehicles,1675
Stettler County No. 6,2006,Total Motorized Vehicles,1718
Stettler County No. 6,2007,Total Motorized Vehicles,1720
Stettler County No. 6,2008,Total Motorized Vehicles,1776
Stettler County No. 6,2009,Total Motorized Vehicles,1815
Stettler County No. 6,2010,Total Motorized Vehicles,1815
Stettler County No. 6,2011,Total Motorized Vehicles,1853
Stettler County No. 6,2012,Total Motorized Vehicles,1862
Stettler County No. 6,2013,Total Motorized Vehicles,1896
Stettler County No. 6,2014,Total Motorized Vehicles,1940
Stettler County No. 6,2015,Total Motorized Vehicles,1954
Stettler County No. 6,2016,Total Motorized Vehicles,1958
Stettler County No. 6,2017,Total Motorized Vehicles,1957
Stettler County No. 6,2018,Total Motorized Vehicles,2019
Stettler County No. 6,2019,Total Motorized Vehicles,2018
Stettler County No. 6,2020,Total Motorized Vehicles,2053
Big Valley,2005,Total Motorized Vehicles,791
Big Valley,2006,Total Motorized Vehicles,851
Big Valley,2007,Total Motorized Vehicles,895
Big Valley,2008,Total Motorized Vehicles,928
Big Valley,2009,Total Motorized Vehicles,911
Big Valley,2010,Total Motorized Vehicles,911
Big Valley,2011,Total Motorized Vehicles,922
Big Valley,2012,Total Motorized Vehicles,940
Big Valley,2013,Total Motorized Vehicles,971
Big Valley,2014,Total Motorized Vehicles,970
Big Valley,2015,Total Motorized Vehicles,976
Big Valley,2016,Total Motorized Vehicles,950
Big Valley,2017,Total Motorized Vehicles,949
Big Valley,2018,Total Motorized Vehicles,967
Big Valley,2019,Total Motorized Vehicles,972
Big Valley,2020,Total Motorized Vehicles,1010
Stettler,2005,Total Motorized Vehicles,7405
Stettler,2006,Total Motorized Vehicles,7772
Stettler,2007,Total Motorized Vehicles,8093
Stettler,2008,Total Motorized Vehicles,8189
Stettler,2009,Total Motorized Vehicles,8184
Stettler,2010,Total Motorized Vehicles,8184
Stettler,2011,Total Motorized Vehicles,8407
Stettler,2012,Total Motorized Vehicles,8607
Stettler,2013,Total Motorized Vehicles,8786
Stettler,2014,Total Motorized Vehicles,9036
Stettler,2015,Total Motorized Vehicles,9040
Stettler,2016,Total Motorized Vehicles,8804
Stettler,2017,Total Motorized Vehicles,8750
Stettler,2018,Total Motorized Vehicles,8773
Stettler,2019,Total Motorized Vehicles,8794
