CSD,Period,Crop Type,Count
Westlock County,2011,Canola,133101
Westlock County,2016,Canola,148854
Westlock County,2021,Canola,157789
Woodlands County,2006,Canola,2460
Woodlands County,2011,Canola,8818
Woodlands County,2016,Canola,7116
Woodlands County,2021,Canola,7623
Barrhead County No. 11,2006,Canola,44370
Barrhead County No. 11,2011,Canola,88349
Barrhead County No. 11,2016,Canola,92394
Barrhead County No. 11,2021,Canola,102016
Beaver County,2006,Canola,121568
Beaver County,2011,Canola,160492
Beaver County,2016,Canola,164325
Beaver County,2021,Canola,158051
Forty Mile County No. 8,2006,Canola,20058
Forty Mile County No. 8,2011,Canola,92867
Forty Mile County No. 8,2016,Canola,77825
Forty Mile County No. 8,2021,Canola,109254
Cypress County,2006,Canola,28149
Cypress County,2011,Canola,53525
Cypress County,2016,Canola,37417
Cypress County,2021,Canola,57420
Willow Creek No. 26,2006,Canola,31953
Willow Creek No. 26,2011,Canola,74444
Willow Creek No. 26,2016,Canola,75372
Willow Creek No. 26,2021,Canola,111185
Lethbridge County,2006,Canola,37080
Lethbridge County,2011,Canola,101032
Lethbridge County,2016,Canola,90475
Lethbridge County,2021,Canola,161325
"Taber, M.D.",2006,Canola,43256
"Taber, M.D.",2011,Canola,105556
"Taber, M.D.",2016,Canola,80062
"Taber, M.D.",2021,Canola,82418
Pincher Creek No. 9,2006,Canola,2812
Pincher Creek No. 9,2011,Canola,31255
Pincher Creek No. 9,2016,Canola,0
Pincher Creek No. 9,2021,Canola,20369
Special Area No. 2,2006,Canola,7239
Special Area No. 2,2011,Canola,25072
Special Area No. 2,2016,Canola,30642
Special Area No. 2,2021,Canola,45242
Special Area No. 3,2006,Canola,18099
Special Area No. 3,2011,Canola,32161
Special Area No. 3,2016,Canola,33974
Special Area No. 3,2021,Canola,71018
Special Area No. 4,2006,Canola,24763
Special Area No. 4,2011,Canola,43868
Special Area No. 4,2016,Canola,50934
Special Area No. 4,2021,Canola,53307
Vulcan County,2006,Canola,117104
Vulcan County,2011,Canola,217742
Vulcan County,2016,Canola,235810
Vulcan County,2021,Canola,210331
Foothills County,2006,Canola,44092
Foothills County,2011,Canola,84760
Foothills County,2016,Canola,62144
Foothills County,2021,Canola,77020
Rocky View County,2006,Canola,74715
Rocky View County,2011,Canola,112343
Rocky View County,2016,Canola,106393
Rocky View County,2021,Canola,134094
Calgary,2006,Canola,10007
Calgary,2011,Canola,0
Calgary,2016,Canola,10837
Calgary,2021,Canola,11083
Mountain View County,2006,Canola,64664
Mountain View County,2011,Canola,98166
Mountain View County,2016,Canola,101016
Mountain View County,2021,Canola,126547
Provost No. 52,2006,Canola,44704
Provost No. 52,2011,Canola,84615
Provost No. 52,2016,Canola,91104
Provost No. 52,2021,Canola,98530
Smoky River No. 130,2006,Canola,188904
Smoky River No. 130,2011,Canola,242057
Smoky River No. 130,2016,Canola,259729
Smoky River No. 130,2021,Canola,241574
Vermilion River County,2006,Canola,171363
Vermilion River County,2011,Canola,240382
Vermilion River County,2016,Canola,255773
Vermilion River County,2021,Canola,293676
Northern Sunrise County,2006,Canola,55969
Northern Sunrise County,2011,Canola,61622
Northern Sunrise County,2016,Canola,71533
Northern Sunrise County,2021,Canola,83029
Big Lakes County,2006,Canola,17631
Big Lakes County,2011,Canola,43606
Big Lakes County,2016,Canola,38843
Big Lakes County,2021,Canola,32819
Lac Ste. Anne County,2006,Canola,11292
Lac Ste. Anne County,2011,Canola,33114
Lac Ste. Anne County,2016,Canola,27263
Lac Ste. Anne County,2021,Canola,36869
Birch Hills County,2006,Canola,112608
Birch Hills County,2011,Canola,148882
Birch Hills County,2016,Canola,149018
Birch Hills County,2021,Canola,125448
Spirit River No. 133,2006,Canola,38067
Spirit River No. 133,2011,Canola,22441
Spirit River No. 133,2016,Canola,45252
Spirit River No. 133,2021,Canola,52530
Saddle Hills County,2006,Canola,58541
Saddle Hills County,2011,Canola,83799
Saddle Hills County,2016,Canola,78833
Saddle Hills County,2021,Canola,84463
Fairview No. 136,2006,Canola,61853
Fairview No. 136,2011,Canola,84072
Fairview No. 136,2016,Canola,99265
Fairview No. 136,2021,Canola,93164
Brazeau County,2006,Canola,943
Brazeau County,2011,Canola,1912
Brazeau County,2016,Canola,557
Brazeau County,2021,Canola,0
Parkland County,2006,Canola,31659
Parkland County,2011,Canola,36667
Parkland County,2016,Canola,35114
Parkland County,2021,Canola,41415
Strathcona County,2006,Canola,44918
Strathcona County,2011,Canola,48540
Strathcona County,2016,Canola,52916
Strathcona County,2021,Canola,55289
Sturgeon County,2006,Canola,111367
Sturgeon County,2011,Canola,130518
Sturgeon County,2016,Canola,129182
Sturgeon County,2021,Canola,137900
Mackenzie County,2006,Canola,100564
Mackenzie County,2011,Canola,141523
Mackenzie County,2016,Canola,118761
Mackenzie County,2021,Canola,155488
Clear Hills,2006,Canola,55288
Clear Hills,2011,Canola,60658
Clear Hills,2016,Canola,43061
Clear Hills,2021,Canola,69142
Greenview No. 16,2006,Canola,38958
Greenview No. 16,2011,Canola,58023
Greenview No. 16,2016,Canola,79474
Greenview No. 16,2021,Canola,57017
Grande Prairie County No. 1,2006,Canola,122493
Grande Prairie County No. 1,2011,Canola,131961
Grande Prairie County No. 1,2016,Canola,156661
Grande Prairie County No. 1,2021,Canola,164676
Bonnyville No. 87,2006,Canola,23265
Bonnyville No. 87,2011,Canola,42233
Bonnyville No. 87,2016,Canola,37579
Bonnyville No. 87,2021,Canola,45705
St. Paul County No. 19,2006,Canola,46355
St. Paul County No. 19,2011,Canola,71989
St. Paul County No. 19,2016,Canola,63380
St. Paul County No. 19,2021,Canola,77954
Smoky Lake County,2006,Canola,48063
Smoky Lake County,2011,Canola,60132
Smoky Lake County,2016,Canola,65327
Smoky Lake County,2021,Canola,61728
Peace No. 135,2006,Canola,33361
Peace No. 135,2011,Canola,37768
Peace No. 135,2016,Canola,35335
Peace No. 135,2021,Canola,41521
Crowsnest Pass,2006,Canola,0
Bighorn No. 8,2006,Canola,0
Bighorn No. 8,2011,Canola,0
Bighorn No. 8,2016,Canola,0
Bighorn No. 8,2021,Canola,0
Improvement District No. 12 Jasper Park,2011,Canola,0
Improvement District No. 12 Jasper Park,2016,Canola,0
Improvement District No. 12 Jasper Park,2021,Canola,0
Ranchland No. 66,2006,Canola,0
Ranchland No. 66,2011,Canola,0
Ranchland No. 66,2016,Canola,0
Ranchland No. 66,2021,Canola,0
Wood Buffalo,2016,Canola,0
Wood Buffalo,2021,Canola,0
Improvement District No. 24 Wood Buffalo,2016,Canola,0
Improvement District No. 24 Wood Buffalo,2021,Canola,0
Leduc County,2006,Canola,71071
Leduc County,2011,Canola,95746
Leduc County,2016,Canola,81322
Leduc County,2021,Canola,87923
Wetaskiwin County No. 10,2006,Canola,73507
Wetaskiwin County No. 10,2011,Canola,75921
Wetaskiwin County No. 10,2016,Canola,83461
Wetaskiwin County No. 10,2021,Canola,85085
Northern Lights County,2006,Canola,76673
Northern Lights County,2011,Canola,109714
Northern Lights County,2016,Canola,109552
Northern Lights County,2021,Canola,114506
Thorhild County,2006,Canola,35022
Thorhild County,2011,Canola,60378
Thorhild County,2016,Canola,59559
Thorhild County,2021,Canola,60172
Athabasca County,2006,Canola,47913
Athabasca County,2011,Canola,75721
Athabasca County,2016,Canola,68885
Athabasca County,2021,Canola,69416
Lesser Slave River No.124,2006,Canola,1821
Lesser Slave River No.124,2011,Canola,4337
Lesser Slave River No.124,2016,Canola,7849
Lesser Slave River No.124,2021,Canola,23883
Lamont County,2006,Canola,100493
Lamont County,2011,Canola,137199
Lamont County,2016,Canola,133493
Lamont County,2021,Canola,122585
Two Hills County No. 21,2006,Canola,78835
Two Hills County No. 21,2011,Canola,120846
Two Hills County No. 21,2016,Canola,109723
Two Hills County No. 21,2021,Canola,112719
Yellowhead County,2006,Canola,5907
Yellowhead County,2011,Canola,16598
Yellowhead County,2016,Canola,0
Yellowhead County,2021,Canola,10810
