CSD,Period,Total_Dwelling_Count
Red Deer,2009,37703.0
Red Deer,2010,38685.0
Red Deer,2011,39227.0
Red Deer,2012,39227.0
Red Deer,2013,40893.0
Red Deer,2014,41308.0
Red Deer,2015,42034.0
Red Deer,2016,42664.0
Red Deer,2017,42664.0
Red Deer,2018,42664.0
Red Deer,2019,42664.0
Red Deer,2020,42780.0
Red Deer,2021,42780.0
Red Deer,2022,42780.0
Red Deer,2023,46151.0
Strathmore,2023,6164.0
Strathmore,1994,1819.0
Strathmore,1995,1880.0
Strathmore,1996,1948.0
Strathmore,1997,1815.0
Strathmore,1998,1987.0
Strathmore,1999,2537.0
Strathmore,2000,2851.0
Strathmore,2001,2775.0
Strathmore,2002,3048.0
Strathmore,2003,3146.0
Strathmore,2004,3494.0
Strathmore,2005,3858.0
Strathmore,2006,4001.0
Strathmore,2007,4409.0
Strathmore,2008,4739.0
Strathmore,2009,4912.0
Strathmore,2010,5060.0
Strathmore,2011,5060.0
Strathmore,2012,5399.0
Strathmore,2013,5399.0
Strathmore,2014,5399.0
Strathmore,2015,5931.0
Strathmore,2016,5931.0
Strathmore,2017,5931.0
Strathmore,2018,5989.0
Strathmore,2019,5989.0
Strathmore,2020,5989.0
Strathmore,2021,5989.0
Strathmore,2022,5998.0
Hussar,1994,71.0
Hussar,1995,71.0
Hussar,1996,78.0
Hussar,1997,68.0
Hussar,1998,73.0
Hussar,1999,82.0
Hussar,2000,83.0
Hussar,2001,83.0
Hussar,2002,83.0
Hussar,2003,83.0
Hussar,2004,83.0
Hussar,2005,83.0
Hussar,2006,83.0
Hussar,2007,84.0
Hussar,2008,84.0
Hussar,2009,84.0
Hussar,2010,85.0
Hussar,2011,85.0
Hussar,2012,89.0
Hussar,2013,89.0
Hussar,2014,87.0
Hussar,2015,87.0
Hussar,2016,87.0
Hussar,2017,87.0
Hussar,2018,87.0
Hussar,2019,86.0
Hussar,2020,86.0
Hussar,2021,85.0
Hussar,2022,85.0
Hussar,2023,85.0
Standard,2023,159.0
Standard,1994,137.0
Standard,1995,137.0
Standard,1996,145.0
Standard,1997,146.0
Standard,1998,149.0
Standard,1999,149.0
Standard,2000,151.0
Standard,2001,157.0
Standard,2002,158.0
Standard,2003,158.0
Standard,2004,158.0
Standard,2005,158.0
Standard,2006,158.0
Standard,2007,158.0
Standard,2008,158.0
Standard,2009,158.0
Standard,2010,158.0
Standard,2011,158.0
Standard,2012,158.0
Standard,2013,158.0
Standard,2014,158.0
Standard,2015,159.0
Standard,2016,159.0
Standard,2017,159.0
Standard,2018,159.0
Standard,2019,159.0
Standard,2020,159.0
Standard,2021,159.0
Standard,2022,159.0
Rockyford,1994,132.0
Rockyford,1995,132.0
Rockyford,1996,132.0
Rockyford,1997,191.0
Rockyford,1998,191.0
Rockyford,1999,191.0
Rockyford,2000,191.0
Rockyford,2001,191.0
Rockyford,2002,191.0
Rockyford,2003,191.0
Rockyford,2004,191.0
Rockyford,2005,191.0
Rockyford,2006,191.0
Rockyford,2007,191.0
Rockyford,2008,191.0
Rockyford,2009,191.0
Rockyford,2010,191.0
Rockyford,2011,191.0
Rockyford,2012,191.0
Rockyford,2013,191.0
Rockyford,2014,191.0
Rockyford,2015,191.0
Rockyford,2016,191.0
Rockyford,2017,191.0
Rockyford,2018,191.0
Rockyford,2019,191.0
Rockyford,2020,191.0
Rockyford,2021,191.0
Rockyford,2022,191.0
Rockyford,2023,191.0
Drumheller,2023,3487.0
Drumheller,1994,2859.0
Drumheller,1995,2859.0
Drumheller,1996,2920.0
Drumheller,1997,2636.0
Drumheller,1998,2636.0
Drumheller,1999,2600.0
Drumheller,2000,2627.0
Drumheller,2001,3224.0
Drumheller,2002,3248.0
Drumheller,2003,3202.0
Drumheller,2004,3073.0
Drumheller,2005,3073.0
Drumheller,2006,3099.0
Drumheller,2007,3172.0
Drumheller,2008,3197.0
Drumheller,2009,3197.0
Drumheller,2010,3124.0
Drumheller,2011,3124.0
Drumheller,2012,3124.0
Drumheller,2013,3197.0
Drumheller,2014,3198.0
Drumheller,2015,3199.0
Drumheller,2016,3391.0
Drumheller,2017,3397.0
Drumheller,2018,3498.0
Drumheller,2019,3500.0
Drumheller,2020,3487.0
Drumheller,2021,3487.0
Drumheller,2022,3487.0
Starland County,1994,611.0
Starland County,1995,611.0
Starland County,1996,620.0
Starland County,1997,620.0
Starland County,1998,620.0
Starland County,1999,620.0
Starland County,2000,620.0
Starland County,2001,620.0
Starland County,2002,660.0
Starland County,2003,660.0
Starland County,2004,660.0
Starland County,2005,660.0
Starland County,2006,692.0
Starland County,2007,692.0
Starland County,2008,692.0
Starland County,2009,748.0
Starland County,2010,748.0
Starland County,2011,664.0
Starland County,2012,746.0
Starland County,2013,746.0
Starland County,2014,746.0
Starland County,2015,746.0
Starland County,2016,746.0
Starland County,2017,693.0
Starland County,2018,693.0
Starland County,2019,693.0
Starland County,2020,693.0
Starland County,2021,679.0
Starland County,2022,679.0
Starland County,2023,679.0
Delia,1994,104.0
Delia,1995,104.0
Delia,1996,97.0
Delia,1997,109.0
Delia,1998,109.0
Delia,1999,109.0
Delia,2000,109.0
Delia,2001,109.0
Delia,2002,109.0
Delia,2003,109.0
Delia,2004,109.0
Delia,2005,111.0
Delia,2006,111.0
Delia,2007,112.0
Delia,2008,135.0
Delia,2009,135.0
Delia,2010,135.0
Delia,2011,135.0
Delia,2012,135.0
Delia,2013,135.0
Delia,2014,136.0
Delia,2015,136.0
Delia,2016,119.0
Delia,2017,119.0
Delia,2018,113.0
Delia,2019,113.0
Delia,2020,113.0
Delia,2021,113.0
Munson,1994,56.0
Munson,1995,56.0
Munson,1996,67.0
Munson,1997,71.0
Munson,1998,74.0
Munson,1999,74.0
Munson,2000,74.0
Munson,2001,74.0
Munson,2002,75.0
Munson,2003,75.0
Munson,2004,77.0
Munson,2005,80.0
Munson,2006,83.0
Munson,2007,85.0
Munson,2008,87.0
Munson,2009,89.0
Munson,2010,89.0
Munson,2011,89.0
Munson,2012,89.0
Munson,2013,89.0
Munson,2014,89.0
Munson,2015,89.0
Munson,2016,89.0
Munson,2017,89.0
Munson,2018,89.0
Munson,2019,89.0
Munson,2020,89.0
Munson,2021,89.0
Munson,2022,89.0
Morrin,1994,109.0
Morrin,1995,109.0
Morrin,1996,106.0
Morrin,1997,108.0
Morrin,1998,108.0
Morrin,1999,110.0
Morrin,2000,110.0
Morrin,2001,112.0
Morrin,2002,114.0
Morrin,2003,115.0
Morrin,2004,115.0
Morrin,2005,116.0
Morrin,2006,123.0
Morrin,2007,127.0
Morrin,2008,127.0
Morrin,2009,130.0
Morrin,2010,132.0
Morrin,2011,133.0
Morrin,2012,133.0
Morrin,2013,137.0
Morrin,2014,137.0
Morrin,2015,137.0
Morrin,2016,137.0
Morrin,2017,137.0
Morrin,2018,137.0
Morrin,2019,137.0
Morrin,2020,137.0
Morrin,2021,137.0
Morrin,2022,137.0
Morrin,2023,137.0
Kneehill County,2023,2212.0
Kneehill County,1994,1654.0
Kneehill County,1995,1654.0
Kneehill County,1996,1616.0
Kneehill County,1997,1493.0
Kneehill County,1998,1619.0
Kneehill County,1999,1643.0
Kneehill County,2000,1872.0
Kneehill County,2001,1892.0
Kneehill County,2002,1917.0
Kneehill County,2003,1891.0
Kneehill County,2004,1891.0
Kneehill County,2005,1891.0
Kneehill County,2006,1970.0
Kneehill County,2007,1970.0
Kneehill County,2008,2024.0
Kneehill County,2009,2057.0
Kneehill County,2010,2057.0
Kneehill County,2011,2077.0
Kneehill County,2012,2064.0
Kneehill County,2013,2137.0
Kneehill County,2014,2141.0
Kneehill County,2015,2140.0
Kneehill County,2016,2156.0
Kneehill County,2017,2163.0
Kneehill County,2018,2172.0
Kneehill County,2019,2183.0
Kneehill County,2020,2195.0
Kneehill County,2021,2181.0
Kneehill County,2022,2195.0
Carbon,1994,185.0
Carbon,1995,185.0
Carbon,1996,204.0
Carbon,1997,196.0
Carbon,1998,207.0
Carbon,1999,213.0
Carbon,2000,216.0
Carbon,2001,218.0
Carbon,2002,218.0
Carbon,2003,218.0
Carbon,2004,218.0
Carbon,2005,220.0
Carbon,2006,222.0
Carbon,2007,230.0
Carbon,2008,231.0
Carbon,2009,232.0
Carbon,2010,232.0
Carbon,2011,232.0
Carbon,2012,233.0
Carbon,2013,233.0
Carbon,2014,234.0
Carbon,2015,240.0
Carbon,2016,237.0
Carbon,2017,237.0
Carbon,2018,237.0
Carbon,2019,237.0
Carbon,2020,237.0
Carbon,2021,237.0
Carbon,2022,239.0
Carbon,2023,239.0
Norglenwold,2023,132.0
Norglenwold,1994,73.0
Norglenwold,1995,73.0
Norglenwold,1996,102.0
Norglenwold,1997,104.0
Norglenwold,1998,106.0
Norglenwold,1999,108.0
Norglenwold,2000,108.0
Norglenwold,2001,106.0
Norglenwold,2002,100.0
Norglenwold,2003,100.0
Norglenwold,2004,99.0
Norglenwold,2005,97.0
Norglenwold,2006,96.0
Norglenwold,2007,97.0
Norglenwold,2008,94.0
Norglenwold,2009,93.0
Norglenwold,2010,94.0
Norglenwold,2011,94.0
Norglenwold,2012,93.0
Norglenwold,2013,93.0
Norglenwold,2014,93.0
Norglenwold,2015,93.0
Norglenwold,2016,112.0
Norglenwold,2017,112.0
Norglenwold,2018,112.0
Norglenwold,2019,112.0
Norglenwold,2020,112.0
Norglenwold,2021,132.0
Norglenwold,2022,132.0
Foremost,1994,222.0
Foremost,1995,222.0
Foremost,1996,222.0
Foremost,1997,222.0
Foremost,1998,222.0
Foremost,1999,222.0
Foremost,2000,222.0
Foremost,2001,239.0
Foremost,2002,239.0
Foremost,2003,239.0
Foremost,2004,239.0
Foremost,2005,239.0
Foremost,2006,239.0
Foremost,2007,239.0
Foremost,2008,239.0
Foremost,2009,239.0
Foremost,2010,239.0
Foremost,2011,246.0
Foremost,2012,246.0
Foremost,2013,246.0
Foremost,2014,246.0
Foremost,2015,246.0
Foremost,2016,257.0
Foremost,2017,260.0
Foremost,2018,260.0
Foremost,2019,260.0
Foremost,2020,260.0
Foremost,2021,260.0
Foremost,2022,260.0
Foremost,2023,260.0
Bow Island,2023,799.0
Bow Island,1994,606.0
Bow Island,1995,606.0
Bow Island,1996,606.0
Bow Island,1997,606.0
Bow Island,1998,610.0
Bow Island,1999,610.0
Bow Island,2000,610.0
Bow Island,2001,620.0
Bow Island,2002,620.0
Bow Island,2003,625.0
Bow Island,2004,627.0
Bow Island,2005,631.0
Bow Island,2006,642.0
Bow Island,2007,673.0
Bow Island,2008,680.0
Bow Island,2009,639.0
Bow Island,2010,648.0
Bow Island,2011,648.0
Bow Island,2012,652.0
Bow Island,2013,657.0
Bow Island,2014,659.0
Bow Island,2015,667.0
Bow Island,2016,670.0
Bow Island,2017,688.0
Bow Island,2018,775.0
Bow Island,2019,777.0
Bow Island,2020,778.0
Bow Island,2021,782.0
Bow Island,2022,797.0
Redcliff,1994,1362.0
Redcliff,1995,1362.0
Redcliff,1996,1540.0
Redcliff,1997,1497.0
Redcliff,1998,1516.0
Redcliff,1999,1443.0
Redcliff,2000,1591.0
Redcliff,2001,1590.0
Redcliff,2002,1653.0
Redcliff,2003,1752.0
Redcliff,2004,1777.0
Redcliff,2005,1793.0
Redcliff,2006,1873.0
Redcliff,2007,2110.0
Redcliff,2008,2129.0
Redcliff,2009,2170.0
Redcliff,2010,2176.0
Redcliff,2011,2185.0
Redcliff,2012,2201.0
Redcliff,2013,2073.0
Redcliff,2014,2073.0
Redcliff,2015,2073.0
Redcliff,2016,2073.0
Redcliff,2017,2082.0
Redcliff,2018,2095.0
Redcliff,2019,2093.0
Redcliff,2020,2097.0
Redcliff,2021,2099.0
Redcliff,2022,2099.0
Redcliff,2023,2099.0
Warner County No. 5,2023,1130.0
Warner County No. 5,1994,816.0
Warner County No. 5,1995,816.0
Warner County No. 5,1996,604.0
Warner County No. 5,1997,868.0
Warner County No. 5,1998,878.0
Warner County No. 5,1999,880.0
Warner County No. 5,2000,892.0
Warner County No. 5,2001,892.0
Warner County No. 5,2002,903.0
Warner County No. 5,2003,925.0
Warner County No. 5,2004,930.0
Warner County No. 5,2005,930.0
Warner County No. 5,2006,899.0
Warner County No. 5,2007,896.0
Warner County No. 5,2008,925.0
Warner County No. 5,2009,936.0
Warner County No. 5,2010,961.0
Warner County No. 5,2011,961.0
Warner County No. 5,2012,981.0
Warner County No. 5,2013,984.0
Warner County No. 5,2014,992.0
Warner County No. 5,2015,1017.0
Warner County No. 5,2016,1025.0
Warner County No. 5,2017,1037.0
Warner County No. 5,2018,1051.0
Warner County No. 5,2019,1101.0
Warner County No. 5,2020,1101.0
Warner County No. 5,2021,1101.0
Warner County No. 5,2022,1112.0
Coutts,1994,141.0
Coutts,1995,141.0
Coutts,1996,142.0
Coutts,1997,130.0
Coutts,1998,130.0
Coutts,1999,130.0
Coutts,2000,140.0
Coutts,2001,140.0
Coutts,2002,140.0
Coutts,2003,140.0
Coutts,2004,140.0
Coutts,2005,140.0
Coutts,2006,140.0
Coutts,2007,140.0
Coutts,2008,140.0
Coutts,2009,140.0
Coutts,2010,140.0
Coutts,2011,140.0
Coutts,2012,140.0
Coutts,2013,140.0
Coutts,2014,140.0
Coutts,2015,140.0
Coutts,2016,140.0
Coutts,2017,140.0
Coutts,2018,140.0
Coutts,2019,140.0
Coutts,2020,140.0
Coutts,2021,140.0
Coutts,2022,140.0
Coutts,2023,140.0
Milk River,2023,422.0
Milk River,1994,382.0
Milk River,1995,382.0
Milk River,1996,384.0
Milk River,1997,405.0
Milk River,1998,405.0
Milk River,1999,405.0
Milk River,2000,405.0
Milk River,2001,405.0
Milk River,2002,405.0
Milk River,2003,406.0
Milk River,2004,406.0
Milk River,2005,406.0
Milk River,2006,417.0
Milk River,2007,419.0
Milk River,2008,420.0
Milk River,2009,420.0
Milk River,2010,420.0
Milk River,2011,420.0
Milk River,2012,420.0
Milk River,2013,420.0
Milk River,2014,420.0
Milk River,2015,422.0
Milk River,2016,420.0
Milk River,2017,420.0
Milk River,2018,422.0
Milk River,2019,422.0
Milk River,2020,422.0
Milk River,2021,422.0
Milk River,2022,422.0
Hardisty,1994,293.0
Hardisty,1995,293.0
Hardisty,1996,366.0
Hardisty,1997,373.0
Hardisty,1998,373.0
Hardisty,1999,376.0
Hardisty,2000,376.0
Hardisty,2001,376.0
Hardisty,2002,375.0
Hardisty,2003,378.0
Hardisty,2004,378.0
Hardisty,2005,381.0
Hardisty,2006,385.0
Hardisty,2007,390.0
Hardisty,2008,378.0
Hardisty,2009,380.0
Hardisty,2010,378.0
Hardisty,2011,375.0
Hardisty,2012,377.0
Hardisty,2013,377.0
Hardisty,2014,378.0
Hardisty,2015,382.0
Hardisty,2016,393.0
Hardisty,2017,393.0
Hardisty,2018,393.0
Hardisty,2019,393.0
Hardisty,2020,393.0
Hardisty,2021,393.0
Hardisty,2022,393.0
Hardisty,2023,393.0
Wainwright No. 61,2023,1939.0
Wainwright No. 61,1994,1163.0
Wainwright No. 61,1995,1163.0
Wainwright No. 61,1996,1190.0
Wainwright No. 61,1997,1328.0
Wainwright No. 61,1998,1265.0
Wainwright No. 61,1999,1298.0
Wainwright No. 61,2000,1321.0
Wainwright No. 61,2001,1347.0
Wainwright No. 61,2002,1280.0
Wainwright No. 61,2003,1327.0
Wainwright No. 61,2004,1355.0
Wainwright No. 61,2005,1397.0
Wainwright No. 61,2006,1447.0
Wainwright No. 61,2007,1502.0
Wainwright No. 61,2008,1561.0
Wainwright No. 61,2009,1594.0
Wainwright No. 61,2010,1645.0
Wainwright No. 61,2011,1689.0
Wainwright No. 61,2012,1719.0
Wainwright No. 61,2013,1797.0
Wainwright No. 61,2014,1821.0
Wainwright No. 61,2015,1842.0
Wainwright No. 61,2016,1866.0
Wainwright No. 61,2017,1890.0
Wainwright No. 61,2018,1918.0
Wainwright No. 61,2019,1918.0
Wainwright No. 61,2020,1918.0
Wainwright No. 61,2021,1939.0
Wainwright No. 61,2022,1939.0
Chauvin,1994,156.0
Chauvin,1995,156.0
Chauvin,1996,160.0
Chauvin,1997,163.0
Chauvin,1998,163.0
Chauvin,1999,163.0
Chauvin,2000,156.0
Chauvin,2001,155.0
Chauvin,2002,156.0
Chauvin,2003,156.0
Chauvin,2004,156.0
Chauvin,2005,157.0
Chauvin,2006,157.0
Chauvin,2007,157.0
Chauvin,2008,158.0
Chauvin,2009,159.0
Chauvin,2010,162.0
Chauvin,2011,162.0
Chauvin,2012,162.0
Chauvin,2013,162.0
Chauvin,2014,162.0
Chauvin,2015,162.0
Chauvin,2016,162.0
Chauvin,2017,162.0
Chauvin,2018,162.0
Chauvin,2019,162.0
Chauvin,2020,162.0
Chauvin,2021,162.0
Chauvin,2022,162.0
Chauvin,2023,162.0
Edgerton,2023,182.0
Edgerton,1994,163.0
Edgerton,1995,163.0
Edgerton,1996,170.0
Edgerton,1997,170.0
Edgerton,1998,171.0
Edgerton,1999,174.0
Edgerton,2000,177.0
Edgerton,2001,174.0
Edgerton,2002,176.0
Edgerton,2003,178.0
Edgerton,2004,181.0
Edgerton,2005,184.0
Edgerton,2006,171.0
Edgerton,2007,175.0
Edgerton,2008,180.0
Edgerton,2009,180.0
Edgerton,2010,180.0
Edgerton,2011,180.0
Edgerton,2012,180.0
Edgerton,2013,180.0
Edgerton,2014,180.0
Edgerton,2015,180.0
Edgerton,2016,180.0
Edgerton,2017,180.0
Edgerton,2018,180.0
Edgerton,2019,180.0
Edgerton,2020,182.0
Edgerton,2021,182.0
Edgerton,2022,182.0
Irma,1994,181.0
Irma,1995,181.0
Irma,1996,189.0
Irma,1997,204.0
Irma,1998,206.0
Irma,1999,210.0
Irma,2000,209.0
Irma,2001,205.0
Irma,2002,205.0
Irma,2003,207.0
Irma,2004,208.0
Irma,2005,208.0
Irma,2006,208.0
Irma,2007,212.0
Irma,2008,216.0
Irma,2009,217.0
Irma,2010,217.0
Irma,2011,222.0
Irma,2012,228.0
Irma,2013,228.0
Irma,2014,228.0
Irma,2015,231.0
Irma,2016,231.0
Irma,2017,242.0
Irma,2018,242.0
Irma,2019,244.0
Irma,2020,244.0
Irma,2021,244.0
Irma,2022,244.0
Irma,2023,244.0
Red Deer County,2023,9637.0
Red Deer County,1994,4917.0
Red Deer County,1995,4917.0
Red Deer County,1996,5715.0
Red Deer County,1997,6019.0
Red Deer County,1998,5715.0
Red Deer County,1999,6136.0
Red Deer County,2000,6268.0
Red Deer County,2001,6813.0
Red Deer County,2002,6824.0
Red Deer County,2003,6999.0
Red Deer County,2004,7109.0
Red Deer County,2005,7240.0
Red Deer County,2006,7310.0
Red Deer County,2007,7522.0
Red Deer County,2008,7563.0
Red Deer County,2009,8055.0
Red Deer County,2010,8201.0
Red Deer County,2011,8425.0
Red Deer County,2012,8463.0
Red Deer County,2013,8576.0
Red Deer County,2014,8718.0
Red Deer County,2015,8829.0
Red Deer County,2016,9176.0
Red Deer County,2017,9246.0
Red Deer County,2018,9260.0
Red Deer County,2019,9330.0
Red Deer County,2020,9365.0
Red Deer County,2021,9445.0
Red Deer County,2022,9532.0
Elnora,1994,117.0
Elnora,1995,117.0
Elnora,1996,130.0
Elnora,1997,133.0
Elnora,1998,132.0
Elnora,1999,132.0
Elnora,2000,133.0
Elnora,2001,133.0
Elnora,2002,134.0
Elnora,2003,123.0
Elnora,2004,125.0
Elnora,2005,128.0
Elnora,2006,132.0
Elnora,2007,144.0
Elnora,2008,146.0
Elnora,2009,146.0
Elnora,2010,151.0
Elnora,2011,146.0
Elnora,2012,146.0
Elnora,2013,149.0
Elnora,2014,158.0
Elnora,2015,159.0
Elnora,2016,159.0
Elnora,2017,158.0
Elnora,2018,158.0
Elnora,2019,157.0
Elnora,2020,158.0
Elnora,2021,158.0
Elnora,2022,158.0
Elnora,2023,158.0
Milo,2023,86.0
Milo,1994,56.0
Milo,1995,56.0
Milo,1996,61.0
Milo,1997,61.0
Milo,1998,62.0
Milo,1999,62.0
Milo,2000,62.0
Milo,2001,62.0
Milo,2002,62.0
Milo,2003,60.0
Milo,2004,59.0
Milo,2005,58.0
Milo,2006,64.0
Milo,2007,66.0
Milo,2008,67.0
Milo,2009,67.0
Milo,2010,67.0
Milo,2011,67.0
Milo,2012,65.0
Milo,2013,66.0
Milo,2014,68.0
Milo,2015,68.0
Milo,2016,68.0
Milo,2017,86.0
Milo,2018,86.0
Milo,2019,86.0
Milo,2020,86.0
Milo,2021,86.0
Milo,2022,86.0
Arrowwood,1994,65.0
Arrowwood,1995,65.0
Arrowwood,1996,75.0
Arrowwood,1997,75.0
Arrowwood,1998,75.0
Arrowwood,1999,76.0
Arrowwood,2000,79.0
Arrowwood,2001,82.0
Arrowwood,2002,81.0
Arrowwood,2003,83.0
Arrowwood,2004,83.0
Arrowwood,2005,83.0
Arrowwood,2006,82.0
Arrowwood,2007,82.0
Arrowwood,2008,82.0
Arrowwood,2009,82.0
Arrowwood,2010,82.0
Arrowwood,2011,82.0
Arrowwood,2012,82.0
Arrowwood,2013,82.0
Arrowwood,2014,82.0
Arrowwood,2015,82.0
Arrowwood,2016,81.0
Arrowwood,2017,81.0
Arrowwood,2018,81.0
Arrowwood,2019,81.0
Arrowwood,2020,81.0
Arrowwood,2021,80.0
Stettler County No. 6,1994,1700.0
Stettler County No. 6,1995,1700.0
Stettler County No. 6,1996,1755.0
Stettler County No. 6,1997,1758.0
Stettler County No. 6,1998,2150.0
Stettler County No. 6,1999,2153.0
Stettler County No. 6,2000,2222.0
Stettler County No. 6,2001,2223.0
Stettler County No. 6,2002,1808.0
Stettler County No. 6,2003,1808.0
Stettler County No. 6,2004,1749.0
Stettler County No. 6,2005,1800.0
Stettler County No. 6,2006,2151.0
Stettler County No. 6,2007,2831.0
Stettler County No. 6,2008,2992.0
Stettler County No. 6,2009,2302.0
Stettler County No. 6,2010,2363.0
Stettler County No. 6,2011,2364.0
Stettler County No. 6,2012,2371.0
Stettler County No. 6,2013,2372.0
Stettler County No. 6,2014,2402.0
Stettler County No. 6,2015,2422.0
Stettler County No. 6,2016,2262.0
Stettler County No. 6,2017,2237.0
Stettler County No. 6,2018,2237.0
Stettler County No. 6,2019,2277.0
Stettler County No. 6,2020,2277.0
Stettler County No. 6,2021,2277.0
Stettler County No. 6,2022,2277.0
Stettler County No. 6,2023,2289.0
Big Valley,1994,140.0
Big Valley,1995,140.0
Big Valley,1996,143.0
Big Valley,1997,148.0
Big Valley,1998,159.0
Big Valley,1999,160.0
Big Valley,2000,160.0
Big Valley,2001,162.0
Big Valley,2002,164.0
Big Valley,2003,165.0
Big Valley,2004,165.0
Big Valley,2005,166.0
Big Valley,2006,179.0
Big Valley,2007,201.0
Big Valley,2008,230.0
Big Valley,2009,232.0
Big Valley,2010,193.0
Big Valley,2011,191.0
Big Valley,2012,192.0
Big Valley,2013,192.0
Big Valley,2014,190.0
Big Valley,2015,190.0
Big Valley,2016,190.0
Big Valley,2017,190.0
Big Valley,2018,190.0
Big Valley,2019,190.0
Big Valley,2020,190.0
Big Valley,2021,190.0
Stettler,2023,2390.0
Stettler,1994,1974.0
Stettler,1995,1974.0
Stettler,1996,2082.0
Stettler,1997,1807.0
Stettler,1998,1818.0
Stettler,1999,1862.0
Stettler,2000,1872.0
Stettler,2001,1872.0
Stettler,2002,1885.0
Stettler,2003,1885.0
Stettler,2004,1917.0
Stettler,2005,1967.0
Stettler,2006,2063.0
Stettler,2007,2130.0
Stettler,2008,2179.0
Stettler,2009,2197.0
Stettler,2010,2248.0
Stettler,2011,2259.0
Stettler,2012,2370.0
Stettler,2013,2380.0
Stettler,2014,2392.0
Stettler,2015,2406.0
Stettler,2016,2415.0
Stettler,2017,2423.0
Stettler,2018,2433.0
Stettler,2019,2436.0
Stettler,2020,2440.0
Stettler,2021,2384.0
Stettler,2022,2384.0
Acme,1994,228.0
Acme,1995,228.0
Acme,1996,247.0
Acme,1997,251.0
Acme,1998,253.0
Acme,1999,255.0
Acme,2000,255.0
Acme,2001,262.0
Acme,2002,268.0
Acme,2003,270.0
Acme,2004,272.0
Acme,2005,273.0
Acme,2006,276.0
Acme,2007,280.0
Acme,2008,326.0
Acme,2009,326.0
Acme,2010,326.0
Acme,2011,326.0
Acme,2012,326.0
Acme,2013,285.0
Acme,2014,288.0
Acme,2015,288.0
Acme,2016,285.0
Acme,2017,285.0
Acme,2018,285.0
Acme,2019,285.0
Acme,2020,285.0
Acme,2021,285.0
Acme,2022,285.0
Acme,2023,285.0
Linden,2023,360.0
Linden,1994,196.0
Linden,1995,196.0
Linden,1996,225.0
Linden,1997,236.0
Linden,1998,245.0
Linden,1999,251.0
Linden,2000,286.0
Linden,2001,291.0
Linden,2002,298.0
Linden,2003,331.0
Linden,2004,335.0
Linden,2005,337.0
Linden,2006,350.0
Linden,2007,337.0
Linden,2008,337.0
Linden,2009,337.0
Linden,2010,339.0
Linden,2011,339.0
Linden,2012,339.0
Linden,2013,339.0
Linden,2014,339.0
Linden,2015,351.0
Linden,2016,351.0
Linden,2017,358.0
Linden,2018,360.0
Linden,2019,360.0
Linden,2020,360.0
Linden,2021,360.0
Linden,2022,360.0
Lacombe County,1994,2994.0
Lacombe County,1995,2994.0
Lacombe County,1996,3896.0
Lacombe County,1997,4071.0
Lacombe County,1998,4124.0
Lacombe County,1999,4076.0
Lacombe County,2000,1137.0
Lacombe County,2001,4376.0
Lacombe County,2002,4197.0
Lacombe County,2003,4242.0
Lacombe County,2004,4485.0
Lacombe County,2005,4519.0
Lacombe County,2006,4575.0
Lacombe County,2007,4650.0
Lacombe County,2008,4760.0
Lacombe County,2009,4791.0
Lacombe County,2010,4833.0
Lacombe County,2011,4863.0
Lacombe County,2012,4910.0
Lacombe County,2013,4930.0
Lacombe County,2014,5011.0
Lacombe County,2015,5002.0
