CSD,Period,Crop Type,Count
Northern Lights County,2011,Other,111281
Northern Lights County,2016,Other,68399
Northern Lights County,2021,Other,91057
Thorhild County,2006,Other,95690
Thorhild County,2011,Other,100502
Thorhild County,2016,Other,46127
Thorhild County,2021,Other,40850
Athabasca County,2006,Other,181770
Athabasca County,2011,Other,114120
Athabasca County,2016,Other,104087
Athabasca County,2021,Other,104834
Lesser Slave River No.124,2006,Other,26457
Lesser Slave River No.124,2011,Other,28085
Lesser Slave River No.124,2016,Other,18505
Lesser Slave River No.124,2021,Other,17509
Lamont County,2006,Other,157905
Lamont County,2011,Other,65051
Lamont County,2016,Other,78023
Lamont County,2021,Other,52688
Two Hills County No. 21,2006,Other,163836
Two Hills County No. 21,2011,Other,83463
Two Hills County No. 21,2016,Other,65692
Two Hills County No. 21,2021,Other,62591
Yellowhead County,2006,Other,108480
Yellowhead County,2011,Other,95569
Yellowhead County,2016,Other,84238
Yellowhead County,2021,Other,80023
