CSDUID,CSD,Period,IndicatorSummaryDescription,Structural Type,UnitOfMeasure,OriginalValue
4805031,Starland County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805031,Starland County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805034,Delia,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805034,Delia,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805034,Delia,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805034,Delia,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805034,Delia,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805036,Munson,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805036,Munson,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805036,Munson,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805036,Munson,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805036,Munson,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805038,Morrin,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805038,Morrin,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805038,Morrin,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805038,Morrin,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805038,Morrin,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805041,Kneehill County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4805041,Kneehill County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805041,Kneehill County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805041,Kneehill County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805041,Kneehill County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805042,Carbon,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805042,Carbon,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4805042,Carbon,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805042,Carbon,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805042,Carbon,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4808012,Sylvan Lake,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,205
4808012,Sylvan Lake,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,280
4808012,Sylvan Lake,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,380
4808012,Sylvan Lake,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,480
4808012,Sylvan Lake,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,535
4808013,Norglenwold,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808013,Norglenwold,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808013,Norglenwold,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808013,Norglenwold,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808013,Norglenwold,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4801009,Foremost,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4801009,Foremost,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4801009,Foremost,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4801009,Foremost,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4801009,Foremost,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4801014,Bow Island,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4801014,Bow Island,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4801014,Bow Island,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4801014,Bow Island,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4801014,Bow Island,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4801018,Redcliff,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,55
4801018,Redcliff,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,65
4801018,Redcliff,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,75
4801018,Redcliff,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,200
4801018,Redcliff,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,270
4802001,Warner County No. 5,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802001,Warner County No. 5,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4802001,Warner County No. 5,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802001,Warner County No. 5,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802001,Warner County No. 5,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802002,Coutts,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4802002,Coutts,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4802002,Coutts,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4802002,Coutts,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4802002,Coutts,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802004,Milk River,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4802004,Milk River,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,40
4802004,Milk River,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802004,Milk River,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4802004,Milk River,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4802006,Warner,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4802006,Warner,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4802006,Warner,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4802006,Warner,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4802006,Warner,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807048,Hardisty,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4807048,Hardisty,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4807048,Hardisty,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4807048,Hardisty,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4807048,Hardisty,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807049,Wainwright No. 61,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807049,Wainwright No. 61,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807049,Wainwright No. 61,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807049,Wainwright No. 61,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807049,Wainwright No. 61,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807051,Chauvin,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807051,Chauvin,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807051,Chauvin,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807051,Chauvin,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807051,Chauvin,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807052,Edgerton,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807052,Edgerton,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4807052,Edgerton,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807052,Edgerton,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807052,Edgerton,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4807054,Wainwright,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,215
4807054,Wainwright,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,255
4807054,Wainwright,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,235
4807054,Wainwright,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,250
4807054,Wainwright,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,240
4807056,Irma,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807056,Irma,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4807056,Irma,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807056,Irma,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807056,Irma,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808001,Red Deer County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4808001,Red Deer County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808001,Red Deer County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4808001,Red Deer County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,70
4808001,Red Deer County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,120
4808002,Elnora,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4808002,Elnora,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808002,Elnora,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808002,Elnora,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808002,Elnora,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805009,Milo,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805009,Milo,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805009,Milo,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805009,Milo,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805009,Milo,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805011,Arrowwood,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805011,Arrowwood,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805011,Arrowwood,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805011,Arrowwood,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805011,Arrowwood,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805012,Wheatland County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805012,Wheatland County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4805012,Wheatland County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805012,Wheatland County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805012,Wheatland County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807019,Stettler County No. 6,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807019,Stettler County No. 6,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807019,Stettler County No. 6,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807019,Stettler County No. 6,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807019,Stettler County No. 6,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807021,Big Valley,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807021,Big Valley,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807021,Big Valley,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807021,Big Valley,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807021,Big Valley,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807022,Gadsby,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807022,Gadsby,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807024,Botha,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807024,Botha,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807024,Botha,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807024,Botha,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807026,Stettler,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,260
4807026,Stettler,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,255
4807026,Stettler,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,300
4807026,Stettler,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,260
4807026,Stettler,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,250
4805044,Acme,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805044,Acme,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805044,Acme,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805044,Acme,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805044,Acme,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805046,Linden,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,40
4805046,Linden,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,50
4805046,Linden,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4805046,Linden,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805046,Linden,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4808022,Lacombe County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4808022,Lacombe County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4808022,Lacombe County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4808022,Lacombe County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4808022,Lacombe County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,65
4808023,Birchcliff,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808023,Birchcliff,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808023,Birchcliff,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808023,Birchcliff,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808023,Birchcliff,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808004,Delburne,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4808004,Delburne,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808004,Delburne,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4808004,Delburne,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4808004,Delburne,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808005,Jarvis Bay,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808005,Jarvis Bay,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808005,Jarvis Bay,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808005,Jarvis Bay,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808005,Jarvis Bay,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808006,Bowden,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,45
4808006,Bowden,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,40
4808006,Bowden,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4808006,Bowden,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808006,Bowden,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4808008,Innisfail,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,455
4808008,Innisfail,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,510
4808008,Innisfail,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,355
4808008,Innisfail,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,385
4808008,Innisfail,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,525
4808009,Penhold,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,70
4808009,Penhold,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,85
4808009,Penhold,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,35
4808009,Penhold,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4808009,Penhold,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,40
4808024,Eckville,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4808024,Eckville,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808024,Eckville,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4808024,Eckville,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4808024,Eckville,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808025,Half Moon Bay,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808025,Half Moon Bay,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808026,Bentley,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4808026,Bentley,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4808026,Bentley,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,35
4808026,Bentley,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4808026,Bentley,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4808027,Sunbreaker Cove,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808027,Sunbreaker Cove,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808027,Sunbreaker Cove,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808027,Sunbreaker Cove,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808028,Gull Lake,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808028,Gull Lake,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808028,Gull Lake,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808028,Gull Lake,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808028,Gull Lake,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808029,Blackfalds,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4808029,Blackfalds,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4808029,Blackfalds,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,40
4808029,Blackfalds,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,70
4808029,Blackfalds,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,170
4807028,Rochon Sands,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807028,Rochon Sands,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807028,Rochon Sands,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807028,Rochon Sands,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807028,Rochon Sands,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807029,Donalda,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807029,Donalda,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807029,Donalda,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807029,Donalda,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807029,Donalda,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807031,Flagstaff County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807031,Flagstaff County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807031,Flagstaff County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807031,Flagstaff County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807031,Flagstaff County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807032,Alliance,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807032,Alliance,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807032,Alliance,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807032,Alliance,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807032,Alliance,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807027,White Sands,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807027,White Sands,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807027,White Sands,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807027,White Sands,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807036,Forestburg,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4807036,Forestburg,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807036,Forestburg,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807036,Forestburg,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807036,Forestburg,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807038,Heisler,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807038,Heisler,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807038,Heisler,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807038,Heisler,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807038,Heisler,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811016,Leduc,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,670
4811016,Leduc,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,1150
4811016,Leduc,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,1360
4811016,Leduc,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,1390
4811016,Leduc,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,1590
4807008,Amisk,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807008,Amisk,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807008,Amisk,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807008,Amisk,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807008,Amisk,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807011,Paintearth County No. 18,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807011,Paintearth County No. 18,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
