CSD,Period,Key,0-4 (Count of People),05-09 (Count of People),10-14 (Count of People),15-19 (Count of People),20-24 (Count of People),25-29 (Count of People),30-34 (Count of People),35-39 (Count of People),40-44 (Count of People),45-49 (Count of People),50-54 (Count of People),55-59 (Count of People),Life Expectancy (Years),Oil Wells (Count),Natural Gas Production (m^3),CH4 Equivalent (t),CO2 Equivalent (t),N2O Equivalent (t),Oats (Count),Canola (Count),Barley (Count),Durum Wheat (Count),Non-Durum Wheat (Count),Other Crops (Count),Cattle and Calves (Count),Pigs (Count),Dwelling Units (Count),"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Residence/Housing Starts (Count),Vehicle Registration (Count),Fire Size (Hectares),Fires (Count),Adjusted_AQHI
Red Deer,2001,Red Deer2001,4319,865,4946,5658,6751,5881,5119,5816,6365,5331,4007,2192,,,,,,,,,,,,,,,25618.0,5640.0,755.0,465.0,940.0,20.0,2800.0,2110.0,13265.0,1331.0,,,,
Red Deer,2002,Red Deer2002,4446,832,4975,5925,7206,6276,5305,5664,6570,5733,4262,2403,,,,,,,,,,,,,,,29861.0,,,,,,,,,1485.0,,,,
Red Deer,2003,Red Deer2003,4664,829,5038,6078,7653,6555,5503,5495,6674,6173,4572,2650,,,,,,,,,,,,,,,30559.0,,,,,,,,,1124.0,,,,
Red Deer,2004,Red Deer2004,4848,860,5071,6300,8021,6963,5735,5438,6780,6390,4998,2912,,,,0.0,0.0,0.0,,,,,,,,,33399.0,,,,,,,,,1343.0,,,,
Red Deer,2005,Red Deer2005,5122,883,5176,6493,8618,7465,6127,5632,6723,6723,5404,3249,,,,0.0,0.0,0.0,,,,,,,,,34038.0,,,,,,,,,1270.0,69394.0,,,
Red Deer,2006,Red Deer2006,5236,1010,5300,6452,9369,8058,6597,5950,6628,7048,5854,3464,,,,0.0,0.0,0.0,,,,,,,,,34342.0,7285.0,610.0,1110.0,905.0,30.0,3255.0,2730.0,16720.0,1429.0,73309.0,,,
Red Deer,2007,Red Deer2007,5532,1028,5274,6135,9641,8607,6863,6162,6451,7186,6176,3633,,,,0.0,0.0,0.0,,,,,,,,,36138.0,,,,,,,,,1558.0,77226.0,,,
Red Deer,2008,Red Deer2008,5733,1112,5279,6073,9356,9102,7091,6327,6273,7257,6566,3833,,,,0.0,0.0,0.0,,,,,,,,,36776.0,,,,,,,,,572.0,78857.0,,,
Red Deer,2009,Red Deer2009,5938,1091,5262,6076,9124,9367,7381,6422,6116,7310,6776,4104,,,,0.0,0.0,0.0,,,,,,,,,37703.0,,,,,,,,,497.0,79679.0,,,
Red Deer,2010,Red Deer2010,6128,1066,5146,6037,8498,9355,7601,6415,6056,7057,6967,4369,,,,0.0,0.0,0.0,,,,,,,,,38685.0,,,,,,,,,585.0,79679.0,,,
Red Deer,2011,Red Deer2011,6357,1090,5213,6256,8056,9159,7903,6612,6136,6786,7214,4771,79.92999999999999,,,0.0,0.0,0.0,,,,,,,,,39227.0,7340.0,555.0,1065.0,1080.0,35.0,3530.0,2970.0,19775.0,555.0,83466.0,,,2.74906
Red Deer,2012,Red Deer2012,6581,1244,5401,6163,8080,9342,8379,6963,6415,6585,7419,5102,79.97,,,0.0,0.0,0.0,,,,,,,,,39227.0,,,,,,,,,568.0,86641.0,,,2.4325243252432522
Red Deer,2013,Red Deer2013,6716,1277,5565,6073,8162,9334,8873,7323,6621,6403,7459,5374,80.14999999999999,,,0.0,0.0,0.0,,,,,,,,,40893.0,,,,,,,,,784.0,89627.0,,,2.5446600000000004
Red Deer,2014,Red Deer2014,6734,1355,5687,6125,8080,9344,9131,7707,6832,6270,7521,5504,80.17666666666666,,,0.0,0.0,0.0,,,,,,,,,41308.0,,,,,,,,,867.0,93030.0,,,2.23417
Red Deer,2015,Red Deer2015,6652,1359,5775,6149,7785,9215,9174,7910,6990,6235,7223,5582,80.34,,,0.0,0.0,0.0,,,,,,,,,42034.0,,,,,,,,,692.0,92096.0,,,2.26231
Red Deer,2016,Red Deer2016,6493,1255,5801,6201,7515,8812,8992,8016,7082,6360,6806,5707,80.57666666666667,,,0.0,0.0,0.0,,,,,,,,,42664.0,8415.0,590.0,1520.0,1085.0,35.0,4025.0,3255.0,21060.0,375.0,86902.0,,,1.9000409995900038
Red Deer,2017,Red Deer2017,6379,1334,6066,6160,7275,8299,8940,8200,7208,6477,6622,5681,80.67333333333333,,,83462.575,23793.164,158.536,,,,,,,,,42664.0,,,,,,,,,331.0,85220.0,,,2.2627726277262767
Red Deer,2018,Red Deer2018,6333,1341,6301,6171,6975,8029,8710,8425,7305,6594,6399,5718,80.72666666666667,,,84438.625,31503.397,374.884,,,,,,,,,42664.0,,,,,,,,,272.0,85721.0,,,2.6648766487664877
Red Deer,2019,Red Deer2019,6187,1346,6514,6138,6840,7820,8498,8434,7530,6689,6143,5675,80.82,,,79088.0,30295.55058,162.112,,,,,,,,,42664.0,,,,,,,,,244.0,83801.0,,,2.32946
Red Deer,2020,Red Deer2020,6124,1235,6688,6119,6471,7486,8339,8409,7711,6783,6071,5449,80.79,,,81672.8675,39121.5524,197.5144,,,,,,,,,42780.0,,,,,,,,,171.0,84098.0,,,2.2323923239232393
Red Deer,2021,Red Deer2021,5610,1251,6564,6327,6604,7077,7985,8316,7866,6769,6190,5191,80.66000000000001,,,81087.325,67350.3888,392.2872,,,,,,,,,42780.0,8495.0,590.0,1365.0,1040.0,17365.0,4130.0,3335.0,21515.0,207.0,,,,2.36964
Red Deer,2022,Red Deer2022,5383,1165,6532,6472,6687,6901,7814,8354,7999,6980,6382,4925,80.58333333333333,,,,,,,,,,,,,,42780.0,,,,,,,,,166.0,,,,2.35551
Red Deer,2023,Red Deer2023,5389,1228,6758,6688,7200,7127,8162,8524,8362,7396,6632,4793,,,,,,,,,,,,,,,46151.0,,,,,,,,,189.0,,,,
Strathmore,2001,Strathmore2001,568,120,654,619,470,502,609,688,665,586,510,277,,,,,,,,,,,,,,,2775.0,270.0,0.0,15.0,300.0,0.0,225.0,225.0,1690.0,,,,,
Strathmore,2002,Strathmore2002,601,118,689,658,505,532,644,711,704,632,538,324,,,,,,,,,,,,,,,3048.0,,,,,,,,,,,,,
Strathmore,2003,Strathmore2003,614,138,729,687,562,571,668,744,737,672,551,366,,,,,,,,,,,,,,,3146.0,,,,,,,,,,,,,
Strathmore,2004,Strathmore2004,648,133,757,695,605,588,714,758,785,698,599,385,,,,0.0,0.0,0.0,,,,,,,,,3494.0,,,,,,,,,,,,,
Strathmore,2005,Strathmore2005,674,152,766,754,651,628,741,791,860,711,643,430,,,,0.0,0.0,0.0,,,,,,,,,3858.0,,,,,,,,,,11692.0,,,
Strathmore,2006,Strathmore2006,748,164,836,840,695,690,755,849,909,755,676,448,,,,0.0,0.0,0.0,,,,,,,,,4001.0,450.0,0.0,15.0,160.0,0.0,280.0,410.0,2465.0,,12655.0,,,
Strathmore,2007,Strathmore2007,800,173,846,869,764,747,813,927,917,803,751,473,,,,0.0,0.0,0.0,,,,,,,,,4409.0,,,,,,,,,,13711.0,,,
Strathmore,2008,Strathmore2008,856,169,877,858,775,791,862,955,925,810,762,495,,,,0.0,0.0,0.0,,,,,,,,,4739.0,,,,,,,,,154.0,14242.0,,,
Strathmore,2009,Strathmore2009,890,196,907,860,785,818,886,997,951,879,778,541,,,,0.0,0.0,0.0,,,,,,,,,4912.0,,,,,,,,,68.0,14574.0,,,
Strathmore,2010,Strathmore2010,911,181,921,888,761,869,918,997,977,910,769,579,,,,0.0,0.0,0.0,,,,,,,,,5060.0,,,,,,,,,69.0,14574.0,,,
Strathmore,2011,Strathmore2011,885,200,892,913,741,872,940,1005,999,917,779,610,79.32,,,0.0,0.0,0.0,,,,,,,,,5060.0,505.0,0.0,35.0,185.0,5.0,365.0,520.0,2970.0,189.0,15161.0,,,
Strathmore,2012,Strathmore2012,915,200,935,915,749,869,931,1030,1028,936,810,644,79.37333333333333,,,0.0,0.0,0.0,,,,,,,,,5399.0,,,,,,,,,85.0,15877.0,,,
Strathmore,2013,Strathmore2013,926,210,923,911,792,904,970,1047,1043,950,831,672,79.48,,,0.0,0.0,0.0,,,,,,,,,5399.0,,,,,,,,,46.0,16391.0,,,
Strathmore,2014,Strathmore2014,933,219,935,933,823,907,1001,1031,1073,952,902,670,79.64333333333333,,,0.0,0.0,0.0,,,,,,,,,5399.0,,,,,,,,,71.0,17050.0,,,
Strathmore,2015,Strathmore2015,892,213,912,895,828,891,990,1015,1041,931,909,653,79.62,,,0.0,0.0,0.0,,,,,,,,,5931.0,,,,,,,,,108.0,17274.0,,,
Strathmore,2016,Strathmore2016,925,179,904,917,818,900,1010,1002,1010,954,923,678,79.59666666666666,,,0.0,0.0,0.0,,,,,,,,,5931.0,650.0,0.0,50.0,220.0,5.0,540.0,605.0,3075.0,91.0,17101.0,,,
Strathmore,2017,Strathmore2017,951,224,909,960,838,912,989,1048,1009,989,974,682,79.77999999999999,,,0.0,0.0,0.0,,,,,,,,,5931.0,,,,,,,,,79.0,17073.0,,,
Strathmore,2018,Strathmore2018,975,187,969,903,793,967,990,1041,1035,955,967,729,79.78666666666668,,,0.0,0.0,0.0,,,,,,,,,5989.0,,,,,,,,,67.0,17537.0,,,
Strathmore,2019,Strathmore2019,906,241,1014,891,781,952,998,1072,996,997,913,767,79.52,,,0.0,0.0,0.0,,,,,,,,,5989.0,,,,,,,,,29.0,17447.0,,,
Strathmore,2020,Strathmore2020,851,211,1106,927,715,930,1015,1086,1002,1008,908,784,79.27333333333333,,,0.0,0.0,0.0,,,,,,,,,5989.0,,,,,,,,,22.0,17661.0,,,
Strathmore,2021,Strathmore2021,776,179,1082,1008,721,782,986,1076,1047,1027,970,745,79.03,,,0.0,0.0,0.0,,,,,,,,,5989.0,735.0,0.0,50.0,225.0,2055.0,550.0,715.0,3230.0,52.0,,,,
Strathmore,2022,Strathmore2022,804,167,1108,1056,732,784,975,1076,1064,1057,1009,756,78.70333333333333,,,,,,,,,,,,,,5998.0,,,,,,,,,36.0,,,,
Strathmore,2023,Strathmore2023,814,191,1173,1104,754,781,1012,1066,1084,1086,1050,781,,,,,,,,,,,,,,,6164.0,,,,,,,,,31.0,,,,
Hussar,2001,Hussar2001,15,3,9,11,12,19,12,9,16,14,5,4,,,,,,,,,,,,,,,83.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,55.0,,,,,
Hussar,2002,Hussar2002,15,3,10,12,11,18,13,9,14,15,5,4,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,
Hussar,2003,Hussar2003,17,2,11,9,12,18,13,9,11,20,6,3,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,
Hussar,2004,Hussar2004,16,3,13,10,11,18,12,10,10,16,10,5,,,,0.0,0.0,0.0,,,,,,,,,83.0,,,,,,,,,,,,,
Hussar,2005,Hussar2005,21,2,11,8,12,18,14,11,9,14,10,6,,,,0.0,0.0,0.0,,,,,,,,,83.0,,,,,,,,,,731.0,,,
Hussar,2006,Hussar2006,19,5,14,9,4,22,12,14,11,10,15,7,,,,0.0,0.0,0.0,,,,,,,,,83.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,70.0,,782.0,,,
Hussar,2007,Hussar2007,19,5,14,10,5,21,12,13,11,9,18,7,,,,0.0,0.0,0.0,,,,,,,,,84.0,,,,,,,,,,798.0,,,
Hussar,2008,Hussar2008,20,5,14,9,2,20,10,14,12,7,20,7,,,,0.0,0.0,0.0,,,,,,,,,84.0,,,,,,,,,,833.0,,,
Hussar,2009,Hussar2009,14,5,13,11,4,21,8,13,14,9,17,7,,,,0.0,0.0,0.0,,,,,,,,,84.0,,,,,,,,,,826.0,,,
Hussar,2010,Hussar2010,14,5,14,7,4,23,7,11,13,8,17,7,,,,0.0,0.0,0.0,,,,,,,,,85.0,,,,,,,,,,826.0,,,
Hussar,2011,Hussar2011,6,1,15,8,7,9,12,13,14,14,12,12,79.32,,,0.0,0.0,0.0,,,,,,,,,85.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,,824.0,,,
Hussar,2012,Hussar2012,7,0,15,8,7,8,13,13,13,15,12,12,79.37333333333333,,,0.0,0.0,0.0,,,,,,,,,89.0,,,,,,,,,,839.0,,,
Hussar,2013,Hussar2013,6,2,16,6,8,10,12,12,13,15,12,14,79.48,,,0.0,0.0,0.0,,,,,,,,,89.0,,,,,,,,,,876.0,,,
Hussar,2014,Hussar2014,8,0,15,8,6,13,14,11,11,16,11,15,79.64333333333333,,,0.0,0.0,0.0,,,,,,,,,87.0,,,,,,,,,,888.0,,,
Hussar,2015,Hussar2015,9,2,17,10,4,8,19,11,12,12,13,12,79.62,,,0.0,0.0,0.0,,,,,,,,,87.0,,,,,,,,,,906.0,,,
Hussar,2016,Hussar2016,14,0,16,12,4,11,20,10,12,14,16,13,79.59666666666666,,,0.0,0.0,0.0,,,,,,,,,87.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,60.0,,905.0,,,
Hussar,2017,Hussar2017,7,4,10,10,5,6,12,9,7,15,10,14,79.77999999999999,,,0.0,0.0,0.0,,,,,,,,,87.0,,,,,,,,,,915.0,,,
Hussar,2018,Hussar2018,11,4,12,10,4,4,9,9,7,14,12,11,79.78666666666668,,,0.0,0.0,0.0,,,,,,,,,87.0,,,,,,,,,,909.0,,,
Hussar,2019,Hussar2019,10,3,12,13,6,4,12,10,8,11,11,9,79.52,,,0.0,0.0,0.0,,,,,,,,,86.0,,,,,,,,,,891.0,,,
Hussar,2020,Hussar2020,12,2,9,12,8,1,10,15,6,9,11,10,79.27333333333333,,,0.0,0.0,0.0,,,,,,,,,86.0,,,,,,,,,,871.0,,,
Hussar,2021,Hussar2021,7,4,6,10,12,3,13,13,6,7,11,13,79.03,,,0.0,0.0,0.0,,,,,,,,,85.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,65.0,,,,,
Hussar,2022,Hussar2022,17,1,5,11,10,7,8,10,10,5,8,14,78.70333333333333,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,
Hussar,2023,Hussar2023,18,2,7,8,9,7,8,11,8,8,6,13,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,
Standard,2001,Standard2001,27,4,33,30,23,18,30,40,36,32,37,8,,,,,,,,,,,,,,,157.0,0.0,5.0,0.0,20.0,0.0,0.0,5.0,125.0,,,,,
Standard,2002,Standard2002,29,5,32,32,22,16,28,39,35,29,41,10,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,
Standard,2003,Standard2003,30,3,31,29,27,13,27,34,41,28,42,12,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,
Standard,2004,Standard2004,22,7,25,31,26,15,30,30,47,25,38,17,,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,,,,
Standard,2005,Standard2005,19,6,28,32,28,16,28,26,47,30,30,21,,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1050.0,,,
Standard,2006,Standard2006,23,4,27,36,17,20,19,34,40,41,23,28,,,,0.0,0.0,0.0,,,,,,,,,158.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,,1073.0,,,
Standard,2007,Standard2007,24,4,26,35,18,21,18,32,35,45,23,32,,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1110.0,,,
Standard,2008,Standard2008,28,3,25,36,18,22,19,27,30,45,21,33,,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1119.0,,,
Standard,2009,Standard2009,32,2,29,28,18,25,20,32,23,46,22,30,,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1124.0,,,
Standard,2010,Standard2010,32,6,28,26,19,24,21,33,22,45,24,27,,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1124.0,,,
Standard,2011,Standard2011,35,7,31,23,18,24,30,19,27,36,33,16,79.32,,,0.0,0.0,0.0,,,,,,,,,158.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,125.0,,1120.0,,,
Standard,2012,Standard2012,33,8,29,24,17,24,32,19,23,33,38,14,79.37333333333333,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1129.0,,,
Standard,2013,Standard2013,29,9,28,16,15,23,32,19,25,29,41,16,79.48,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1160.0,,,
Standard,2014,Standard2014,29,6,27,20,8,17,32,22,22,23,42,19,79.64333333333333,,,0.0,0.0,0.0,,,,,,,,,158.0,,,,,,,,,,1164.0,,,
Standard,2015,Standard2015,26,6,25,22,11,17,31,22,23,22,40,21,79.62,,,0.0,0.0,0.0,,,,,,,,,159.0,,,,,,,,,,1193.0,,,
Standard,2016,Standard2016,14,6,25,14,11,8,34,27,18,24,34,30,79.59666666666666,,,0.0,0.0,0.0,,,,,,,,,159.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,140.0,,1156.0,,,
Standard,2017,Standard2017,11,5,26,14,12,11,31,28,19,22,26,28,79.77999999999999,,,0.0,0.0,0.0,,,,,,,,,159.0,,,,,,,,,,1201.0,,,
Standard,2018,Standard2018,12,4,43,13,9,13,26,28,19,20,25,36,79.78666666666668,,,0.0,0.0,0.0,,,,,,,,,159.0,,,,,,,,,,1222.0,,,
Standard,2019,Standard2019,15,3,40,16,9,10,19,30,22,16,24,30,79.52,,,0.0,0.0,0.0,,,,,,,,,159.0,,,,,,,,,,1221.0,,,
Standard,2020,Standard2020,14,7,41,19,10,8,19,22,26,14,23,28,79.27333333333333,,,0.0,0.0,0.0,,,,,,,,,159.0,,,,,,,,,,1233.0,,,
Standard,2021,Standard2021,13,3,33,18,11,11,19,23,21,18,29,22,79.03,,,0.0,0.0,0.0,,,,,,,,,159.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,130.0,,,,,
Standard,2022,Standard2022,19,0,25,29,11,14,12,29,22,21,27,16,78.70333333333333,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,
Standard,2023,Standard2023,27,1,23,37,10,12,10,33,18,26,25,23,,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,
Rockyford,2001,Rockyford2001,31,5,32,22,16,33,33,32,29,24,18,7,,,,,,,,,,,,,,,191.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,,,,,
Rockyford,2002,Rockyford2002,31,5,33,22,15,29,33,30,29,24,17,9,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,,
