Municipality,Year,Key,Sum_firesize,Count_fires
Lac La Biche County,2022,Lac La Biche County2022,0,0
Mackenzie County,2012,Mackenzie County2012,48.5,0
Mackenzie County,2012,Mackenzie County2012,19754.98,3
Mackenzie County,2012,Mackenzie County2012,43940.8,11
Mackenzie County,2012,Mackenzie County2012,577721.79,23
Mackenzie County,2012,Mackenzie County2012,0,0
Mackenzie County,2013,Mackenzie County2013,1790.49,1
Mackenzie County,2018,Mackenzie County2018,0,0
Mackenzie County,2019,Mackenzie County2019,0,0
Mackenzie County,2020,Mackenzie County2020,0,0
Mackenzie County,2021,Mackenzie County2021,0,0
Mackenzie County,2022,Mackenzie County2022,0,0
Mountain View County,2012,Mountain View County2012,2755.3,2
Mountain View County,2012,Mountain View County2012,51574.4,3
Mountain View County,2012,Mountain View County2012,577721.79,23
Mountain View County,2012,Mountain View County2012,0,0
Mountain View County,2013,Mountain View County2013,19754.98,3
Mountain View County,2016,Mountain View County2016,66,2
Mountain View County,2018,Mountain View County2018,0,0
Mountain View County,2019,Mountain View County2019,0,0
Mountain View County,2020,Mountain View County2020,0,0
Mountain View County,2021,Mountain View County2021,0,0
Mountain View County,2022,Mountain View County2022,0,0
Municipal District of Bighorn,2013,Municipal District of Bighorn2013,51574.4,3
Municipal District of Bighorn,2013,Municipal District of Bighorn2013,0,0
Municipal District of Bighorn,2014,Municipal District of Bighorn2014,19754.98,3
Municipal District of Bighorn,2014,Municipal District of Bighorn2014,577721.79,33
Municipal District of Bighorn,2016,Municipal District of Bighorn2016,66,2
Municipal District of Bighorn,2017,Municipal District of Bighorn2017,2755.3,2
Municipal District of Bighorn,2018,Municipal District of Bighorn2018,0,0
Municipal District of Bighorn,2019,Municipal District of Bighorn2019,0,0
Municipal District of Bighorn,2020,Municipal District of Bighorn2020,0,0
Municipal District of Bighorn,2021,Municipal District of Bighorn2021,0,0
Municipal District of Bighorn,2022,Municipal District of Bighorn2022,0,0
Municipal District of Bonnyville,2013,Municipal District of Bonnyville2013,51574.4,3
Municipal District of Bonnyville,2013,Municipal District of Bonnyville2013,0,0
Municipal District of Bonnyville,2014,Municipal District of Bonnyville2014,577721.79,33
Municipal District of Bonnyville,2015,Municipal District of Bonnyville2015,19754.98,3
Municipal District of Bonnyville,2016,Municipal District of Bonnyville2016,66,2
Municipal District of Bonnyville,2017,Municipal District of Bonnyville2017,2755.3,2
Municipal District of Bonnyville,2018,Municipal District of Bonnyville2018,0,0
Municipal District of Bonnyville,2019,Municipal District of Bonnyville2019,0,0
Municipal District of Bonnyville,2020,Municipal District of Bonnyville2020,0,0
Municipal District of Bonnyville,2021,Municipal District of Bonnyville2021,0,0
Municipal District of Bonnyville,2022,Municipal District of Bonnyville2022,0,0
Municipal District of Greenview,2013,Municipal District of Greenview2013,2889.6,8
Municipal District of Greenview,2013,Municipal District of Greenview2013,0,0
Municipal District of Greenview,2015,Municipal District of Greenview2015,66,3
Municipal District of Greenview,2015,Municipal District of Greenview2015,51574.4,3
Municipal District of Greenview,2015,Municipal District of Greenview2015,577721.79,33
Municipal District of Greenview,2016,Municipal District of Greenview2016,19754.98,3
Municipal District of Greenview,2018,Municipal District of Greenview2018,0,0
Municipal District of Greenview,2019,Municipal District of Greenview2019,0,0
Municipal District of Greenview,2020,Municipal District of Greenview2020,0,0
Municipal District of Greenview,2021,Municipal District of Greenview2021,0,0
Municipal District of Greenview,2022,Municipal District of Greenview2022,0,0
Municipal District of Lesser Slave River,2012,Municipal District of Lesser Slave River2012,73.9,1
Municipal District of Lesser Slave River,2013,Municipal District of Lesser Slave River2013,2889.6,8
Municipal District of Lesser Slave River,2014,Municipal District of Lesser Slave River2014,51574.4,9
Municipal District of Lesser Slave River,2014,Municipal District of Lesser Slave River2014,0,0
Municipal District of Lesser Slave River,2015,Municipal District of Lesser Slave River2015,577721.79,33
Municipal District of Lesser Slave River,2017,Municipal District of Lesser Slave River2017,19754.98,3
Municipal District of Lesser Slave River,2018,Municipal District of Lesser Slave River2018,0,0
Municipal District of Lesser Slave River,2019,Municipal District of Lesser Slave River2019,0,0
Municipal District of Lesser Slave River,2020,Municipal District of Lesser Slave River2020,0,0
Municipal District of Lesser Slave River,2021,Municipal District of Lesser Slave River2021,0,0
Municipal District of Lesser Slave River,2022,Municipal District of Lesser Slave River2022,0,0
Municipal District of Opportunity,2012,Municipal District of Opportunity2012,73.9,6
Municipal District of Opportunity,2014,Municipal District of Opportunity2014,0,0
Municipal District of Opportunity,2015,Municipal District of Opportunity2015,51574.4,9
Municipal District of Opportunity,2015,Municipal District of Opportunity2015,577721.79,33
Municipal District of Opportunity,2016,Municipal District of Opportunity2016,2889.6,8
Municipal District of Opportunity,2016,Municipal District of Opportunity2016,22061.8,8
Municipal District of Opportunity,2018,Municipal District of Opportunity2018,0,0
Municipal District of Opportunity,2019,Municipal District of Opportunity2019,0,0
Municipal District of Opportunity,2020,Municipal District of Opportunity2020,0,0
Municipal District of Opportunity,2021,Municipal District of Opportunity2021,0,0
Municipal District of Opportunity,2022,Municipal District of Opportunity2022,0,0
Municipal District of Pincher Creek No. 9,2013,Municipal District of Pincher Creek No. 92013,22061.8,27
Municipal District of Pincher Creek No. 9,2014,Municipal District of Pincher Creek No. 92014,0,0
Municipal District of Pincher Creek No. 9,2016,Municipal District of Pincher Creek No. 92016,77.4,1
Municipal District of Pincher Creek No. 9,2016,Municipal District of Pincher Creek No. 92016,2889.6,8
Municipal District of Pincher Creek No. 9,2016,Municipal District of Pincher Creek No. 92016,51574.4,9
Municipal District of Pincher Creek No. 9,2017,Municipal District of Pincher Creek No. 92017,577721.79,33
Municipal District of Pincher Creek No. 9,2018,Municipal District of Pincher Creek No. 92018,0,0
Municipal District of Pincher Creek No. 9,2019,Municipal District of Pincher Creek No. 92019,0,0
Municipal District of Pincher Creek No. 9,2020,Municipal District of Pincher Creek No. 92020,0,0
Municipal District of Pincher Creek No. 9,2021,Municipal District of Pincher Creek No. 92021,0,0
Municipal District of Pincher Creek No. 9,2022,Municipal District of Pincher Creek No. 92022,0,0
Municipal District of Ranchland No. 66,2012,Municipal District of Ranchland No. 662012,134.9,9
Municipal District of Ranchland No. 66,2012,Municipal District of Ranchland No. 662012,2889.6,23
Municipal District of Ranchland No. 66,2014,Municipal District of Ranchland No. 662014,22061.8,33
Municipal District of Ranchland No. 66,2015,Municipal District of Ranchland No. 662015,0,0
Municipal District of Ranchland No. 66,2016,Municipal District of Ranchland No. 662016,51574.4,9
Municipal District of Ranchland No. 66,2017,Municipal District of Ranchland No. 662017,577721.79,33
Municipal District of Ranchland No. 66,2018,Municipal District of Ranchland No. 662018,0,0
Municipal District of Ranchland No. 66,2019,Municipal District of Ranchland No. 662019,0,0
Municipal District of Ranchland No. 66,2020,Municipal District of Ranchland No. 662020,0,0
Municipal District of Ranchland No. 66,2021,Municipal District of Ranchland No. 662021,0,0
Municipal District of Ranchland No. 66,2022,Municipal District of Ranchland No. 662022,0,0
Municipal District of Smoky River,2012,Municipal District of Smoky River2012,5233.09,2
Municipal District of Smoky River,2014,Municipal District of Smoky River2014,134.9,9
Municipal District of Smoky River,2015,Municipal District of Smoky River2015,27031.45,0
Municipal District of Smoky River,2016,Municipal District of Smoky River2016,0,0
Municipal District of Smoky River,2017,Municipal District of Smoky River2017,51574.4,9
Municipal District of Smoky River,2017,Municipal District of Smoky River2017,577721.79,33
Municipal District of Smoky River,2018,Municipal District of Smoky River2018,0,0
Municipal District of Smoky River,2019,Municipal District of Smoky River2019,0,0
Municipal District of Smoky River,2020,Municipal District of Smoky River2020,0,0
Municipal District of Smoky River,2021,Municipal District of Smoky River2021,0,0
Municipal District of Smoky River,2022,Municipal District of Smoky River2022,0,0
Northern Sunrise County,2013,Northern Sunrise County2013,137.8,1
Northern Sunrise County,2014,Northern Sunrise County2014,5233.09,5
Northern Sunrise County,2014,Northern Sunrise County2014,32540.29,0
Northern Sunrise County,2015,Northern Sunrise County2015,1621.5900000000001,5
Northern Sunrise County,2016,Northern Sunrise County2016,0,0
Northern Sunrise County,2017,Northern Sunrise County2017,51574.4,9
Northern Sunrise County,2018,Northern Sunrise County2018,0,0
Northern Sunrise County,2019,Northern Sunrise County2019,0,0
Northern Sunrise County,2020,Northern Sunrise County2020,0,0
Northern Sunrise County,2021,Northern Sunrise County2021,0,0
Northern Sunrise County,2022,Northern Sunrise County2022,0,0
Ponoka County,2012,Ponoka County2012,153,0
Ponoka County,2013,Ponoka County2013,5817.4,3
Ponoka County,2015,Ponoka County2015,32540.29,0
Ponoka County,2015,Ponoka County2015,1621.5900000000001,5
Ponoka County,2016,Ponoka County2016,0,0
Ponoka County,2017,Ponoka County2017,55427.33,7
Ponoka County,2018,Ponoka County2018,0,0
Ponoka County,2019,Ponoka County2019,0,0
Ponoka County,2020,Ponoka County2020,0,0
Ponoka County,2021,Ponoka County2021,0,0
Ponoka County,2022,Ponoka County2022,0,0
Saddle Hills County,2013,Saddle Hills County2013,43940.8,1
Saddle Hills County,2014,Saddle Hills County2014,157.8,1
Saddle Hills County,2014,Saddle Hills County2014,5817.4,3
Saddle Hills County,2015,Saddle Hills County2015,1621.5900000000001,5
Saddle Hills County,2017,Saddle Hills County2017,60193.44,5
Saddle Hills County,2017,Saddle Hills County2017,0,0
Saddle Hills County,2018,Saddle Hills County2018,0,0
Saddle Hills County,2019,Saddle Hills County2019,0,0
Saddle Hills County,2020,Saddle Hills County2020,0,0
Saddle Hills County,2021,Saddle Hills County2021,0,0
Saddle Hills County,2022,Saddle Hills County2022,0,0
Wood Buffalo,2013,Wood Buffalo2013,43940.8,1
Wood Buffalo,2013,Wood Buffalo2013,27.599999999999998,2
Wood Buffalo,2015,Wood Buffalo2015,5817.4,3
Wood Buffalo,2016,Wood Buffalo2016,169.13,3
Wood Buffalo,2017,Wood Buffalo2017,60193.44,5
Wood Buffalo,2017,Wood Buffalo2017,0,0
Wood Buffalo,2018,Wood Buffalo2018,0,0
Wood Buffalo,2019,Wood Buffalo2019,0,0
Wood Buffalo,2020,Wood Buffalo2020,0,0
Wood Buffalo,2021,Wood Buffalo2021,0,0
Wood Buffalo,2022,Wood Buffalo2022,0,0
Woodlands County,2012,Woodlands County2012,43940.8,4
Woodlands County,2014,Woodlands County2014,223.2,2
Woodlands County,2016,Woodlands County2016,39.099999999999994,2
Woodlands County,2017,Woodlands County2017,5817.4,3
Woodlands County,2017,Woodlands County2017,87618,3
Woodlands County,2017,Woodlands County2017,0,0
Woodlands County,2018,Woodlands County2018,0,0
Woodlands County,2019,Woodlands County2019,0,0
Woodlands County,2020,Woodlands County2020,0,0
Woodlands County,2021,Woodlands County2021,0,0
Woodlands County,2022,Woodlands County2022,0,0
Yellowhead County,2012,Yellowhead County2012,43940.8,4
Yellowhead County,2014,Yellowhead County2014,244.2,1
Yellowhead County,2015,Yellowhead County2015,6918.65,5
Yellowhead County,2015,Yellowhead County2015,87618,0
Yellowhead County,2017,Yellowhead County2017,51.900000000000006,7
Yellowhead County,2017,Yellowhead County2017,0,0
Yellowhead County,2018,Yellowhead County2018,0,0
Yellowhead County,2019,Yellowhead County2019,0,0
Yellowhead County,2020,Yellowhead County2020,0,0
Yellowhead County,2021,Yellowhead County2021,0,0
Yellowhead County,2022,Yellowhead County2022,0,0
