CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4812037,Lac la Biche County,2006,Cropland (Acres),Other,72256.0
4812037,Lac la Biche County,2011,Cropland (Acres),Other,56266.0
4812037,Lac la Biche County,2016,Cropland (Acres),Other,48675.0
4812037,Lac la Biche County,2021,Cropland (Acres),Other,48981.0
4809002,Clearwater County,2006,Cropland (Acres),Other,163305.0
4809002,Clearwater County,2011,Cropland (Acres),Other,132786.0
4809002,Clearwater County,2016,Cropland (Acres),Other,118211.0
4809002,Clearwater County,2021,Cropland (Acres),Other,111328.0
4810026,Minburn County No. 27,2006,Cropland (Acres),Other,90933.0
4810026,Minburn County No. 27,2011,Cropland (Acres),Other,70402.0
4810026,Minburn County No. 27,2016,Cropland (Acres),Other,73087.0
4810026,Minburn County No. 27,2021,Cropland (Acres),Other,58131.0
4813028,Westlock County,2006,Cropland (Acres),Other,183141.0
4813028,Westlock County,2011,Cropland (Acres),Other,93016.0
4813028,Westlock County,2016,Cropland (Acres),Other,87099.0
4813028,Westlock County,2021,Cropland (Acres),Other,82772.0
4813029,Woodlands County,2006,Cropland (Acres),Other,41785.0
4813029,Woodlands County,2011,Cropland (Acres),Other,43568.0
4813029,Woodlands County,2016,Cropland (Acres),Other,30671.0
4813029,Woodlands County,2021,Cropland (Acres),Other,33515.0
4813018,Barrhead County No. 11,2006,Cropland (Acres),Other,110907.0
4813018,Barrhead County No. 11,2011,Cropland (Acres),Other,78094.0
4813018,Barrhead County No. 11,2016,Cropland (Acres),Other,77462.0
4813018,Barrhead County No. 11,2021,Cropland (Acres),Other,78807.0
4810016,Beaver County,2006,Cropland (Acres),Other,85143.0
4810016,Beaver County,2011,Cropland (Acres),Other,75027.0
4810016,Beaver County,2016,Cropland (Acres),Other,80546.0
4810016,Beaver County,2021,Cropland (Acres),Other,62679.0
4801008,Forty Mile County No. 8,2006,Cropland (Acres),Other,174085.0
4801008,Forty Mile County No. 8,2011,Cropland (Acres),Other,186099.0
4801008,Forty Mile County No. 8,2016,Cropland (Acres),Other,401634.0
4801008,Forty Mile County No. 8,2021,Cropland (Acres),Other,346875.0
4801003,Cypress County,2006,Cropland (Acres),Other,167674.0
4801003,Cypress County,2011,Cropland (Acres),Other,183837.0
4801003,Cypress County,2016,Cropland (Acres),Other,250876.0
4801003,Cypress County,2021,Cropland (Acres),Other,228478.0
4803018,Willow Creek No. 26,2006,Cropland (Acres),Other,132034.0
4803018,Willow Creek No. 26,2011,Cropland (Acres),Other,148311.0
4803018,Willow Creek No. 26,2016,Cropland (Acres),Other,157001.0
4803018,Willow Creek No. 26,2021,Cropland (Acres),Other,150786.0
4802011,Lethbridge County,2006,Cropland (Acres),Other,149682.0
4802011,Lethbridge County,2011,Cropland (Acres),Other,135005.0
4802011,Lethbridge County,2016,Cropland (Acres),Other,196335.0
4802011,Lethbridge County,2021,Cropland (Acres),Other,297552.0
4802021,"Taber, M.D.",2006,Cropland (Acres),Other,186221.0
4802021,"Taber, M.D.",2011,Cropland (Acres),Other,216363.0
4802021,"Taber, M.D.",2016,Cropland (Acres),Other,275896.0
4802021,"Taber, M.D.",2021,Cropland (Acres),Other,239369.0
4803011,Pincher Creek No. 9,2006,Cropland (Acres),Other,77515.0
4803011,Pincher Creek No. 9,2011,Cropland (Acres),Other,83013.0
4803011,Pincher Creek No. 9,2016,Cropland (Acres),Other,65405.0
4803011,Pincher Creek No. 9,2021,Cropland (Acres),Other,72821.0
4804004,Special Area No. 2,2006,Cropland (Acres),Other,212336.0
4804004,Special Area No. 2,2011,Cropland (Acres),Other,182195.0
4804004,Special Area No. 2,2016,Cropland (Acres),Other,182001.0
4804004,Special Area No. 2,2021,Cropland (Acres),Other,153690.0
4804012,Special Area No. 3,2006,Cropland (Acres),Other,161734.0
4804012,Special Area No. 3,2011,Cropland (Acres),Other,185407.0
4804012,Special Area No. 3,2016,Cropland (Acres),Other,300983.0
4804012,Special Area No. 3,2021,Cropland (Acres),Other,245194.0
4804020,Special Area No. 4,2006,Cropland (Acres),Other,130511.0
4804020,Special Area No. 4,2011,Cropland (Acres),Other,120881.0
4804020,Special Area No. 4,2016,Cropland (Acres),Other,121025.0
4804020,Special Area No. 4,2021,Cropland (Acres),Other,117413.0
4805001,Vulcan County,2006,Cropland (Acres),Other,164475.0
4805001,Vulcan County,2011,Cropland (Acres),Other,165650.0
4805001,Vulcan County,2016,Cropland (Acres),Other,293316.0
4805001,Vulcan County,2021,Cropland (Acres),Other,246266.0
4806001,Foothills County,2006,Cropland (Acres),Other,134284.0
4806001,Foothills County,2011,Cropland (Acres),Other,131729.0
4806001,Foothills County,2016,Cropland (Acres),Other,126288.0
4806001,Foothills County,2021,Cropland (Acres),Other,108952.0
4806014,Rocky View County,2006,Cropland (Acres),Other,159921.0
4806014,Rocky View County,2011,Cropland (Acres),Other,134481.0
4806014,Rocky View County,2016,Cropland (Acres),Other,134791.0
4806014,Rocky View County,2021,Cropland (Acres),Other,117022.0
4806016,Calgary,2006,Cropland (Acres),Other,37756.0
4806016,Calgary,2011,Cropland (Acres),Other,10527.0
4806016,Calgary,2016,Cropland (Acres),Other,10181.0
4806016,Calgary,2021,Cropland (Acres),Other,4354.0
4806028,Mountain View County,2006,Cropland (Acres),Other,215580.0
4806028,Mountain View County,2011,Cropland (Acres),Other,155926.0
4806028,Mountain View County,2016,Cropland (Acres),Other,148870.0
4806028,Mountain View County,2021,Cropland (Acres),Other,172251.0
4807001,Provost No. 52,2006,Cropland (Acres),Other,97217.0
4807001,Provost No. 52,2011,Cropland (Acres),Other,86258.0
4807001,Provost No. 52,2016,Cropland (Acres),Other,108753.0
4807001,Provost No. 52,2021,Cropland (Acres),Other,85182.0
4819041,Smoky River No. 130,2006,Cropland (Acres),Other,139771.0
4819041,Smoky River No. 130,2011,Cropland (Acres),Other,46896.0
4819041,Smoky River No. 130,2016,Cropland (Acres),Other,70071.0
4819041,Smoky River No. 130,2021,Cropland (Acres),Other,97065.0
4810036,Vermilion River County,2006,Cropland (Acres),Other,186035.0
4810036,Vermilion River County,2011,Cropland (Acres),Other,160270.0
4810036,Vermilion River County,2016,Cropland (Acres),Other,174221.0
4810036,Vermilion River County,2021,Cropland (Acres),Other,156502.0
4817026,Northern Sunrise County,2006,Cropland (Acres),Other,133425.0
4817026,Northern Sunrise County,2011,Cropland (Acres),Other,44846.0
4817026,Northern Sunrise County,2016,Cropland (Acres),Other,36223.0
4817026,Northern Sunrise County,2021,Cropland (Acres),Other,32924.0
4817027,Big Lakes County,2006,Cropland (Acres),Other,116237.0
4817027,Big Lakes County,2011,Cropland (Acres),Other,112648.0
4817027,Big Lakes County,2016,Cropland (Acres),Other,73684.0
4817027,Big Lakes County,2021,Cropland (Acres),Other,69893.0
4813001,Lac Ste. Anne County,2006,Cropland (Acres),Other,180074.0
4813001,Lac Ste. Anne County,2011,Cropland (Acres),Other,148293.0
4813001,Lac Ste. Anne County,2016,Cropland (Acres),Other,123921.0
4813001,Lac Ste. Anne County,2021,Cropland (Acres),Other,123028.0
4819049,Birch Hills County,2006,Cropland (Acres),Other,70893.0
4819049,Birch Hills County,2011,Cropland (Acres),Other,172434.0
4819049,Birch Hills County,2016,Cropland (Acres),Other,61993.0
4819049,Birch Hills County,2021,Cropland (Acres),Other,53127.0
4819054,Spirit River No. 133,2006,Cropland (Acres),Other,75922.0
4819054,Spirit River No. 133,2011,Cropland (Acres),Other,11393.0
4819054,Spirit River No. 133,2016,Cropland (Acres),Other,41423.0
4819054,Spirit River No. 133,2021,Cropland (Acres),Other,40039.0
4819059,Saddle Hills County,2006,Cropland (Acres),Other,146541.0
4819059,Saddle Hills County,2011,Cropland (Acres),Other,131809.0
4819059,Saddle Hills County,2016,Cropland (Acres),Other,141727.0
4819059,Saddle Hills County,2021,Cropland (Acres),Other,112570.0
4819066,Fairview No. 136,2006,Cropland (Acres),Other,101349.0
4819066,Fairview No. 136,2011,Cropland (Acres),Other,39550.0
4819066,Fairview No. 136,2016,Cropland (Acres),Other,51025.0
4819066,Fairview No. 136,2021,Cropland (Acres),Other,28774.0
4811032,Brazeau County,2006,Cropland (Acres),Other,73610.0
4811032,Brazeau County,2011,Cropland (Acres),Other,67335.0
4811032,Brazeau County,2016,Cropland (Acres),Other,51684.0
4811032,Brazeau County,2021,Cropland (Acres),Other,63259.0
4811034,Parkland County,2006,Cropland (Acres),Other,98718.0
4811034,Parkland County,2011,Cropland (Acres),Other,103404.0
4811034,Parkland County,2016,Cropland (Acres),Other,73155.0
4811034,Parkland County,2021,Cropland (Acres),Other,79838.0
4811052,Strathcona County,2006,Cropland (Acres),Other,90817.0
4811052,Strathcona County,2011,Cropland (Acres),Other,45679.0
4811052,Strathcona County,2016,Cropland (Acres),Other,35004.0
4811052,Strathcona County,2021,Cropland (Acres),Other,33575.0
4811059,Sturgeon County,2006,Cropland (Acres),Other,95913.0
4811059,Sturgeon County,2011,Cropland (Acres),Other,77461.0
4811059,Sturgeon County,2016,Cropland (Acres),Other,71292.0
4811059,Sturgeon County,2021,Cropland (Acres),Other,64130.0
4817095,Mackenzie County,2006,Cropland (Acres),Other,95914.0
4817095,Mackenzie County,2011,Cropland (Acres),Other,251175.0
4817095,Mackenzie County,2016,Cropland (Acres),Other,100597.0
4817095,Mackenzie County,2021,Cropland (Acres),Other,126362.0
4817062,Clear Hills,2006,Cropland (Acres),Other,156490.0
4817062,Clear Hills,2011,Cropland (Acres),Other,156919.0
4817062,Clear Hills,2016,Cropland (Acres),Other,138314.0
4817062,Clear Hills,2021,Cropland (Acres),Other,120980.0
4818015,Greenview No. 16,2006,Cropland (Acres),Other,203603.0
4818015,Greenview No. 16,2011,Cropland (Acres),Other,141108.0
4818015,Greenview No. 16,2016,Cropland (Acres),Other,115172.0
4818015,Greenview No. 16,2021,Cropland (Acres),Other,115882.0
4819006,Grande Prairie County No. 1,2006,Cropland (Acres),Other,237040.0
4819006,Grande Prairie County No. 1,2011,Cropland (Acres),Other,230604.0
4819006,Grande Prairie County No. 1,2016,Cropland (Acres),Other,226645.0
4819006,Grande Prairie County No. 1,2021,Cropland (Acres),Other,196865.0
4812004,Bonnyville No. 87,2006,Cropland (Acres),Other,156417.0
4812004,Bonnyville No. 87,2011,Cropland (Acres),Other,164132.0
4812004,Bonnyville No. 87,2016,Cropland (Acres),Other,126238.0
4812004,Bonnyville No. 87,2021,Cropland (Acres),Other,114031.0
4812014,St. Paul County No. 19,2006,Cropland (Acres),Other,146847.0
4812014,St. Paul County No. 19,2011,Cropland (Acres),Other,148191.0
4812014,St. Paul County No. 19,2016,Cropland (Acres),Other,111685.0
4812014,St. Paul County No. 19,2021,Cropland (Acres),Other,109982.0
4812022,Smoky Lake County,2006,Cropland (Acres),Other,128571.0
4812022,Smoky Lake County,2011,Cropland (Acres),Other,80240.0
4812022,Smoky Lake County,2016,Cropland (Acres),Other,72979.0
4812022,Smoky Lake County,2021,Cropland (Acres),Other,65024.0
4819071,Peace No. 135,2006,Cropland (Acres),Other,79805.0
4819071,Peace No. 135,2011,Cropland (Acres),Other,71024.0
4819071,Peace No. 135,2016,Cropland (Acres),Other,40554.0
4819071,Peace No. 135,2021,Cropland (Acres),Other,38732.0
4815007,Crowsnest Pass,2006,Cropland (Acres),Other,331.0
4815007,Crowsnest Pass,2011,Cropland (Acres),Other,0.0
4815015,Bighorn No. 8,2006,Cropland (Acres),Other,2115.0
4815015,Bighorn No. 8,2011,Cropland (Acres),Other,7383.0
4815015,Bighorn No. 8,2016,Cropland (Acres),Other,5405.0
4815015,Bighorn No. 8,2021,Cropland (Acres),Other,0.0
4815037,Improvement District No. 12 Jasper Park,2006,Cropland (Acres),Other,0.0
4815037,Improvement District No. 12 Jasper Park,2011,Cropland (Acres),Other,0.0
4815037,Improvement District No. 12 Jasper Park,2016,Cropland (Acres),Other,0.0
4815037,Improvement District No. 12 Jasper Park,2021,Cropland (Acres),Other,0.0
4815045,Ranchland No. 66,2006,Cropland (Acres),Other,3667.0
4815045,Ranchland No. 66,2011,Cropland (Acres),Other,4990.0
4815045,Ranchland No. 66,2016,Cropland (Acres),Other,6481.0
4815045,Ranchland No. 66,2021,Cropland (Acres),Other,2776.0
4816037,Wood Buffalo,2016,Cropland (Acres),Other,470.0
4816037,Wood Buffalo,2021,Cropland (Acres),Other,0.0
4816051,Improvement District No. 24 Wood Buffalo,2016,Cropland (Acres),Other,0.0
4816051,Improvement District No. 24 Wood Buffalo,2021,Cropland (Acres),Other,0.0
4811012,Leduc County,2006,Cropland (Acres),Other,164885.0
4811012,Leduc County,2011,Cropland (Acres),Other,126034.0
4811012,Leduc County,2016,Cropland (Acres),Other,109849.0
4811012,Leduc County,2021,Cropland (Acres),Other,94129.0
4811001,Wetaskiwin County No. 10,2006,Cropland (Acres),Other,135371.0
4811001,Wetaskiwin County No. 10,2011,Cropland (Acres),Other,100380.0
4811001,Wetaskiwin County No. 10,2016,Cropland (Acres),Other,99116.0
4811001,Wetaskiwin County No. 10,2021,Cropland (Acres),Other,92011.0
4817076,Northern Lights County,2006,Cropland (Acres),Other,127886.0
4817076,Northern Lights County,2011,Cropland (Acres),Other,111281.0
4817076,Northern Lights County,2016,Cropland (Acres),Other,68399.0
4817076,Northern Lights County,2021,Cropland (Acres),Other,91057.0
4813036,Thorhild County,2006,Cropland (Acres),Other,95690.0
4813036,Thorhild County,2011,Cropland (Acres),Other,100502.0
4813036,Thorhild County,2016,Cropland (Acres),Other,46127.0
4813036,Thorhild County,2021,Cropland (Acres),Other,40850.0
4813044,Athabasca County,2006,Cropland (Acres),Other,181770.0
4813044,Athabasca County,2011,Cropland (Acres),Other,114120.0
4813044,Athabasca County,2016,Cropland (Acres),Other,104087.0
4813044,Athabasca County,2021,Cropland (Acres),Other,104834.0
4817033,Lesser Slave River No.124,2006,Cropland (Acres),Other,26457.0
4817033,Lesser Slave River No.124,2011,Cropland (Acres),Other,28085.0
4817033,Lesser Slave River No.124,2016,Cropland (Acres),Other,18505.0
4817033,Lesser Slave River No.124,2021,Cropland (Acres),Other,17509.0
4810058,Lamont County,2006,Cropland (Acres),Other,157905.0
4810058,Lamont County,2011,Cropland (Acres),Other,65051.0
4810058,Lamont County,2016,Cropland (Acres),Other,78023.0
4810058,Lamont County,2021,Cropland (Acres),Other,52688.0
4810048,Two Hills County No. 21,2006,Cropland (Acres),Other,163836.0
4810048,Two Hills County No. 21,2011,Cropland (Acres),Other,83463.0
4810048,Two Hills County No. 21,2016,Cropland (Acres),Other,65692.0
4810048,Two Hills County No. 21,2021,Cropland (Acres),Other,62591.0
4814003,Yellowhead County,2006,Cropland (Acres),Other,108480.0
4814003,Yellowhead County,2011,Cropland (Acres),Other,95569.0
4814003,Yellowhead County,2016,Cropland (Acres),Other,84238.0
4814003,Yellowhead County,2021,Cropland (Acres),Other,80023.0
