Municipality,Year,Vehicle_Type,Registration_Count
Calgary,2013,Total Motorized Vehicles,972193
Calgary,2014,Total Motorized Vehicles,1005109
Calgary,2015,Total Motorized Vehicles,1007399
Calgary,2016,Total Motorized Vehicles,990144
Calgary,2017,Total Motorized Vehicles,1000567
Calgary,2018,Total Motorized Vehicles,1021618
Calgary,2019,Total Motorized Vehicles,1015104
Calgary,2020,Total Motorized Vehicles,1006510
Northern Sunrise County,2005,Total Motorized Vehicles,508
Northern Sunrise County,2006,Total Motorized Vehicles,540
Northern Sunrise County,2007,Total Motorized Vehicles,576
Northern Sunrise County,2008,Total Motorized Vehicles,568
Northern Sunrise County,2009,Total Motorized Vehicles,616
Northern Sunrise County,2010,Total Motorized Vehicles,616
Northern Sunrise County,2011,Total Motorized Vehicles,627
Northern Sunrise County,2012,Total Motorized Vehicles,655
Northern Sunrise County,2013,Total Motorized Vehicles,696
Northern Sunrise County,2014,Total Motorized Vehicles,727
Northern Sunrise County,2015,Total Motorized Vehicles,731
Northern Sunrise County,2016,Total Motorized Vehicles,727
Northern Sunrise County,2017,Total Motorized Vehicles,718
Northern Sunrise County,2018,Total Motorized Vehicles,685
Northern Sunrise County,2019,Total Motorized Vehicles,674
Northern Sunrise County,2020,Total Motorized Vehicles,691
Grande Prairie,2005,Total Motorized Vehicles,46120
Grande Prairie,2006,Total Motorized Vehicles,50480
Grande Prairie,2007,Total Motorized Vehicles,52439
Grande Prairie,2008,Total Motorized Vehicles,53918
Grande Prairie,2009,Total Motorized Vehicles,55384
Grande Prairie,2010,Total Motorized Vehicles,55384
Grande Prairie,2011,Total Motorized Vehicles,59298
Grande Prairie,2012,Total Motorized Vehicles,58514
Grande Prairie,2013,Total Motorized Vehicles,59379
Grande Prairie,2014,Total Motorized Vehicles,62542
Grande Prairie,2015,Total Motorized Vehicles,60912
Grande Prairie,2016,Total Motorized Vehicles,58216
Grande Prairie,2017,Total Motorized Vehicles,59514
Grande Prairie,2018,Total Motorized Vehicles,62153
Grande Prairie,2019,Total Motorized Vehicles,60866
Grande Prairie,2020,Total Motorized Vehicles,59869
Brazeau County,2005,Total Motorized Vehicles,1525
Brazeau County,2006,Total Motorized Vehicles,1612
Brazeau County,2007,Total Motorized Vehicles,1729
Brazeau County,2008,Total Motorized Vehicles,1739
Brazeau County,2009,Total Motorized Vehicles,1804
Brazeau County,2010,Total Motorized Vehicles,1804
Brazeau County,2011,Total Motorized Vehicles,1872
Brazeau County,2012,Total Motorized Vehicles,1984
Brazeau County,2013,Total Motorized Vehicles,2029
Brazeau County,2014,Total Motorized Vehicles,2112
Brazeau County,2015,Total Motorized Vehicles,2050
Brazeau County,2016,Total Motorized Vehicles,1970
Brazeau County,2017,Total Motorized Vehicles,1951
Brazeau County,2018,Total Motorized Vehicles,1939
Brazeau County,2019,Total Motorized Vehicles,1898
Brazeau County,2020,Total Motorized Vehicles,1895
Parkland County,2005,Total Motorized Vehicles,7318
Parkland County,2006,Total Motorized Vehicles,8587
Parkland County,2007,Total Motorized Vehicles,9382
Parkland County,2008,Total Motorized Vehicles,9740
Parkland County,2009,Total Motorized Vehicles,10011
Parkland County,2010,Total Motorized Vehicles,10011
Parkland County,2011,Total Motorized Vehicles,10512
Parkland County,2012,Total Motorized Vehicles,10660
Parkland County,2013,Total Motorized Vehicles,11941
Parkland County,2014,Total Motorized Vehicles,12822
Parkland County,2015,Total Motorized Vehicles,12908
Parkland County,2016,Total Motorized Vehicles,19894
Parkland County,2017,Total Motorized Vehicles,22034
Parkland County,2018,Total Motorized Vehicles,23687
Parkland County,2019,Total Motorized Vehicles,24214
Parkland County,2020,Total Motorized Vehicles,24428
Strathcona County,2005,Total Motorized Vehicles,68391
Strathcona County,2006,Total Motorized Vehicles,72184
Strathcona County,2007,Total Motorized Vehicles,76554
Strathcona County,2008,Total Motorized Vehicles,79727
Strathcona County,2009,Total Motorized Vehicles,82926
Strathcona County,2010,Total Motorized Vehicles,82926
Strathcona County,2011,Total Motorized Vehicles,84596
Strathcona County,2012,Total Motorized Vehicles,86854
Strathcona County,2013,Total Motorized Vehicles,89638
Strathcona County,2014,Total Motorized Vehicles,92071
Strathcona County,2015,Total Motorized Vehicles,92801
Strathcona County,2016,Total Motorized Vehicles,91469
Strathcona County,2017,Total Motorized Vehicles,91885
Strathcona County,2018,Total Motorized Vehicles,92864
Strathcona County,2019,Total Motorized Vehicles,91364
Strathcona County,2020,Total Motorized Vehicles,92286
Sturgeon County,2005,Total Motorized Vehicles,3118
Sturgeon County,2006,Total Motorized Vehicles,3273
Sturgeon County,2007,Total Motorized Vehicles,3438
Sturgeon County,2008,Total Motorized Vehicles,3607
Sturgeon County,2009,Total Motorized Vehicles,8830
Sturgeon County,2010,Total Motorized Vehicles,8830
Sturgeon County,2011,Total Motorized Vehicles,11036
Sturgeon County,2012,Total Motorized Vehicles,13582
Sturgeon County,2013,Total Motorized Vehicles,18411
Sturgeon County,2014,Total Motorized Vehicles,20023
Sturgeon County,2015,Total Motorized Vehicles,20566
Sturgeon County,2016,Total Motorized Vehicles,20598
Sturgeon County,2017,Total Motorized Vehicles,20935
Sturgeon County,2018,Total Motorized Vehicles,21207
Sturgeon County,2019,Total Motorized Vehicles,21094
Sturgeon County,2020,Total Motorized Vehicles,21479
St. Albert,2005,Total Motorized Vehicles,46297
St. Albert,2006,Total Motorized Vehicles,48774
St. Albert,2007,Total Motorized Vehicles,51332
St. Albert,2008,Total Motorized Vehicles,52387
St. Albert,2009,Total Motorized Vehicles,49195
St. Albert,2010,Total Motorized Vehicles,49195
St. Albert,2011,Total Motorized Vehicles,49572
St. Albert,2012,Total Motorized Vehicles,50424
St. Albert,2013,Total Motorized Vehicles,51944
St. Albert,2014,Total Motorized Vehicles,53578
St. Albert,2015,Total Motorized Vehicles,54445
St. Albert,2016,Total Motorized Vehicles,55202
St. Albert,2017,Total Motorized Vehicles,54088
St. Albert,2018,Total Motorized Vehicles,55330
St. Albert,2019,Total Motorized Vehicles,54621
St. Albert,2020,Total Motorized Vehicles,55279
Canmore,2005,Total Motorized Vehicles,9147
Canmore,2006,Total Motorized Vehicles,9726
Canmore,2007,Total Motorized Vehicles,10285
Canmore,2008,Total Motorized Vehicles,10412
Canmore,2009,Total Motorized Vehicles,10738
Canmore,2010,Total Motorized Vehicles,10738
Canmore,2011,Total Motorized Vehicles,10902
Canmore,2012,Total Motorized Vehicles,11395
Canmore,2013,Total Motorized Vehicles,11998
Canmore,2014,Total Motorized Vehicles,12468
Canmore,2015,Total Motorized Vehicles,12873
Canmore,2016,Total Motorized Vehicles,12803
Canmore,2017,Total Motorized Vehicles,12994
Canmore,2018,Total Motorized Vehicles,13222
Canmore,2019,Total Motorized Vehicles,13205
Canmore,2020,Total Motorized Vehicles,13292
Grande Prairie County No. 1,2005,Total Motorized Vehicles,3973
Grande Prairie County No. 1,2006,Total Motorized Vehicles,4408
Grande Prairie County No. 1,2007,Total Motorized Vehicles,4764
Grande Prairie County No. 1,2008,Total Motorized Vehicles,4794
Grande Prairie County No. 1,2009,Total Motorized Vehicles,5354
Grande Prairie County No. 1,2010,Total Motorized Vehicles,5354
Grande Prairie County No. 1,2011,Total Motorized Vehicles,5902
Grande Prairie County No. 1,2012,Total Motorized Vehicles,10329
Grande Prairie County No. 1,2013,Total Motorized Vehicles,13116
Grande Prairie County No. 1,2014,Total Motorized Vehicles,14265
Grande Prairie County No. 1,2015,Total Motorized Vehicles,14340
Grande Prairie County No. 1,2016,Total Motorized Vehicles,14006
Grande Prairie County No. 1,2017,Total Motorized Vehicles,14664
Grande Prairie County No. 1,2018,Total Motorized Vehicles,14867
Grande Prairie County No. 1,2019,Total Motorized Vehicles,14775
Grande Prairie County No. 1,2020,Total Motorized Vehicles,15058
Cold Lake,2005,Total Motorized Vehicles,11410
Cold Lake,2006,Total Motorized Vehicles,12143
Cold Lake,2007,Total Motorized Vehicles,12841
Cold Lake,2008,Total Motorized Vehicles,13574
Cold Lake,2009,Total Motorized Vehicles,14693
Cold Lake,2010,Total Motorized Vehicles,14693
Cold Lake,2011,Total Motorized Vehicles,15380
Cold Lake,2012,Total Motorized Vehicles,16104
Cold Lake,2013,Total Motorized Vehicles,17146
Cold Lake,2014,Total Motorized Vehicles,17333
Cold Lake,2015,Total Motorized Vehicles,17269
Cold Lake,2016,Total Motorized Vehicles,16721
Cold Lake,2017,Total Motorized Vehicles,16686
Cold Lake,2018,Total Motorized Vehicles,16916
Cold Lake,2019,Total Motorized Vehicles,16563
Cold Lake,2020,Total Motorized Vehicles,16691
Bonnyville No. 87,2005,Total Motorized Vehicles,2393
Bonnyville No. 87,2006,Total Motorized Vehicles,2513
Bonnyville No. 87,2007,Total Motorized Vehicles,2696
Bonnyville No. 87,2008,Total Motorized Vehicles,2830
Bonnyville No. 87,2009,Total Motorized Vehicles,3010
Bonnyville No. 87,2010,Total Motorized Vehicles,3010
Bonnyville No. 87,2011,Total Motorized Vehicles,3168
Bonnyville No. 87,2012,Total Motorized Vehicles,3316
Bonnyville No. 87,2013,Total Motorized Vehicles,3572
Bonnyville No. 87,2014,Total Motorized Vehicles,3723
Bonnyville No. 87,2015,Total Motorized Vehicles,3592
Bonnyville No. 87,2016,Total Motorized Vehicles,3474
Bonnyville No. 87,2017,Total Motorized Vehicles,3451
Bonnyville No. 87,2018,Total Motorized Vehicles,3505
Bonnyville No. 87,2019,Total Motorized Vehicles,3447
Bonnyville No. 87,2020,Total Motorized Vehicles,3495
St. Paul County No. 19,2005,Total Motorized Vehicles,3596
St. Paul County No. 19,2006,Total Motorized Vehicles,4476
St. Paul County No. 19,2007,Total Motorized Vehicles,3928
St. Paul County No. 19,2008,Total Motorized Vehicles,3960
St. Paul County No. 19,2009,Total Motorized Vehicles,4203
St. Paul County No. 19,2010,Total Motorized Vehicles,4203
St. Paul County No. 19,2011,Total Motorized Vehicles,4366
St. Paul County No. 19,2012,Total Motorized Vehicles,4447
St. Paul County No. 19,2013,Total Motorized Vehicles,4606
St. Paul County No. 19,2014,Total Motorized Vehicles,4646
St. Paul County No. 19,2015,Total Motorized Vehicles,4650
St. Paul County No. 19,2016,Total Motorized Vehicles,4490
St. Paul County No. 19,2017,Total Motorized Vehicles,4473
St. Paul County No. 19,2018,Total Motorized Vehicles,4552
St. Paul County No. 19,2019,Total Motorized Vehicles,4263
St. Paul County No. 19,2020,Total Motorized Vehicles,4479
Peace No. 135,2005,Total Motorized Vehicles,334
Peace No. 135,2006,Total Motorized Vehicles,335
Peace No. 135,2007,Total Motorized Vehicles,356
Peace No. 135,2008,Total Motorized Vehicles,386
Peace No. 135,2009,Total Motorized Vehicles,391
Peace No. 135,2010,Total Motorized Vehicles,391
Peace No. 135,2011,Total Motorized Vehicles,413
Peace No. 135,2012,Total Motorized Vehicles,433
Peace No. 135,2013,Total Motorized Vehicles,430
Peace No. 135,2014,Total Motorized Vehicles,450
Peace No. 135,2015,Total Motorized Vehicles,425
Peace No. 135,2016,Total Motorized Vehicles,425
Peace No. 135,2017,Total Motorized Vehicles,432
Peace No. 135,2018,Total Motorized Vehicles,445
Peace No. 135,2019,Total Motorized Vehicles,410
Peace No. 135,2020,Total Motorized Vehicles,436
Wood Buffalo,2005,Total Motorized Vehicles,39380
Wood Buffalo,2006,Total Motorized Vehicles,43179
Wood Buffalo,2007,Total Motorized Vehicles,48802
Wood Buffalo,2008,Total Motorized Vehicles,53889
Wood Buffalo,2009,Total Motorized Vehicles,59820
Wood Buffalo,2010,Total Motorized Vehicles,59820
Wood Buffalo,2011,Total Motorized Vehicles,62304
Wood Buffalo,2012,Total Motorized Vehicles,66528
Wood Buffalo,2013,Total Motorized Vehicles,70162
Wood Buffalo,2014,Total Motorized Vehicles,71163
Wood Buffalo,2015,Total Motorized Vehicles,67720
Wood Buffalo,2016,Total Motorized Vehicles,65494
Wood Buffalo,2017,Total Motorized Vehicles,64349
Wood Buffalo,2018,Total Motorized Vehicles,64988
Wood Buffalo,2019,Total Motorized Vehicles,64342
Wood Buffalo,2020,Total Motorized Vehicles,64436
Bruderheim,2005,Total Motorized Vehicles,1415
Bruderheim,2006,Total Motorized Vehicles,1455
Bruderheim,2007,Total Motorized Vehicles,1533
Bruderheim,2008,Total Motorized Vehicles,1516
Bruderheim,2009,Total Motorized Vehicles,1583
Bruderheim,2010,Total Motorized Vehicles,1583
Bruderheim,2011,Total Motorized Vehicles,1590
Bruderheim,2012,Total Motorized Vehicles,1593
Bruderheim,2013,Total Motorized Vehicles,1689
Bruderheim,2014,Total Motorized Vehicles,1742
Bruderheim,2015,Total Motorized Vehicles,1757
Bruderheim,2016,Total Motorized Vehicles,1728
Bruderheim,2017,Total Motorized Vehicles,1727
Bruderheim,2018,Total Motorized Vehicles,1761
Bruderheim,2019,Total Motorized Vehicles,1754
Bruderheim,2020,Total Motorized Vehicles,1784
Leduc County,2005,Total Motorized Vehicles,7639
Leduc County,2006,Total Motorized Vehicles,7700
Leduc County,2007,Total Motorized Vehicles,7551
Leduc County,2008,Total Motorized Vehicles,7853
Leduc County,2009,Total Motorized Vehicles,7869
Leduc County,2010,Total Motorized Vehicles,7869
Leduc County,2011,Total Motorized Vehicles,12165
Leduc County,2012,Total Motorized Vehicles,13206
Leduc County,2013,Total Motorized Vehicles,13969
Leduc County,2014,Total Motorized Vehicles,14829
Leduc County,2015,Total Motorized Vehicles,14786
Leduc County,2016,Total Motorized Vehicles,15086
Leduc County,2017,Total Motorized Vehicles,15601
Leduc County,2018,Total Motorized Vehicles,19062
Leduc County,2019,Total Motorized Vehicles,18336
Leduc County,2020,Total Motorized Vehicles,17888
Beaverlodge,2005,Total Motorized Vehicles,4086
Beaverlodge,2006,Total Motorized Vehicles,4326
Beaverlodge,2007,Total Motorized Vehicles,4509
Beaverlodge,2008,Total Motorized Vehicles,4602
Beaverlodge,2009,Total Motorized Vehicles,4740
Beaverlodge,2010,Total Motorized Vehicles,4740
Beaverlodge,2011,Total Motorized Vehicles,4923
Beaverlodge,2012,Total Motorized Vehicles,5065
Beaverlodge,2013,Total Motorized Vehicles,5281
Beaverlodge,2014,Total Motorized Vehicles,5519
Beaverlodge,2015,Total Motorized Vehicles,5552
Beaverlodge,2016,Total Motorized Vehicles,5415
Beaverlodge,2017,Total Motorized Vehicles,5461
Beaverlodge,2018,Total Motorized Vehicles,5675
Beaverlodge,2019,Total Motorized Vehicles,5514
Beaverlodge,2020,Total Motorized Vehicles,5463
Lamont County,2005,Total Motorized Vehicles,967
Lamont County,2006,Total Motorized Vehicles,979
Lamont County,2007,Total Motorized Vehicles,1031
Lamont County,2008,Total Motorized Vehicles,1040
Lamont County,2009,Total Motorized Vehicles,1075
Lamont County,2010,Total Motorized Vehicles,1075
Lamont County,2011,Total Motorized Vehicles,1113
Lamont County,2012,Total Motorized Vehicles,590
Lamont County,2013,Total Motorized Vehicles,1174
Lamont County,2014,Total Motorized Vehicles,1171
Lamont County,2015,Total Motorized Vehicles,636
Lamont County,2016,Total Motorized Vehicles,603
Lamont County,2017,Total Motorized Vehicles,607
Lamont County,2018,Total Motorized Vehicles,608
Lamont County,2019,Total Motorized Vehicles,578
Lamont County,2020,Total Motorized Vehicles,605
Yellowhead County,2005,Total Motorized Vehicles,5736
Yellowhead County,2006,Total Motorized Vehicles,5866
Yellowhead County,2007,Total Motorized Vehicles,6135
Yellowhead County,2008,Total Motorized Vehicles,6191
Yellowhead County,2009,Total Motorized Vehicles,6425
Yellowhead County,2010,Total Motorized Vehicles,6425
Yellowhead County,2011,Total Motorized Vehicles,8128
Yellowhead County,2012,Total Motorized Vehicles,8960
Yellowhead County,2013,Total Motorized Vehicles,9399
Yellowhead County,2014,Total Motorized Vehicles,9882
Yellowhead County,2015,Total Motorized Vehicles,9994
Yellowhead County,2016,Total Motorized Vehicles,9840
Yellowhead County,2017,Total Motorized Vehicles,10040
Yellowhead County,2018,Total Motorized Vehicles,10262
Yellowhead County,2019,Total Motorized Vehicles,10114
Yellowhead County,2020,Total Motorized Vehicles,10278
