CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,UnitOfMeasure,OriginalValue
4819041,Smoky River No. 130,2006,Cropland (Acres),Barley,Acres,19237.00000
4819041,Smoky River No. 130,2011,Cropland (Acres),Barley,Acres,9539.00000
4819041,Smoky River No. 130,2016,Cropland (Acres),Barley,Acres,16940.00000
4819041,Smoky River No. 130,2021,Cropland (Acres),Barley,Acres,44588.00000
4810036,Vermilion River County,2006,Cropland (Acres),Barley,Acres,129037.00000
4810036,Vermilion River County,2011,Cropland (Acres),Barley,Acres,99221.00000
4810036,Vermilion River County,2016,Cropland (Acres),Barley,Acres,82634.00000
4810036,Vermilion River County,2021,Cropland (Acres),Barley,Acres,100721.00000
4817026,Northern Sunrise County,2006,Cropland (Acres),Barley,Acres,4620.00000
4817026,Northern Sunrise County,2011,Cropland (Acres),Barley,Acres,6584.00000
4817026,Northern Sunrise County,2016,Cropland (Acres),Barley,Acres,5648.00000
4817026,Northern Sunrise County,2021,Cropland (Acres),Barley,Acres,29656.00000
4817027,Big Lakes County,2006,Cropland (Acres),Barley,Acres,15825.00000
4817027,Big Lakes County,2011,Cropland (Acres),Barley,Acres,10901.00000
4817027,Big Lakes County,2016,Cropland (Acres),Barley,Acres,8617.00000
4817027,Big Lakes County,2021,Cropland (Acres),Barley,Acres,9491.00000
4813001,Lac Ste. Anne County,2006,Cropland (Acres),Barley,Acres,21445.00000
4813001,Lac Ste. Anne County,2011,Cropland (Acres),Barley,Acres,30636.00000
4813001,Lac Ste. Anne County,2016,Cropland (Acres),Barley,Acres,19486.00000
4813001,Lac Ste. Anne County,2021,Cropland (Acres),Barley,Acres,20517.00000
4819049,Birch Hills County,2006,Cropland (Acres),Barley,Acres,29007.00000
4819049,Birch Hills County,2011,Cropland (Acres),Barley,Acres,31167.00000
4819049,Birch Hills County,2016,Cropland (Acres),Barley,Acres,25842.00000
4819049,Birch Hills County,2021,Cropland (Acres),Barley,Acres,54132.00000
4819054,Spirit River No. 133,2006,Cropland (Acres),Barley,Acres,5231.00000
4819054,Spirit River No. 133,2011,Cropland (Acres),Barley,Acres,2642.00000
4819054,Spirit River No. 133,2016,Cropland (Acres),Barley,Acres,7492.00000
4819054,Spirit River No. 133,2021,Cropland (Acres),Barley,Acres,17445.00000
4819059,Saddle Hills County,2006,Cropland (Acres),Barley,Acres,15843.00000
4819059,Saddle Hills County,2011,Cropland (Acres),Barley,Acres,18170.00000
4819059,Saddle Hills County,2016,Cropland (Acres),Barley,Acres,17269.00000
4819059,Saddle Hills County,2021,Cropland (Acres),Barley,Acres,33459.00000
4819066,Fairview No. 136,2006,Cropland (Acres),Barley,Acres,20962.00000
4819066,Fairview No. 136,2011,Cropland (Acres),Barley,Acres,10304.00000
4819066,Fairview No. 136,2016,Cropland (Acres),Barley,Acres,7440.00000
4819066,Fairview No. 136,2021,Cropland (Acres),Barley,Acres,17785.00000
4811032,Brazeau County,2006,Cropland (Acres),Barley,Acres,4919.00000
4811032,Brazeau County,2011,Cropland (Acres),Barley,Acres,4369.00000
4811032,Brazeau County,2016,Cropland (Acres),Barley,Acres,4034.00000
4811032,Brazeau County,2021,Cropland (Acres),Barley,Acres,3266.00000
4811034,Parkland County,2006,Cropland (Acres),Barley,Acres,33582.00000
4811034,Parkland County,2011,Cropland (Acres),Barley,Acres,28335.00000
4811034,Parkland County,2016,Cropland (Acres),Barley,Acres,31766.00000
4811034,Parkland County,2021,Cropland (Acres),Barley,Acres,28626.00000
4811052,Strathcona County,2006,Cropland (Acres),Barley,Acres,17953.00000
4811052,Strathcona County,2011,Cropland (Acres),Barley,Acres,13602.00000
4811052,Strathcona County,2016,Cropland (Acres),Barley,Acres,15035.00000
4811052,Strathcona County,2021,Cropland (Acres),Barley,Acres,17815.00000
4811059,Sturgeon County,2006,Cropland (Acres),Barley,Acres,57914.00000
4811059,Sturgeon County,2011,Cropland (Acres),Barley,Acres,44883.00000
4811059,Sturgeon County,2016,Cropland (Acres),Barley,Acres,48168.00000
4811059,Sturgeon County,2021,Cropland (Acres),Barley,Acres,55801.00000
4817095,Mackenzie County,2006,Cropland (Acres),Barley,Acres,13395.00000
4817095,Mackenzie County,2011,Cropland (Acres),Barley,Acres,13129.00000
4817095,Mackenzie County,2016,Cropland (Acres),Barley,Acres,24231.00000
4817095,Mackenzie County,2021,Cropland (Acres),Barley,Acres,84961.00000
4817062,Clear Hills,2006,Cropland (Acres),Barley,Acres,26899.00000
4817062,Clear Hills,2011,Cropland (Acres),Barley,Acres,32646.00000
4817062,Clear Hills,2016,Cropland (Acres),Barley,Acres,20883.00000
4817062,Clear Hills,2021,Cropland (Acres),Barley,Acres,48684.00000
4818015,Greenview No. 16,2006,Cropland (Acres),Barley,Acres,14253.00000
4818015,Greenview No. 16,2011,Cropland (Acres),Barley,Acres,18101.00000
4818015,Greenview No. 16,2016,Cropland (Acres),Barley,Acres,17914.00000
4818015,Greenview No. 16,2021,Cropland (Acres),Barley,Acres,27576.00000
4819006,Grande Prairie County No. 1,2006,Cropland (Acres),Barley,Acres,72908.00000
4819006,Grande Prairie County No. 1,2011,Cropland (Acres),Barley,Acres,63127.00000
4819006,Grande Prairie County No. 1,2016,Cropland (Acres),Barley,Acres,73873.00000
4819006,Grande Prairie County No. 1,2021,Cropland (Acres),Barley,Acres,78092.00000
4812004,Bonnyville No. 87,2006,Cropland (Acres),Barley,Acres,32277.00000
4812004,Bonnyville No. 87,2011,Cropland (Acres),Barley,Acres,26761.00000
4812004,Bonnyville No. 87,2016,Cropland (Acres),Barley,Acres,23576.00000
4812004,Bonnyville No. 87,2021,Cropland (Acres),Barley,Acres,22939.00000
4812014,St. Paul County No. 19,2006,Cropland (Acres),Barley,Acres,50690.00000
4812014,St. Paul County No. 19,2011,Cropland (Acres),Barley,Acres,48671.00000
4812014,St. Paul County No. 19,2016,Cropland (Acres),Barley,Acres,50866.00000
4812014,St. Paul County No. 19,2021,Cropland (Acres),Barley,Acres,50995.00000
4812022,Smoky Lake County,2006,Cropland (Acres),Barley,Acres,27693.00000
4812022,Smoky Lake County,2011,Cropland (Acres),Barley,Acres,22299.00000
4812022,Smoky Lake County,2016,Cropland (Acres),Barley,Acres,21149.00000
4812022,Smoky Lake County,2021,Cropland (Acres),Barley,Acres,25676.00000
4819071,Peace No. 135,2006,Cropland (Acres),Barley,Acres,8875.00000
4819071,Peace No. 135,2011,Cropland (Acres),Barley,Acres,4399.00000
4819071,Peace No. 135,2016,Cropland (Acres),Barley,Acres,3559.00000
4819071,Peace No. 135,2021,Cropland (Acres),Barley,Acres,16957.00000
4815007,Crowsnest Pass,2006,Cropland (Acres),Barley,Acres,0.00000
4815015,Bighorn No. 8,2006,Cropland (Acres),Barley,Acres,0.00000
4815015,Bighorn No. 8,2011,Cropland (Acres),Barley,Acres
4815015,Bighorn No. 8,2016,Cropland (Acres),Barley,Acres
4815015,Bighorn No. 8,2021,Cropland (Acres),Barley,Acres,0.00000
4815037,Improvement District No. 12 Jasper Park,2011,Cropland (Acres),Barley,Acres,0.00000
4815037,Improvement District No. 12 Jasper Park,2016,Cropland (Acres),Barley,Acres,0.00000
4815037,Improvement District No. 12 Jasper Park,2021,Cropland (Acres),Barley,Acres,0.00000
4815045,Ranchland No. 66,2006,Cropland (Acres),Barley,Acres,435.00000
4815045,Ranchland No. 66,2011,Cropland (Acres),Barley,Acres
4815045,Ranchland No. 66,2016,Cropland (Acres),Barley,Acres
4815045,Ranchland No. 66,2021,Cropland (Acres),Barley,Acres,0.00000
4816037,Wood Buffalo,2016,Cropland (Acres),Barley,Acres
4816037,Wood Buffalo,2021,Cropland (Acres),Barley,Acres,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2016,Cropland (Acres),Barley,Acres,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2021,Cropland (Acres),Barley,Acres,0.00000
4811012,Leduc County,2006,Cropland (Acres),Barley,Acres,57622.00000
4811012,Leduc County,2011,Cropland (Acres),Barley,Acres,58694.00000
4811012,Leduc County,2016,Cropland (Acres),Barley,Acres,59886.00000
4811012,Leduc County,2021,Cropland (Acres),Barley,Acres,57011.00000
4811001,Wetaskiwin County No. 10,2006,Cropland (Acres),Barley,Acres,57716.00000
4811001,Wetaskiwin County No. 10,2011,Cropland (Acres),Barley,Acres,58086.00000
4811001,Wetaskiwin County No. 10,2016,Cropland (Acres),Barley,Acres,50575.00000
4811001,Wetaskiwin County No. 10,2021,Cropland (Acres),Barley,Acres,51084.00000
4817076,Northern Lights County,2006,Cropland (Acres),Barley,Acres,32248.00000
4817076,Northern Lights County,2011,Cropland (Acres),Barley,Acres,27939.00000
4817076,Northern Lights County,2016,Cropland (Acres),Barley,Acres,31541.00000
4817076,Northern Lights County,2021,Cropland (Acres),Barley,Acres,50444.00000
4813036,Thorhild County,2006,Cropland (Acres),Barley,Acres,27139.00000
4813036,Thorhild County,2011,Cropland (Acres),Barley,Acres,29643.00000
4813036,Thorhild County,2016,Cropland (Acres),Barley,Acres,24892.00000
4813036,Thorhild County,2021,Cropland (Acres),Barley,Acres,21683.00000
4813044,Athabasca County,2006,Cropland (Acres),Barley,Acres,31296.00000
4813044,Athabasca County,2011,Cropland (Acres),Barley,Acres,20262.00000
4813044,Athabasca County,2016,Cropland (Acres),Barley,Acres,25195.00000
4813044,Athabasca County,2021,Cropland (Acres),Barley,Acres,30773.00000
4817033,Lesser Slave River No.124,2006,Cropland (Acres),Barley,Acres,2509.00000
4817033,Lesser Slave River No.124,2011,Cropland (Acres),Barley,Acres,2779.00000
4817033,Lesser Slave River No.124,2016,Cropland (Acres),Barley,Acres,2039.00000
4817033,Lesser Slave River No.124,2021,Cropland (Acres),Barley,Acres,0.00000
4810058,Lamont County,2006,Cropland (Acres),Barley,Acres,61059.00000
4810058,Lamont County,2011,Cropland (Acres),Barley,Acres,58110.00000
4810058,Lamont County,2016,Cropland (Acres),Barley,Acres,54113.00000
4810058,Lamont County,2021,Cropland (Acres),Barley,Acres,50400.00000
4810048,Two Hills County No. 21,2006,Cropland (Acres),Barley,Acres,60984.00000
4810048,Two Hills County No. 21,2011,Cropland (Acres),Barley,Acres,50189.00000
4810048,Two Hills County No. 21,2016,Cropland (Acres),Barley,Acres,49496.00000
4810048,Two Hills County No. 21,2021,Cropland (Acres),Barley,Acres,48065.00000
4814003,Yellowhead County,2006,Cropland (Acres),Barley,Acres,17575.00000
4814003,Yellowhead County,2011,Cropland (Acres),Barley,Acres,15790.00000
4814003,Yellowhead County,2016,Cropland (Acres),Barley,Acres
4814003,Yellowhead County,2021,Cropland (Acres),Barley,Acres,26945.00000
4805031,Starland County,2006,Cropland (Acres),Canola,Acres,69750.00000
4805031,Starland County,2011,Cropland (Acres),Canola,Acres,105159.00000
4805031,Starland County,2016,Cropland (Acres),Canola,Acres,116519.00000
4805031,Starland County,2021,Cropland (Acres),Canola,Acres,111193.00000
4805041,Kneehill County,2006,Cropland (Acres),Canola,Acres,133570.00000
4805041,Kneehill County,2011,Cropland (Acres),Canola,Acres,195722.00000
4805041,Kneehill County,2016,Cropland (Acres),Canola,Acres,202121.00000
4805041,Kneehill County,2021,Cropland (Acres),Canola,Acres,190675.00000
4802001,Warner County No. 5,2006,Cropland (Acres),Canola,Acres,40073.00000
4802001,Warner County No. 5,2011,Cropland (Acres),Canola,Acres,108563.00000
4802001,Warner County No. 5,2016,Cropland (Acres),Canola,Acres,100211.00000
4802001,Warner County No. 5,2021,Cropland (Acres),Canola,Acres,107154.00000
4807049,Wainwright No. 61,2006,Cropland (Acres),Canola,Acres,83550.00000
4807049,Wainwright No. 61,2011,Cropland (Acres),Canola,Acres,131156.00000
4807049,Wainwright No. 61,2016,Cropland (Acres),Canola,Acres,159385.00000
4807049,Wainwright No. 61,2021,Cropland (Acres),Canola,Acres,156561.00000
4808001,Red Deer County,2006,Cropland (Acres),Canola,Acres,88992.00000
4808001,Red Deer County,2011,Cropland (Acres),Canola,Acres,133735.00000
4808001,Red Deer County,2016,Cropland (Acres),Canola,Acres,143988.00000
4808001,Red Deer County,2021,Cropland (Acres),Canola,Acres,150464.00000
4805012,Wheatland County,2006,Cropland (Acres),Canola,Acres,130052.00000
4805012,Wheatland County,2011,Cropland (Acres),Canola,Acres,223051.00000
4805012,Wheatland County,2016,Cropland (Acres),Canola,Acres,217644.00000
4805012,Wheatland County,2021,Cropland (Acres),Canola,Acres,259984.00000
4807019,Stettler County No. 6,2006,Cropland (Acres),Canola,Acres,79371.00000
4807019,Stettler County No. 6,2011,Cropland (Acres),Canola,Acres,102088.00000
4807019,Stettler County No. 6,2016,Cropland (Acres),Canola,Acres,106584.00000
4807019,Stettler County No. 6,2021,Cropland (Acres),Canola,Acres,121724.00000
4808022,Lacombe County,2006,Cropland (Acres),Canola,Acres,77614.00000
4808022,Lacombe County,2011,Cropland (Acres),Canola,Acres,117265.00000
4808022,Lacombe County,2016,Cropland (Acres),Canola,Acres,101977.00000
4808022,Lacombe County,2021,Cropland (Acres),Canola,Acres,121069.00000
4807031,Flagstaff County,2006,Cropland (Acres),Canola,Acres,179370.00000
4807031,Flagstaff County,2011,Cropland (Acres),Canola,Acres,217256.00000
4807031,Flagstaff County,2016,Cropland (Acres),Canola,Acres,233293.00000
4807031,Flagstaff County,2021,Cropland (Acres),Canola,Acres,237312.00000
4807011,Paintearth County No. 18,2006,Cropland (Acres),Canola,Acres,47743.00000
4807011,Paintearth County No. 18,2011,Cropland (Acres),Canola,Acres,76064.00000
4807011,Paintearth County No. 18,2016,Cropland (Acres),Canola,Acres,70944.00000
4807011,Paintearth County No. 18,2021,Cropland (Acres),Canola,Acres,73116.00000
4810001,Camrose County,2006,Cropland (Acres),Canola,Acres,178573.00000
4810001,Camrose County,2011,Cropland (Acres),Canola,Acres,210204.00000
4810001,Camrose County,2016,Cropland (Acres),Canola,Acres,216301.00000
4810001,Camrose County,2021,Cropland (Acres),Canola,Acres,227769.00000
4811061,Edmonton,2006,Cropland (Acres),Canola,Acres,12897.00000
4811061,Edmonton,2011,Cropland (Acres),Canola,Acres,3487.00000
4811061,Edmonton,2016,Cropland (Acres),Canola,Acres,9156.00000
4811061,Edmonton,2021,Cropland (Acres),Canola,Acres,13722.00000
4803001,Cardston County,2006,Cropland (Acres),Canola,Acres,37725.00000
4803001,Cardston County,2011,Cropland (Acres),Canola,Acres,76331.00000
4803001,Cardston County,2016,Cropland (Acres),Canola,Acres,93718.00000
4803001,Cardston County,2021,Cropland (Acres),Canola,Acres,91809.00000
4802031,Newell County,2006,Cropland (Acres),Canola,Acres,26957.00000
4802031,Newell County,2011,Cropland (Acres),Canola,Acres,68625.00000
4802031,Newell County,2016,Cropland (Acres),Canola,Acres,53292.00000
4802031,Newell County,2021,Cropland (Acres),Canola,Acres,73887.00000
4808038,Ponoka County,2006,Cropland (Acres),Canola,Acres,38611.00000
4808038,Ponoka County,2011,Cropland (Acres),Canola,Acres,65205.00000
4808038,Ponoka County,2016,Cropland (Acres),Canola,Acres,84821.00000
4808038,Ponoka County,2021,Cropland (Acres),Canola,Acres,86031.00000
4812037,Lac la Biche County,2006,Cropland (Acres),Canola,Acres,3545.00000
4812037,Lac la Biche County,2011,Cropland (Acres),Canola,Acres,15307.00000
4812037,Lac la Biche County,2016,Cropland (Acres),Canola,Acres,18391.00000
4812037,Lac la Biche County,2021,Cropland (Acres),Canola,Acres,22336.00000
4809002,Clearwater County,2006,Cropland (Acres),Canola,Acres,4848.00000
4809002,Clearwater County,2011,Cropland (Acres),Canola,Acres,7446.00000
4809002,Clearwater County,2016,Cropland (Acres),Canola,Acres,7969.00000
4809002,Clearwater County,2021,Cropland (Acres),Canola,Acres,12083.00000
4810026,Minburn County No. 27,2006,Cropland (Acres),Canola,Acres,141092.00000
4810026,Minburn County No. 27,2011,Cropland (Acres),Canola,Acres,180019.00000
4810026,Minburn County No. 27,2016,Cropland (Acres),Canola,Acres,191190.00000
4810026,Minburn County No. 27,2021,Cropland (Acres),Canola,Acres,191916.00000
4813028,Westlock County,2006,Cropland (Acres),Canola,Acres,92381.00000
4813028,Westlock County,2011,Cropland (Acres),Canola,Acres,133101.00000
4813028,Westlock County,2016,Cropland (Acres),Canola,Acres,148854.00000
4813028,Westlock County,2021,Cropland (Acres),Canola,Acres,157789.00000
4813029,Woodlands County,2006,Cropland (Acres),Canola,Acres,2460.00000
4813029,Woodlands County,2011,Cropland (Acres),Canola,Acres,8818.00000
4813029,Woodlands County,2016,Cropland (Acres),Canola,Acres,7116.00000
