CSD,Period,Crop Type,Count
Ponoka County,2011,Oats,14315
Ponoka County,2016,Oats,17225
Ponoka County,2021,Oats,17423
Lac la Biche County,2006,Oats,20602
Lac la Biche County,2011,Oats,10227
Lac la Biche County,2016,Oats,12068
Lac la Biche County,2021,Oats,10019
Clearwater County,2006,Oats,16685
Clearwater County,2011,Oats,17074
Clearwater County,2016,Oats,12149
Clearwater County,2021,Oats,11072
Minburn County No. 27,2006,Oats,31531
Minburn County No. 27,2011,Oats,14495
Minburn County No. 27,2016,Oats,17935
Minburn County No. 27,2021,Oats,19458
Westlock County,2006,Oats,24421
Westlock County,2011,Oats,17701
Westlock County,2016,Oats,19504
Westlock County,2021,Oats,19870
Woodlands County,2006,Oats,5508
Woodlands County,2011,Oats,5105
Woodlands County,2016,Oats,4098
Woodlands County,2021,Oats,3170
Barrhead County No. 11,2006,Oats,19268
Barrhead County No. 11,2011,Oats,13018
Barrhead County No. 11,2016,Oats,9893
Barrhead County No. 11,2021,Oats,11523
Beaver County,2006,Oats,22326
Beaver County,2011,Oats,14389
Beaver County,2016,Oats,11709
Beaver County,2021,Oats,17160
Forty Mile County No. 8,2006,Oats,14356
Forty Mile County No. 8,2011,Oats,5333
Forty Mile County No. 8,2016,Oats,3506
Forty Mile County No. 8,2021,Oats,7279
Cypress County,2006,Oats,12637
Cypress County,2011,Oats,10162
Cypress County,2016,Oats,5955
Cypress County,2021,Oats,5168
Willow Creek No. 26,2006,Oats,16044
Willow Creek No. 26,2011,Oats,9521
Willow Creek No. 26,2016,Oats,8846
Willow Creek No. 26,2021,Oats,7991
Lethbridge County,2006,Oats,4535
Lethbridge County,2011,Oats,6027
Lethbridge County,2016,Oats,3594
Lethbridge County,2021,Oats,9261
"Taber, M.D.",2006,Oats,5078
"Taber, M.D.",2011,Oats,3740
"Taber, M.D.",2016,Oats,2643
"Taber, M.D.",2021,Oats,2832
Pincher Creek No. 9,2006,Oats,8860
Pincher Creek No. 9,2011,Oats,6137
Pincher Creek No. 9,2016,Oats,4405
Pincher Creek No. 9,2021,Oats,3543
Special Area No. 2,2006,Oats,34604
Special Area No. 2,2011,Oats,21663
Special Area No. 2,2016,Oats,23333
Special Area No. 2,2021,Oats,19345
Special Area No. 3,2006,Oats,24919
Special Area No. 3,2011,Oats,18285
Special Area No. 3,2016,Oats,14673
Special Area No. 3,2021,Oats,18067
Special Area No. 4,2006,Oats,32114
Special Area No. 4,2011,Oats,20736
Special Area No. 4,2016,Oats,20615
Special Area No. 4,2021,Oats,21457
Vulcan County,2006,Oats,4585
Vulcan County,2011,Oats,4363
Vulcan County,2016,Oats,5701
Vulcan County,2021,Oats,6729
Foothills County,2006,Oats,9803
Foothills County,2011,Oats,9506
Foothills County,2016,Oats,8163
Foothills County,2021,Oats,6135
Rocky View County,2006,Oats,17661
Rocky View County,2011,Oats,10663
Rocky View County,2016,Oats,12013
Rocky View County,2021,Oats,10735
Calgary,2006,Oats,1442
Calgary,2011,Oats,165
Calgary,2016,Oats,3907
Calgary,2021,Oats,0
Mountain View County,2006,Oats,23216
Mountain View County,2011,Oats,15691
Mountain View County,2016,Oats,11850
Mountain View County,2021,Oats,9365
Provost No. 52,2006,Oats,35694
Provost No. 52,2011,Oats,23306
Provost No. 52,2016,Oats,20644
Provost No. 52,2021,Oats,15697
Smoky River No. 130,2006,Oats,20426
Smoky River No. 130,2011,Oats,9387
Smoky River No. 130,2016,Oats,3734
Smoky River No. 130,2021,Oats,16686
Vermilion River County,2006,Oats,46632
Vermilion River County,2011,Oats,23031
Vermilion River County,2016,Oats,24513
Vermilion River County,2021,Oats,31764
Northern Sunrise County,2006,Oats,5059
Northern Sunrise County,2011,Oats,2250
Northern Sunrise County,2016,Oats,2521
Northern Sunrise County,2021,Oats,5277
Big Lakes County,2006,Oats,16640
Big Lakes County,2011,Oats,11060
Big Lakes County,2016,Oats,6603
Big Lakes County,2021,Oats,8311
Lac Ste. Anne County,2006,Oats,31320
Lac Ste. Anne County,2011,Oats,23230
Lac Ste. Anne County,2016,Oats,20241
Lac Ste. Anne County,2021,Oats,18651
Birch Hills County,2006,Oats,10544
Birch Hills County,2011,Oats,10731
Birch Hills County,2016,Oats,3557
Birch Hills County,2021,Oats,7692
Spirit River No. 133,2006,Oats,5466
Spirit River No. 133,2011,Oats,3984
Spirit River No. 133,2016,Oats,5046
Spirit River No. 133,2021,Oats,7144
Saddle Hills County,2006,Oats,32590
Saddle Hills County,2011,Oats,32767
Saddle Hills County,2016,Oats,23632
Saddle Hills County,2021,Oats,19474
Fairview No. 136,2006,Oats,11938
Fairview No. 136,2011,Oats,8709
Fairview No. 136,2016,Oats,6341
Fairview No. 136,2021,Oats,4901
Brazeau County,2006,Oats,12728
Brazeau County,2011,Oats,16484
Brazeau County,2016,Oats,13492
Brazeau County,2021,Oats,8695
Parkland County,2006,Oats,17565
Parkland County,2011,Oats,12106
Parkland County,2016,Oats,13114
Parkland County,2021,Oats,13162
Strathcona County,2006,Oats,5948
Strathcona County,2011,Oats,0
Strathcona County,2016,Oats,2065
Strathcona County,2021,Oats,8195
Sturgeon County,2006,Oats,19563
Sturgeon County,2011,Oats,12318
Sturgeon County,2016,Oats,14353
Sturgeon County,2021,Oats,19580
Mackenzie County,2006,Oats,21354
Mackenzie County,2011,Oats,38396
Mackenzie County,2016,Oats,52983
Mackenzie County,2021,Oats,61874
Clear Hills,2006,Oats,27468
Clear Hills,2011,Oats,34905
Clear Hills,2016,Oats,21311
Clear Hills,2021,Oats,27195
Greenview No. 16,2006,Oats,31910
Greenview No. 16,2011,Oats,26683
Greenview No. 16,2016,Oats,20410
Greenview No. 16,2021,Oats,17124
Grande Prairie County No. 1,2006,Oats,36765
Grande Prairie County No. 1,2011,Oats,25751
Grande Prairie County No. 1,2016,Oats,23207
Grande Prairie County No. 1,2021,Oats,24642
Bonnyville No. 87,2006,Oats,25376
Bonnyville No. 87,2011,Oats,17842
Bonnyville No. 87,2016,Oats,17149
Bonnyville No. 87,2021,Oats,13375
St. Paul County No. 19,2006,Oats,33052
St. Paul County No. 19,2011,Oats,21780
St. Paul County No. 19,2016,Oats,24887
St. Paul County No. 19,2021,Oats,21823
Smoky Lake County,2006,Oats,17504
Smoky Lake County,2011,Oats,13240
Smoky Lake County,2016,Oats,10466
Smoky Lake County,2021,Oats,8667
Peace No. 135,2006,Oats,6742
Peace No. 135,2011,Oats,4398
Peace No. 135,2016,Oats,4324
Peace No. 135,2021,Oats,7504
Crowsnest Pass,2006,Oats,0
Bighorn No. 8,2006,Oats,189
Bighorn No. 8,2011,Oats,270
Bighorn No. 8,2016,Oats,0
Bighorn No. 8,2021,Oats,0
Improvement District No. 12 Jasper Park,2011,Oats,0
Improvement District No. 12 Jasper Park,2016,Oats,0
Improvement District No. 12 Jasper Park,2021,Oats,0
Ranchland No. 66,2006,Oats,438
Ranchland No. 66,2011,Oats,317
Ranchland No. 66,2016,Oats,0
Ranchland No. 66,2021,Oats,388
Wood Buffalo,2016,Oats,0
Wood Buffalo,2021,Oats,0
Improvement District No. 24 Wood Buffalo,2016,Oats,0
Improvement District No. 24 Wood Buffalo,2021,Oats,0
Leduc County,2006,Oats,22224
Leduc County,2011,Oats,17982
Leduc County,2016,Oats,16619
Leduc County,2021,Oats,17582
Wetaskiwin County No. 10,2006,Oats,21305
Wetaskiwin County No. 10,2011,Oats,13744
Wetaskiwin County No. 10,2016,Oats,11313
Wetaskiwin County No. 10,2021,Oats,12763
Northern Lights County,2006,Oats,19083
Northern Lights County,2011,Oats,13607
Northern Lights County,2016,Oats,14006
Northern Lights County,2021,Oats,15177
Thorhild County,2006,Oats,15569
Thorhild County,2011,Oats,11280
Thorhild County,2016,Oats,10361
Thorhild County,2021,Oats,11300
Athabasca County,2006,Oats,38396
Athabasca County,2011,Oats,25432
Athabasca County,2016,Oats,21315
Athabasca County,2021,Oats,22980
Lesser Slave River No.124,2006,Oats,5727
Lesser Slave River No.124,2011,Oats,5112
Lesser Slave River No.124,2016,Oats,4806
Lesser Slave River No.124,2021,Oats,3784
Lamont County,2006,Oats,23687
Lamont County,2011,Oats,14089
Lamont County,2016,Oats,12260
Lamont County,2021,Oats,20453
Two Hills County No. 21,2006,Oats,24038
Two Hills County No. 21,2011,Oats,14212
Two Hills County No. 21,2016,Oats,13470
Two Hills County No. 21,2021,Oats,12252
Yellowhead County,2006,Oats,18877
Yellowhead County,2011,Oats,18736
Yellowhead County,2016,Oats,0
Yellowhead County,2021,Oats,15741
