CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4802031,Newell County,2016,Cropland (Acres),Canola,53292.0
4802031,Newell County,2021,Cropland (Acres),Canola,73887.0
4808038,Ponoka County,2006,Cropland (Acres),Canola,38611.0
4808038,Ponoka County,2011,Cropland (Acres),Canola,65205.0
4808038,Ponoka County,2016,Cropland (Acres),Canola,84821.0
4808038,Ponoka County,2021,Cropland (Acres),Canola,86031.0
4812037,Lac la Biche County,2006,Cropland (Acres),Canola,3545.0
4812037,Lac la Biche County,2011,Cropland (Acres),Canola,15307.0
4812037,Lac la Biche County,2016,Cropland (Acres),Canola,18391.0
4812037,Lac la Biche County,2021,Cropland (Acres),Canola,22336.0
4809002,Clearwater County,2006,Cropland (Acres),Canola,4848.0
4809002,Clearwater County,2011,Cropland (Acres),Canola,7446.0
4809002,Clearwater County,2016,Cropland (Acres),Canola,7969.0
4809002,Clearwater County,2021,Cropland (Acres),Canola,12083.0
4810026,Minburn County No. 27,2006,Cropland (Acres),Canola,141092.0
4810026,Minburn County No. 27,2011,Cropland (Acres),Canola,180019.0
4810026,Minburn County No. 27,2016,Cropland (Acres),Canola,191190.0
4810026,Minburn County No. 27,2021,Cropland (Acres),Canola,191916.0
4813028,Westlock County,2006,Cropland (Acres),Canola,92381.0
4813028,Westlock County,2011,Cropland (Acres),Canola,133101.0
4813028,Westlock County,2016,Cropland (Acres),Canola,148854.0
4813028,Westlock County,2021,Cropland (Acres),Canola,157789.0
4813029,Woodlands County,2006,Cropland (Acres),Canola,2460.0
4813029,Woodlands County,2011,Cropland (Acres),Canola,8818.0
4813029,Woodlands County,2016,Cropland (Acres),Canola,7116.0
4813029,Woodlands County,2021,Cropland (Acres),Canola,7623.0
4813018,Barrhead County No. 11,2006,Cropland (Acres),Canola,44370.0
4813018,Barrhead County No. 11,2011,Cropland (Acres),Canola,88349.0
4813018,Barrhead County No. 11,2016,Cropland (Acres),Canola,92394.0
4813018,Barrhead County No. 11,2021,Cropland (Acres),Canola,102016.0
4810016,Beaver County,2006,Cropland (Acres),Canola,121568.0
4810016,Beaver County,2011,Cropland (Acres),Canola,160492.0
4810016,Beaver County,2016,Cropland (Acres),Canola,164325.0
4810016,Beaver County,2021,Cropland (Acres),Canola,158051.0
4801008,Forty Mile County No. 8,2006,Cropland (Acres),Canola,20058.0
4801008,Forty Mile County No. 8,2011,Cropland (Acres),Canola,92867.0
4801008,Forty Mile County No. 8,2016,Cropland (Acres),Canola,77825.0
4801008,Forty Mile County No. 8,2021,Cropland (Acres),Canola,109254.0
4801003,Cypress County,2006,Cropland (Acres),Canola,28149.0
4801003,Cypress County,2011,Cropland (Acres),Canola,53525.0
4801003,Cypress County,2016,Cropland (Acres),Canola,37417.0
4801003,Cypress County,2021,Cropland (Acres),Canola,57420.0
4803018,Willow Creek No. 26,2006,Cropland (Acres),Canola,31953.0
4803018,Willow Creek No. 26,2011,Cropland (Acres),Canola,74444.0
4803018,Willow Creek No. 26,2016,Cropland (Acres),Canola,75372.0
4803018,Willow Creek No. 26,2021,Cropland (Acres),Canola,111185.0
4802011,Lethbridge County,2006,Cropland (Acres),Canola,37080.0
4802011,Lethbridge County,2011,Cropland (Acres),Canola,101032.0
4802011,Lethbridge County,2016,Cropland (Acres),Canola,90475.0
4802011,Lethbridge County,2021,Cropland (Acres),Canola,161325.0
4802021,"Taber, M.D.",2006,Cropland (Acres),Canola,43256.0
4802021,"Taber, M.D.",2011,Cropland (Acres),Canola,105556.0
4802021,"Taber, M.D.",2016,Cropland (Acres),Canola,80062.0
4802021,"Taber, M.D.",2021,Cropland (Acres),Canola,82418.0
4803011,Pincher Creek No. 9,2006,Cropland (Acres),Canola,2812.0
4803011,Pincher Creek No. 9,2011,Cropland (Acres),Canola,31255.0
4803011,Pincher Creek No. 9,2016,Cropland (Acres),Canola,0.0
4803011,Pincher Creek No. 9,2021,Cropland (Acres),Canola,20369.0
4804004,Special Area No. 2,2006,Cropland (Acres),Canola,7239.0
4804004,Special Area No. 2,2011,Cropland (Acres),Canola,25072.0
4804004,Special Area No. 2,2016,Cropland (Acres),Canola,30642.0
4804004,Special Area No. 2,2021,Cropland (Acres),Canola,45242.0
4804012,Special Area No. 3,2006,Cropland (Acres),Canola,18099.0
4804012,Special Area No. 3,2011,Cropland (Acres),Canola,32161.0
4804012,Special Area No. 3,2016,Cropland (Acres),Canola,33974.0
4804012,Special Area No. 3,2021,Cropland (Acres),Canola,71018.0
4804020,Special Area No. 4,2006,Cropland (Acres),Canola,24763.0
4804020,Special Area No. 4,2011,Cropland (Acres),Canola,43868.0
4804020,Special Area No. 4,2016,Cropland (Acres),Canola,50934.0
4804020,Special Area No. 4,2021,Cropland (Acres),Canola,53307.0
4805001,Vulcan County,2006,Cropland (Acres),Canola,117104.0
4805001,Vulcan County,2011,Cropland (Acres),Canola,217742.0
4805001,Vulcan County,2016,Cropland (Acres),Canola,235810.0
4805001,Vulcan County,2021,Cropland (Acres),Canola,210331.0
4806001,Foothills County,2006,Cropland (Acres),Canola,44092.0
4806001,Foothills County,2011,Cropland (Acres),Canola,84760.0
4806001,Foothills County,2016,Cropland (Acres),Canola,62144.0
4806001,Foothills County,2021,Cropland (Acres),Canola,77020.0
4806014,Rocky View County,2006,Cropland (Acres),Canola,74715.0
4806014,Rocky View County,2011,Cropland (Acres),Canola,112343.0
4806014,Rocky View County,2016,Cropland (Acres),Canola,106393.0
4806014,Rocky View County,2021,Cropland (Acres),Canola,134094.0
4806016,Calgary,2006,Cropland (Acres),Canola,10007.0
4806016,Calgary,2011,Cropland (Acres),Canola,0.0
4806016,Calgary,2016,Cropland (Acres),Canola,10837.0
4806016,Calgary,2021,Cropland (Acres),Canola,11083.0
4806028,Mountain View County,2006,Cropland (Acres),Canola,64664.0
4806028,Mountain View County,2011,Cropland (Acres),Canola,98166.0
4806028,Mountain View County,2016,Cropland (Acres),Canola,101016.0
4806028,Mountain View County,2021,Cropland (Acres),Canola,126547.0
4807001,Provost No. 52,2006,Cropland (Acres),Canola,44704.0
4807001,Provost No. 52,2011,Cropland (Acres),Canola,84615.0
4807001,Provost No. 52,2016,Cropland (Acres),Canola,91104.0
4807001,Provost No. 52,2021,Cropland (Acres),Canola,98530.0
4819041,Smoky River No. 130,2006,Cropland (Acres),Canola,188904.0
4819041,Smoky River No. 130,2011,Cropland (Acres),Canola,242057.0
4819041,Smoky River No. 130,2016,Cropland (Acres),Canola,259729.0
4819041,Smoky River No. 130,2021,Cropland (Acres),Canola,241574.0
4810036,Vermilion River County,2006,Cropland (Acres),Canola,171363.0
4810036,Vermilion River County,2011,Cropland (Acres),Canola,240382.0
4810036,Vermilion River County,2016,Cropland (Acres),Canola,255773.0
4810036,Vermilion River County,2021,Cropland (Acres),Canola,293676.0
4817026,Northern Sunrise County,2006,Cropland (Acres),Canola,55969.0
4817026,Northern Sunrise County,2011,Cropland (Acres),Canola,61622.0
4817026,Northern Sunrise County,2016,Cropland (Acres),Canola,71533.0
4817026,Northern Sunrise County,2021,Cropland (Acres),Canola,83029.0
4817027,Big Lakes County,2006,Cropland (Acres),Canola,17631.0
4817027,Big Lakes County,2011,Cropland (Acres),Canola,43606.0
4817027,Big Lakes County,2016,Cropland (Acres),Canola,38843.0
4817027,Big Lakes County,2021,Cropland (Acres),Canola,32819.0
4813001,Lac Ste. Anne County,2006,Cropland (Acres),Canola,11292.0
4813001,Lac Ste. Anne County,2011,Cropland (Acres),Canola,33114.0
4813001,Lac Ste. Anne County,2016,Cropland (Acres),Canola,27263.0
4813001,Lac Ste. Anne County,2021,Cropland (Acres),Canola,36869.0
4819049,Birch Hills County,2006,Cropland (Acres),Canola,112608.0
4819049,Birch Hills County,2011,Cropland (Acres),Canola,148882.0
4819049,Birch Hills County,2016,Cropland (Acres),Canola,149018.0
4819049,Birch Hills County,2021,Cropland (Acres),Canola,125448.0
4819054,Spirit River No. 133,2006,Cropland (Acres),Canola,38067.0
4819054,Spirit River No. 133,2011,Cropland (Acres),Canola,22441.0
4819054,Spirit River No. 133,2016,Cropland (Acres),Canola,45252.0
4819054,Spirit River No. 133,2021,Cropland (Acres),Canola,52530.0
4819059,Saddle Hills County,2006,Cropland (Acres),Canola,58541.0
4819059,Saddle Hills County,2011,Cropland (Acres),Canola,83799.0
4819059,Saddle Hills County,2016,Cropland (Acres),Canola,78833.0
4819059,Saddle Hills County,2021,Cropland (Acres),Canola,84463.0
4819066,Fairview No. 136,2006,Cropland (Acres),Canola,61853.0
4819066,Fairview No. 136,2011,Cropland (Acres),Canola,84072.0
4819066,Fairview No. 136,2016,Cropland (Acres),Canola,99265.0
4819066,Fairview No. 136,2021,Cropland (Acres),Canola,93164.0
4811032,Brazeau County,2006,Cropland (Acres),Canola,943.0
4811032,Brazeau County,2011,Cropland (Acres),Canola,1912.0
4811032,Brazeau County,2016,Cropland (Acres),Canola,557.0
4811032,Brazeau County,2021,Cropland (Acres),Canola,0.0
4811034,Parkland County,2006,Cropland (Acres),Canola,31659.0
4811034,Parkland County,2011,Cropland (Acres),Canola,36667.0
4811034,Parkland County,2016,Cropland (Acres),Canola,35114.0
4811034,Parkland County,2021,Cropland (Acres),Canola,41415.0
4811052,Strathcona County,2006,Cropland (Acres),Canola,44918.0
4811052,Strathcona County,2011,Cropland (Acres),Canola,48540.0
4811052,Strathcona County,2016,Cropland (Acres),Canola,52916.0
4811052,Strathcona County,2021,Cropland (Acres),Canola,55289.0
4811059,Sturgeon County,2006,Cropland (Acres),Canola,111367.0
4811059,Sturgeon County,2011,Cropland (Acres),Canola,130518.0
4811059,Sturgeon County,2016,Cropland (Acres),Canola,129182.0
4811059,Sturgeon County,2021,Cropland (Acres),Canola,137900.0
4817095,Mackenzie County,2006,Cropland (Acres),Canola,100564.0
4817095,Mackenzie County,2011,Cropland (Acres),Canola,141523.0
4817095,Mackenzie County,2016,Cropland (Acres),Canola,118761.0
4817095,Mackenzie County,2021,Cropland (Acres),Canola,155488.0
4817062,Clear Hills,2006,Cropland (Acres),Canola,55288.0
4817062,Clear Hills,2011,Cropland (Acres),Canola,60658.0
4817062,Clear Hills,2016,Cropland (Acres),Canola,43061.0
4817062,Clear Hills,2021,Cropland (Acres),Canola,69142.0
4818015,Greenview No. 16,2006,Cropland (Acres),Canola,38958.0
4818015,Greenview No. 16,2011,Cropland (Acres),Canola,58023.0
4818015,Greenview No. 16,2016,Cropland (Acres),Canola,79474.0
4818015,Greenview No. 16,2021,Cropland (Acres),Canola,57017.0
4819006,Grande Prairie County No. 1,2006,Cropland (Acres),Canola,122493.0
4819006,Grande Prairie County No. 1,2011,Cropland (Acres),Canola,131961.0
4819006,Grande Prairie County No. 1,2016,Cropland (Acres),Canola,156661.0
4819006,Grande Prairie County No. 1,2021,Cropland (Acres),Canola,164676.0
4812004,Bonnyville No. 87,2006,Cropland (Acres),Canola,23265.0
4812004,Bonnyville No. 87,2011,Cropland (Acres),Canola,42233.0
4812004,Bonnyville No. 87,2016,Cropland (Acres),Canola,37579.0
4812004,Bonnyville No. 87,2021,Cropland (Acres),Canola,45705.0
4812014,St. Paul County No. 19,2006,Cropland (Acres),Canola,46355.0
4812014,St. Paul County No. 19,2011,Cropland (Acres),Canola,71989.0
4812014,St. Paul County No. 19,2016,Cropland (Acres),Canola,63380.0
4812014,St. Paul County No. 19,2021,Cropland (Acres),Canola,77954.0
4812022,Smoky Lake County,2006,Cropland (Acres),Canola,48063.0
4812022,Smoky Lake County,2011,Cropland (Acres),Canola,60132.0
4812022,Smoky Lake County,2016,Cropland (Acres),Canola,65327.0
4812022,Smoky Lake County,2021,Cropland (Acres),Canola,61728.0
4819071,Peace No. 135,2006,Cropland (Acres),Canola,33361.0
4819071,Peace No. 135,2011,Cropland (Acres),Canola,37768.0
4819071,Peace No. 135,2016,Cropland (Acres),Canola,35335.0
4819071,Peace No. 135,2021,Cropland (Acres),Canola,41521.0
4815007,Crowsnest Pass,2006,Cropland (Acres),Canola,0.0
4815015,Bighorn No. 8,2006,Cropland (Acres),Canola,0.0
4815015,Bighorn No. 8,2011,Cropland (Acres),Canola,0.0
4815015,Bighorn No. 8,2016,Cropland (Acres),Canola,0.0
4815015,Bighorn No. 8,2021,Cropland (Acres),Canola,0.0
4815037,Improvement District No. 12 Jasper Park,2011,Cropland (Acres),Canola,0.0
4815037,Improvement District No. 12 Jasper Park,2016,Cropland (Acres),Canola,0.0
4815037,Improvement District No. 12 Jasper Park,2021,Cropland (Acres),Canola,0.0
4815045,Ranchland No. 66,2006,Cropland (Acres),Canola,0.0
4815045,Ranchland No. 66,2011,Cropland (Acres),Canola,0.0
4815045,Ranchland No. 66,2016,Cropland (Acres),Canola,0.0
4815045,Ranchland No. 66,2021,Cropland (Acres),Canola,0.0
4816037,Wood Buffalo,2016,Cropland (Acres),Canola,0.0
4816037,Wood Buffalo,2021,Cropland (Acres),Canola,0.0
4816051,Improvement District No. 24 Wood Buffalo,2016,Cropland (Acres),Canola,0.0
4816051,Improvement District No. 24 Wood Buffalo,2021,Cropland (Acres),Canola,0.0
4811012,Leduc County,2006,Cropland (Acres),Canola,71071.0
4811012,Leduc County,2011,Cropland (Acres),Canola,95746.0
4811012,Leduc County,2016,Cropland (Acres),Canola,81322.0
4811012,Leduc County,2021,Cropland (Acres),Canola,87923.0
4811001,Wetaskiwin County No. 10,2006,Cropland (Acres),Canola,73507.0
4811001,Wetaskiwin County No. 10,2011,Cropland (Acres),Canola,75921.0
4811001,Wetaskiwin County No. 10,2016,Cropland (Acres),Canola,83461.0
4811001,Wetaskiwin County No. 10,2021,Cropland (Acres),Canola,85085.0
4817076,Northern Lights County,2006,Cropland (Acres),Canola,76673.0
4817076,Northern Lights County,2011,Cropland (Acres),Canola,109714.0
4817076,Northern Lights County,2016,Cropland (Acres),Canola,109552.0
4817076,Northern Lights County,2021,Cropland (Acres),Canola,114506.0
4813036,Thorhild County,2006,Cropland (Acres),Canola,35022.0
4813036,Thorhild County,2011,Cropland (Acres),Canola,60378.0
4813036,Thorhild County,2016,Cropland (Acres),Canola,59559.0
4813036,Thorhild County,2021,Cropland (Acres),Canola,60172.0
4813044,Athabasca County,2006,Cropland (Acres),Canola,47913.0
4813044,Athabasca County,2011,Cropland (Acres),Canola,75721.0
4813044,Athabasca County,2016,Cropland (Acres),Canola,68885.0
4813044,Athabasca County,2021,Cropland (Acres),Canola,69416.0
4817033,Lesser Slave River No.124,2006,Cropland (Acres),Canola,1821.0
4817033,Lesser Slave River No.124,2011,Cropland (Acres),Canola,4337.0
4817033,Lesser Slave River No.124,2016,Cropland (Acres),Canola,7849.0
4817033,Lesser Slave River No.124,2021,Cropland (Acres),Canola,23883.0
4810058,Lamont County,2006,Cropland (Acres),Canola,100493.0
4810058,Lamont County,2011,Cropland (Acres),Canola,137199.0
4810058,Lamont County,2016,Cropland (Acres),Canola,133493.0
4810058,Lamont County,2021,Cropland (Acres),Canola,122585.0
4810048,Two Hills County No. 21,2006,Cropland (Acres),Canola,78835.0
4810048,Two Hills County No. 21,2011,Cropland (Acres),Canola,120846.0
4810048,Two Hills County No. 21,2016,Cropland (Acres),Canola,109723.0
4810048,Two Hills County No. 21,2021,Cropland (Acres),Canola,112719.0
4814003,Yellowhead County,2006,Cropland (Acres),Canola,5907.0
4814003,Yellowhead County,2011,Cropland (Acres),Canola,16598.0
4814003,Yellowhead County,2016,Cropland (Acres),Canola,0.0
4814003,Yellowhead County,2021,Cropland (Acres),Canola,10810.0
